Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1971380000000.0,1471361000000.0,0.75,0.14,5511.0,30.0,Y,0.0,0.1408,2015-06-30,Q2-2015
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1606232000000.0,1519921000000.0,0.95,0.26,4854.0,34.0,Y,0.0,0.1147,2015-06-30,Q2-2015
WELLS FARGO BK NA/WELLS FARGO & CO,3.0,451965,"SIOUX FALLS, SD",NAT,1553871000000.0,1506535000000.0,0.97,0.37,6222.0,9.0,Y,0.0,0.111,2015-06-30,Q2-2015
CITIBANK NA/CITIGROUP,4.0,476810,"SIOUX FALLS, SD",NAT,1336201000000.0,742469000000.0,0.56,0.46,794.0,272.0,Y,0.0,0.0954,2015-06-30,Q2-2015
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,414002000000.0,412728000000.0,1.0,0.49,3217.0,1.0,N,0.0,0.0296,2015-06-30,Q2-2015
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,343630000000.0,340088000000.0,0.99,0.52,2741.0,2.0,N,0.0,0.0245,2015-06-30,Q2-2015
BANK OF NY MELLON/BANK OF NY MELLON CORP,7.0,541101,"NEW YORK, NY",SMB,320204000000.0,213405000000.0,0.67,0.54,3.0,13.0,Y,0.0,0.0229,2015-06-30,Q2-2015
STATE STREET B&TC/STATE STREET CORP,8.0,35301,"BOSTON, MA",SMB,289425000000.0,223099000000.0,0.77,0.56,2.0,11.0,N,0.0,0.0207,2015-06-30,Q2-2015
CAPITAL ONE NA/CAPITAL ONE FC,9.0,112837,"MC LEAN, VA",NAT,255291000000.0,255203000000.0,1.0,0.58,843.0,0.0,N,0.0,0.0182,2015-06-30,Q2-2015
T D BK NA/TD US P & C HOLD ULC,10.0,497404,"WILMINGTON, DE",NAT,235030000000.0,235030000000.0,1.0,0.59,1310.0,1.0,N,1.0,0.0168,2015-06-30,Q2-2015
HSBC BK USA NA/HSBC NORTH AMER HOLDS,11.0,413208,"MCLEAN, VA",NAT,190500000000.0,186678000000.0,0.98,0.61,231.0,3.0,Y,1.0,0.0136,2015-06-30,Q2-2015
BRANCH BKG&TC/BB&T CORP,12.0,852320,"WINSTON SALEM, NC",SNM,186643000000.0,186462000000.0,1.0,0.62,1902.0,1.0,N,0.0,0.0133,2015-06-30,Q2-2015
SUNTRUST BK/SUNTRUST BK,13.0,675332,"ATLANTA, GA",SMB,184223000000.0,184223000000.0,1.0,0.63,1466.0,0.0,Y,0.0,0.0132,2015-06-30,Q2-2015
CHASE BK USA NA/JPMORGAN CHASE & CO,14.0,489913,"WILMINGTON, DE",NAT,147062000000.0,147062000000.0,1.0,0.65,0.0,0.0,N,0.0,0.0105,2015-06-30,Q2-2015
FIFTH THIRD BK/FIFTH THIRD BC,15.0,723112,"CINCINNATI, OH",SMB,139250000000.0,138532000000.0,0.99,0.66,1349.0,1.0,N,0.0,0.0099,2015-06-30,Q2-2015
MORGAN STANLEY BK NA/MORGAN STANLEY,16.0,1456501,"SALT LAKE CITY, UT",NAT,126643000000.0,126643000000.0,1.0,0.66,0.0,0.0,N,0.0,0.009,2015-06-30,Q2-2015
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,17.0,2182786,"NEW YORK, NY",SMB,122681000000.0,122681000000.0,1.0,0.67,1.0,1.0,N,0.0,0.0088,2015-06-30,Q2-2015
REGIONS BK/REGIONS FC,18.0,233031,"BIRMINGHAM, AL",SMB,120932000000.0,120932000000.0,1.0,0.68,1628.0,0.0,N,0.0,0.0086,2015-06-30,Q2-2015
