Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1850218000000.0,1246072000000.0,0.67,0.15,5604.0,44.0,Y,0.0,0.1504,2012-09-30,Q3-2012
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1448273000000.0,1368568000000.0,0.94,0.27,5596.0,34.0,Y,0.0,0.1178,2012-09-30,Q3-2012
CITIBANK NA/CITIGROUP,3.0,476810,"SIOUX FALLS, SD",NAT,1365026000000.0,733147000000.0,0.54,0.38,1038.0,300.0,Y,0.0,0.111,2012-09-30,Q3-2012
WELLS FARGO BK NA/WELLS FARGO & CO,4.0,451965,"SIOUX FALLS, SD",NAT,1218796000000.0,1187789000000.0,0.97,0.48,6318.0,10.0,Y,0.0,0.0991,2012-09-30,Q3-2012
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,342627000000.0,340653000000.0,0.99,0.51,3135.0,1.0,N,0.0,0.0279,2012-09-30,Q3-2012
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,292503000000.0,289955000000.0,0.99,0.53,3033.0,1.0,N,0.0,0.0238,2012-09-30,Q3-2012
BANK OF NY MELLON/BANK OF NY MELLON CORP,7.0,541101,"NEW YORK, NY",SMB,264966000000.0,161992000000.0,0.61,0.55,4.0,13.0,Y,0.0,0.0215,2012-09-30,Q3-2012
STATE STREET B&TC/STATE STREET CORP,8.0,35301,"BOSTON, MA",SMB,200654000000.0,140159000000.0,0.7,0.57,2.0,12.0,N,0.0,0.0163,2012-09-30,Q3-2012
T D BK NA/TD US P & C HOLD ULC,9.0,497404,"WILMINGTON, DE",NAT,200546000000.0,200546000000.0,1.0,0.58,1293.0,1.0,N,1.0,0.0163,2012-09-30,Q3-2012
HSBC BK USA NA/HSBC NORTH AMER HOLD,10.0,413208,"MCLEAN, VA",NAT,196238000000.0,179100000000.0,0.91,0.6,254.0,4.0,Y,1.0,0.016,2012-09-30,Q3-2012
BRANCH BKG&TC/BB&T CORP,11.0,852320,"WINSTON SALEM, NC",SNM,176358000000.0,176173000000.0,1.0,0.61,1857.0,1.0,N,0.0,0.0143,2012-09-30,Q3-2012
SUNTRUST BK/SUNTRUST BK,12.0,675332,"ATLANTA, GA",SMB,168951000000.0,168951000000.0,1.0,0.63,1678.0,0.0,Y,0.0,0.0137,2012-09-30,Q3-2012
FIA CARD SVC NA/BANK OF AMER CORP,13.0,1830035,"WILMINGTON, DE",NAT,161898000000.0,152079000000.0,0.94,0.64,0.0,0.0,N,0.0,0.0132,2012-09-30,Q3-2012
CAPITAL ONE NA/CAPITAL ONE FC,14.0,112837,"MCLEAN, VA",NAT,161283000000.0,161205000000.0,1.0,0.65,970.0,0.0,N,0.0,0.0131,2012-09-30,Q3-2012
REGIONS BK/REGIONS FC,15.0,233031,"BIRMINGHAM, AL",SMB,120832000000.0,120567000000.0,1.0,0.66,1712.0,0.0,N,0.0,0.0098,2012-09-30,Q3-2012
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,16.0,2182786,"NEW YORK, NY",SMB,120437000000.0,120437000000.0,1.0,0.67,1.0,0.0,N,0.0,0.0098,2012-09-30,Q3-2012
CHASE BK USA NA/JPMORGAN CHASE & CO,17.0,489913,"NEWARK, DE",NAT,115932000000.0,115932000000.0,1.0,0.68,1.0,0.0,Y,0.0,0.0094,2012-09-30,Q3-2012
FIFTH THIRD BK/FIFTH THIRD BC,18.0,723112,"CINCINNATI, OH",SMB,114988000000.0,114960000000.0,1.0,0.69,1371.0,1.0,N,0.0,0.0093,2012-09-30,Q3-2012
RBS CITIZENS NA/RBS CITIZENS FNCL GRP,19.0,3303298,"PROVIDENCE, RI",NAT,107215000000.0,107215000000.0,1.0,0.7,1006.0,1.0,N,0.75,0.0087,2012-09-30,Q3-2012
NORTHERN TC/NORTHERN TR CORP,20.0,210434,"CHICAGO, IL",SMB,93383000000.0,68325000000.0,0.73,0.71,76.0,4.0,Y,0.0,0.0076,2012-09-30,Q3-2012
ALLY BK/ALLY FNCL,21.0,3284070,"MIDVALE, UT",SNM,92766000000.0,92766000000.0,1.0,0.72,0.0,0.0,N,0.0,0.0075,2012-09-30,Q3-2012
BMO HARRIS BK NA/BMO FNCL CORP,22.0,75633,"CHICAGO, IL",NAT,91325000000.0,91260000000.0,1.0,0.72,715.0,0.0,N,1.0,0.0074,2012-09-30,Q3-2012
UNION BK NA/UNIONBANCAL CORP,23.0,212465,"SAN FRANCISCO, CA",NAT,87418000000.0,86490000000.0,0.99,0.73,400.0,1.0,Y,1.0,0.0071,2012-09-30,Q3-2012
KEYBANK NA/KEYCORP,24.0,280110,"CLEVELAND, OH",NAT,84678000000.0,83983000000.0,0.99,0.74,1109.0,1.0,N,0.0,0.0069,2012-09-30,Q3-2012
SOVEREIGN BK NA/SANTANDER HOLDS USA,25.0,722777,"WILMINGTON, DE",NAT,82457000000.0,81912000000.0,0.99,0.74,729.0,2.0,N,1.0,0.0067,2012-09-30,Q3-2012
MANUFACTURERS & TRADERS TC/M&T BK CORP,26.0,501105,"BUFFALO, NY",SMB,80138000000.0,80138000000.0,1.0,0.75,768.0,2.0,Y,0.0,0.0065,2012-09-30,Q3-2012
CAPITAL ONE BK USA NA/CAPITAL ONE FC,27.0,2253891,"GLEN ALLEN, VA",NAT,77755000000.0,75875000000.0,0.98,0.76,0.0,1.0,N,0.0,0.0063,2012-09-30,Q3-2012
DISCOVER BK/DISCOVER FS,28.0,30810,"GREENWOOD, DE",SNM,73272000000.0,73272000000.0,1.0,0.76,0.0,0.0,N,0.0,0.006,2012-09-30,Q3-2012
MORGAN STANLEY BK NA/MORGAN STANLEY,29.0,1456501,"SALT LAKE CITY, UT",NAT,71810000000.0,71810000000.0,1.0,0.77,0.0,0.0,N,0.0,0.0058,2012-09-30,Q3-2012
COMPASS BK/BBVA USA BSHRS,30.0,697633,"BIRMINGHAM, AL",SMB,67930000000.0,67930000000.0,1.0,0.77,716.0,0.0,N,1.0,0.0055,2012-09-30,Q3-2012
COMERICA BK/COMERICA,31.0,60143,"DALLAS, TX",SMB,63308000000.0,62279000000.0,0.98,0.78,490.0,1.0,N,0.0,0.0051,2012-09-30,Q3-2012
BANK OF THE WEST/BANCWEST CORP,32.0,804963,"SAN FRANCISCO, CA",SNM,63037000000.0,63037000000.0,1.0,0.79,650.0,0.0,Y,0.1,0.0051,2012-09-30,Q3-2012
HUNTINGTON NB/HUNTINGTON BSHRS,33.0,12311,"COLUMBUS, OH",NAT,56236000000.0,56236000000.0,1.0,0.79,749.0,0.0,N,0.0,0.0046,2012-09-30,Q3-2012
DEUTSCHE BK TC AMERICAS/DEUTSCHE BK TR CORP,34.0,214807,"NEW YORK, NY",SMB,55201000000.0,50610000000.0,0.92,0.79,1.0,1.0,Y,1.0,0.0045,2012-09-30,Q3-2012
WELLS FARGO BK S CENT NA/WELLS FARGO & CO,35.0,2362458,"HOUSTON, TX",NAT,38778000000.0,38778000000.0,1.0,0.8,0.0,0.0,N,0.0,0.0032,2012-09-30,Q3-2012
FIRST NIAGARA BK NA/FIRST NIAGARA FNCL GROUP,36.0,517900,"BUFFALO, NY",NAT,35943000000.0,35943000000.0,1.0,0.8,434.0,0.0,N,0.0,0.0029,2012-09-30,Q3-2012
FIRST REPUBLIC BK/,37.0,4114567,"SAN FRANCISCO, CA",SNM,32576000000.0,32576000000.0,1.0,0.8,61.0,0.0,N,0.0,0.0026,2012-09-30,Q3-2012
BOKF NA/BOK FC,38.0,339858,"TULSA, OK",NAT,26876000000.0,26876000000.0,1.0,0.81,185.0,0.0,Y,0.0,0.0022,2012-09-30,Q3-2012
CITY NB/CITY NAT CORP,39.0,63069,"LOS ANGELES, CA",NAT,25878000000.0,25878000000.0,1.0,0.81,78.0,0.0,N,0.0,0.0021,2012-09-30,Q3-2012
