Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1224104000000.0,668260000000.0,0.55,0.13,2850.0,46.0,Y,0.0,0.1327,2007-03-31,Q1-2007
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1204472000000.0,1089169000000.0,0.9,0.26,5814.0,123.0,Y,0.0,0.1306,2007-03-31,Q1-2007
CITIBANK NA/CITIGROUP,3.0,476810,"LAS VEGAS, NV",NAT,1076949000000.0,571625000000.0,0.53,0.38,1006.0,379.0,Y,0.0,0.1168,2007-03-31,Q1-2007
WACHOVIA BK NA/WACHOVIA CORP,4.0,484422,"CHARLOTTE, NC",NAT,518753000000.0,497600000000.0,0.96,0.44,3185.0,11.0,Y,0.0,0.0562,2007-03-31,Q1-2007
WELLS FARGO BK NA/WELLS FARGO & CO,5.0,451965,"SIOUX FALLS, SD",NAT,396847000000.0,396752000000.0,1.0,0.48,4068.0,3.0,Y,0.0,0.043,2007-03-31,Q1-2007
U S BK NA/U S BC,6.0,504713,"CINCINNATI, OH",NAT,219825000000.0,218415000000.0,0.99,0.5,2836.0,1.0,N,0.0,0.0238,2007-03-31,Q1-2007
SUNTRUST BK/SUNTRUST BK,7.0,675332,"ATLANTA, GA",SMB,184810000000.0,184810000000.0,1.0,0.52,1941.0,0.0,Y,0.0,0.02,2007-03-31,Q1-2007
HSBC BK USA NA/HSBC NORTH AMER HOLD,8.0,413208,"WILMINGTON, DE",NAT,169010000000.0,156145000000.0,0.92,0.54,414.0,5.0,Y,1.0,0.0183,2007-03-31,Q1-2007
FIA CARD SVC NA/BANK OF AMER CORP,9.0,1830035,"WILMINGTON, DE",NAT,139265000000.0,128323000000.0,0.92,0.56,0.0,1.0,N,0.0,0.0151,2007-03-31,Q1-2007
REGIONS BK/REGIONS FC,10.0,233031,"BIRMINGHAM, AL",SMB,133224000000.0,128247000000.0,0.96,0.57,2206.0,0.0,N,0.0,0.0144,2007-03-31,Q1-2007
NATIONAL CITY BK/NATIONAL CITY CORP,11.0,259518,"CLEVELAND, OH",NAT,131742000000.0,131264000000.0,1.0,0.59,1509.0,1.0,N,0.0,0.0143,2007-03-31,Q1-2007
BRANCH BKG&TC/BB&T CORP,12.0,852320,"WINSTON-SALEM, NC",SNM,118083000000.0,117934000000.0,1.0,0.6,1431.0,0.0,N,0.0,0.0128,2007-03-31,Q1-2007
STATE STREET B&TC/STATE STREET CORP,13.0,35301,"BOSTON, MA",SMB,97978000000.0,81563000000.0,0.83,0.61,2.0,10.0,N,0.0,0.0106,2007-03-31,Q1-2007
PNC BK NA/PNC FNCL SVC GROUP,14.0,817824,"PITTSBURGH, PA",NAT,90405000000.0,88844000000.0,0.98,0.62,953.0,0.0,N,0.0,0.0098,2007-03-31,Q1-2007
