Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,3382195000000.0,2628335000000.0,0.78,0.16,4883.0,32.0,Y,,0.1567,2023-06-30,Q2-2023
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,2449804000000.0,2318268000000.0,0.95,0.27,3803.0,23.0,Y,,0.1135,2023-06-30,Q2-2023
CITIBANK NA/CITIGROUP,3.0,476810,"SIOUX FALLS, SD",NAT,1709727000000.0,1028989000000.0,0.6,0.35,660.0,122.0,Y,,0.0792,2023-06-30,Q2-2023
WELLS FARGO BK NA/WELLS FARGO & CO,4.0,451965,"SIOUX FALLS, SD",NAT,1667885000000.0,1641283000000.0,0.98,0.43,4528.0,10.0,Y,,0.0773,2023-06-30,Q2-2023
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,669903000000.0,660802000000.0,0.99,0.46,2340.0,1.0,N,,0.031,2023-06-30,Q2-2023
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,554128000000.0,552087000000.0,1.0,0.48,2431.0,1.0,N,,0.0257,2023-06-30,Q2-2023
TRUIST BK/TRUIST FC,7.0,852320,"CHARLOTTE, NC",SNM,546763000000.0,546698000000.0,1.0,0.51,2002.0,0.0,N,,0.0253,2023-06-30,Q2-2023
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,8.0,2182786,"NEW YORK, NY",SMB,517106000000.0,447561000000.0,0.87,0.53,2.0,2.0,N,,0.024,2023-06-30,Q2-2023
CAPITAL ONE NA/CAPITAL ONE FC,9.0,112837,"MC LEAN, VA",NAT,464954000000.0,464473000000.0,1.0,0.55,283.0,1.0,N,,0.0215,2023-06-30,Q2-2023
T D BK NA/TD GRP US HOLDS LLC,10.0,497404,"WILMINGTON, DE",NAT,374251000000.0,374251000000.0,1.0,0.57,1170.0,0.0,N,,0.0173,2023-06-30,Q2-2023
BANK OF NY MELLON/BANK OF NY MELLON CORP,11.0,541101,"NEW YORK, NY",SMB,348626000000.0,256465000000.0,0.74,0.59,1.0,15.0,Y,,0.0162,2023-06-30,Q2-2023
STATE STREET B&TC/STATE STREET CORP,12.0,35301,"BOSTON, MA",SMB,290889000000.0,209483000000.0,0.72,0.6,2.0,10.0,N,,0.0135,2023-06-30,Q2-2023
BMO HARRIS BK NA/BMO FNCL CORP,13.0,75633,"CHICAGO, IL",NAT,263344000000.0,263344000000.0,1.0,0.61,1024.0,0.0,N,,0.0122,2023-06-30,Q2-2023
CITIZENS BK NA/CITIZENS FNCL GRP,14.0,3303298,"PROVIDENCE, RI",NAT,222753000000.0,222753000000.0,1.0,0.62,1090.0,1.0,N,,0.0103,2023-06-30,Q2-2023
FIRST-CITIZENS B&TC/FIRST CITIZENS BSHRS,15.0,491224,"RALEIGH, NC",SNM,209406000000.0,209356000000.0,1.0,0.63,559.0,0.0,N,,0.0097,2023-06-30,Q2-2023
MANUFACTURERS & TRADERS TC/M&T BK CORP,16.0,501105,"BUFFALO, NY",SMB,207098000000.0,207098000000.0,1.0,0.64,1028.0,1.0,Y,,0.0096,2023-06-30,Q2-2023
FIFTH THIRD BK NA/FIFTH THIRD BC,17.0,723112,"CINCINNATI, OH",NAT,206426000000.0,206243000000.0,1.0,0.65,1089.0,1.0,N,,0.0096,2023-06-30,Q2-2023
MORGAN STANLEY BK NA/MORGAN STANLEY,18.0,1456501,"SALT LAKE CITY, UT",NAT,202537000000.0,202537000000.0,1.0,0.66,0.0,0.0,N,,0.0094,2023-06-30,Q2-2023
MORGAN STANLEY PRIV BK NA/MORGAN STANLEY,19.0,2489805,"PURCHASE, NY",NAT,197215000000.0,197215000000.0,1.0,0.67,0.0,0.0,N,,0.0091,2023-06-30,Q2-2023
KEYBANK NA/KEYCORP,20.0,280110,"CLEVELAND, OH",NAT,192783000000.0,192780000000.0,1.0,0.68,984.0,0.0,N,,0.0089,2023-06-30,Q2-2023
HUNTINGTON NB/HUNTINGTON BSHRS,21.0,12311,"COLUMBUS, OH",NAT,188063000000.0,188063000000.0,1.0,0.69,1077.0,0.0,N,,0.0087,2023-06-30,Q2-2023
ALLY BK/ALLY FNCL,22.0,3284070,"SANDY, UT",SMB,187350000000.0,187350000000.0,1.0,0.7,0.0,0.0,N,,0.0087,2023-06-30,Q2-2023
AMERICAN EXPRESS NB/AMERICAN EXPRESS CO,23.0,1394676,"SANDY, UT",NAT,172352000000.0,172352000000.0,1.0,0.71,0.0,0.0,N,,0.008,2023-06-30,Q2-2023
HSBC BK USA NA/HSBC N AMER HOLDS,24.0,413208,"TYSONS, VA",NAT,165205000000.0,165205000000.0,1.0,0.71,21.0,3.0,Y,,0.0077,2023-06-30,Q2-2023
NORTHERN TC/NORTHERN TR CORP,25.0,210434,"CHICAGO, IL",SMB,157816000000.0,117481000000.0,0.74,0.72,55.0,4.0,Y,,0.0073,2023-06-30,Q2-2023
REGIONS BK/REGIONS FC,26.0,233031,"BIRMINGHAM, AL",SMB,154556000000.0,154556000000.0,1.0,0.73,1276.0,0.0,N,,0.0072,2023-06-30,Q2-2023
DISCOVER BK/DISCOVER FS,27.0,30810,"GREENWOOD, DE",SNM,135650000000.0,135650000000.0,1.0,0.73,0.0,0.0,N,,0.0063,2023-06-30,Q2-2023
FLAGSTAR BK NA/NEW YORK CMNTY BC,28.0,694904,"HICKSVILLE, NY",NAT,118719000000.0,118719000000.0,1.0,0.74,436.0,0.0,N,,0.0055,2023-06-30,Q2-2023
SANTANDER BK NA/SANTANDER HOLDS USA,29.0,722777,"WILMINGTON, DE",NAT,102247000000.0,102235000000.0,1.0,0.74,437.0,0.0,N,,0.0047,2023-06-30,Q2-2023
