Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
BANK OF LANCASTER/BAY BK OF VA,1568.0,34425,"KILMARNOCK, VA",SMB,321000000.0,321000000.0,1.0,1.0,8.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
BENCHMARK BK/QUINLAN BSHRS,1569.0,980960,"PLANO, TX",SNM,321000000.0,321000000.0,1.0,1.0,1.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
COMMUNITY BK/MANSFIELD BSHRS,1570.0,974754,"MANSFIELD, LA",SNM,321000000.0,321000000.0,1.0,1.0,8.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
PRIMEBANK/PRIMEBANK,1571.0,671147,"LE MARS, IA",SMB,320000000.0,320000000.0,1.0,1.0,2.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
PEOPLES NB/PEOPLES BC,1572.0,698322,"EASLEY, SC",NAT,320000000.0,320000000.0,1.0,1.0,5.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
FIRST NB IN OLNEY/SUMMIT BSHRS,1573.0,412845,"OLNEY, IL",NAT,320000000.0,320000000.0,1.0,1.0,6.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
MAUCH CHUNK TC/MAUCH CHUNK TR FC,1574.0,857811,"JIM THORPE, PA",SNM,320000000.0,320000000.0,1.0,1.0,5.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
CMNTY BK OAK PARK RIVER FOREST/OAK PK RIVER FOREST BSHRS,1575.0,2445052,"OAK PARK, IL",SNM,320000000.0,320000000.0,1.0,1.0,1.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
WOODTRUST BK NA/WOODTRUST FC,1576.0,833749,"WISCONSIN RAPIDS, WI",NAT,319000000.0,319000000.0,1.0,1.0,4.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
M C B&TC/M C BSHRS,1577.0,1003839,"MORGAN CITY, LA",SNM,319000000.0,319000000.0,1.0,1.0,4.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
FRONTIER BK/FRONTIER NAT CORP,1578.0,255136,"LA GRANGE, GA",SNM,319000000.0,319000000.0,1.0,1.0,9.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
VALLEY B&TC/FIRST EXPRESS OF NE,1579.0,2472508,"SCOTTSBLUFF, NE",SNM,319000000.0,319000000.0,1.0,1.0,10.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
ORANGE BK OF FL/FLORIDIAN FNCL GRP,1580.0,3357871,"ORLANDO, FL",SNM,319000000.0,319000000.0,1.0,1.0,7.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
FARMERS ST BK/FARMERS ST FC,1581.0,475354,"VICTOR, MT",SMB,318000000.0,318000000.0,1.0,1.0,6.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
FARMERS & MRCH SVG BK/DUNN INV CO,1582.0,863746,"MANCHESTER, IA",SMB,318000000.0,318000000.0,1.0,1.0,5.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
BANK OF SUN PRAIRIE/BOSP BSHRS,1583.0,124344,"SUN PRAIRIE, WI",SNM,317000000.0,317000000.0,1.0,1.0,3.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
RIVERSIDE CNMTY BK/HEARTLAND FNCL USA,1584.0,2339900,"ROCKFORD, IL",SNM,317000000.0,317000000.0,1.0,1.0,3.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
