Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1746242000000.0,1150842000000.0,0.66,0.15,3519.0,45.0,Y,0.0,0.1528,2008-12-31,Q4-2008
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1471631000000.0,1375013000000.0,0.93,0.28,6192.0,35.0,Y,0.0,0.1288,2008-12-31,Q4-2008
CITIBANK NA/CITIGROUP,3.0,476810,"LAS VEGAS, NV",NAT,1227040000000.0,663945000000.0,0.54,0.39,1041.0,357.0,Y,0.0,0.1074,2008-12-31,Q4-2008
WACHOVIA BK NA/WELLS FARGO & CO,4.0,484422,"CHARLOTTE, NC",NAT,635476000000.0,605569000000.0,0.95,0.44,3348.0,8.0,Y,0.0,0.0556,2008-12-31,Q4-2008
WELLS FARGO BK NA/WELLS FARGO & CO,5.0,451965,"SIOUX FALLS, SD",NAT,538958000000.0,538671000000.0,1.0,0.49,3336.0,3.0,Y,0.0,0.0472,2008-12-31,Q4-2008
U S BK NA/U S BC,6.0,504713,"CINCINNATI, OH",NAT,261776000000.0,260836000000.0,1.0,0.51,2835.0,1.0,N,0.0,0.0229,2008-12-31,Q4-2008
BANK OF NY MELLON/BANK OF NY MELLON CORP,7.0,541101,"NEW YORK, NY",SMB,195164000000.0,137676000000.0,0.71,0.53,12.0,10.0,Y,0.0,0.0171,2008-12-31,Q4-2008
SUNTRUST BK/SUNTRUST BK,8.0,675332,"ATLANTA, GA",SMB,185099000000.0,185099000000.0,1.0,0.55,1747.0,0.0,Y,0.0,0.0162,2008-12-31,Q4-2008
HSBC BK USA NA/HSBC NORTH AMER HOLD,9.0,413208,"MCLEAN, VA",NAT,181604000000.0,170130000000.0,0.94,0.56,471.0,5.0,Y,1.0,0.0159,2008-12-31,Q4-2008
STATE STREET B&TC/STATE STREET CORP,10.0,35301,"BOSTON, MA",SMB,171228000000.0,87659000000.0,0.51,0.58,3.0,10.0,N,0.0,0.015,2008-12-31,Q4-2008
