Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,3290398000000.0,2544274000000.0,0.77,0.16,4858.0,33.0,Y,,0.1554,2021-09-30,Q3-2021
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,2400819000000.0,2282408000000.0,0.95,0.27,4125.0,24.0,Y,,0.1134,2021-09-30,Q3-2021
WELLS FARGO BK NA/WELLS FARGO & CO,3.0,451965,"SIOUX FALLS, SD",NAT,1786611000000.0,1754910000000.0,0.98,0.35,4881.0,11.0,Y,,0.0844,2021-09-30,Q3-2021
CITIBANK NA/CITIGROUP,4.0,476810,"SIOUX FALLS, SD",NAT,1703923000000.0,1022795000000.0,0.6,0.43,668.0,149.0,Y,,0.0805,2021-09-30,Q3-2021
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,556811000000.0,544075000000.0,0.98,0.46,2288.0,1.0,N,,0.0263,2021-09-30,Q3-2021
TRUIST BK/TRUIST FC,6.0,852320,"CHARLOTTE, NC",SNM,516783000000.0,516743000000.0,1.0,0.48,2519.0,1.0,N,,0.0244,2021-09-30,Q3-2021
PNC BK NA/PNC FNCL SVC GROUP,7.0,817824,"WILMINGTON, DE",NAT,462386000000.0,457522000000.0,0.99,0.51,2162.0,1.0,N,,0.0218,2021-09-30,Q3-2021
T D BK NA/TD GRP US HOLDS LLC,8.0,497404,"WILMINGTON, DE",NAT,413131000000.0,413131000000.0,1.0,0.53,1144.0,0.0,N,,0.0195,2021-09-30,Q3-2021
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,9.0,2182786,"NEW YORK, NY",SMB,387383000000.0,344581000000.0,0.89,0.54,2.0,2.0,N,,0.0183,2021-09-30,Q3-2021
BANK OF NY MELLON/BANK OF NY MELLON CORP,10.0,541101,"NEW YORK, NY",SMB,385830000000.0,265672000000.0,0.69,0.56,2.0,14.0,Y,,0.0182,2021-09-30,Q3-2021
CAPITAL ONE NA/CAPITAL ONE FC,11.0,112837,"MC LEAN, VA",NAT,372049000000.0,372046000000.0,1.0,0.58,331.0,0.0,N,,0.0176,2021-09-30,Q3-2021
STATE STREET B&TC/STATE STREET CORP,12.0,35301,"BOSTON, MA",SMB,319439000000.0,230776000000.0,0.72,0.59,2.0,10.0,N,,0.0151,2021-09-30,Q3-2021
FIFTH THIRD BK NA/FIFTH THIRD BC,13.0,723112,"CINCINNATI, OH",NAT,206377000000.0,206172000000.0,1.0,0.6,1117.0,1.0,N,,0.0097,2021-09-30,Q3-2021
HSBC BK USA NA/HSBC N AMER HOLDS,14.0,413208,"TYSONS, VA",NAT,199613000000.0,199613000000.0,1.0,0.61,146.0,3.0,Y,,0.0094,2021-09-30,Q3-2021
SILICON VALLEY BK/SVB FNCL GRP,15.0,802866,"SANTA CLARA, CA",SMB,188327000000.0,179197000000.0,0.95,0.62,22.0,1.0,N,,0.0089,2021-09-30,Q3-2021
CITIZENS BK NA/CITIZENS FNCL GRP,16.0,3303298,"PROVIDENCE, RI",NAT,187103000000.0,187103000000.0,1.0,0.63,966.0,1.0,N,,0.0088,2021-09-30,Q3-2021
KEYBANK NA/KEYCORP,17.0,280110,"CLEVELAND, OH",NAT,184659000000.0,184658000000.0,1.0,0.64,1020.0,0.0,N,,0.0087,2021-09-30,Q3-2021
MORGAN STANLEY BK NA/MORGAN STANLEY,18.0,1456501,"SALT LAKE CITY, UT",NAT,177797000000.0,177797000000.0,1.0,0.65,0.0,0.0,N,,0.0084,2021-09-30,Q3-2021
HUNTINGTON NB/HUNTINGTON BSHRS,19.0,12311,"COLUMBUS, OH",NAT,173438000000.0,173438000000.0,1.0,0.66,1298.0,0.0,N,,0.0082,2021-09-30,Q3-2021
FIRST REPUBLIC BK/,20.0,4114567,"SAN FRANCISCO, CA",SNM,172571000000.0,172571000000.0,1.0,0.67,72.0,0.0,N,,0.0081,2021-09-30,Q3-2021
ALLY BK/ALLY FNCL,21.0,3284070,"SANDY, UT",SMB,169383000000.0,169383000000.0,1.0,0.67,0.0,0.0,N,,0.008,2021-09-30,Q3-2021
NORTHERN TC/NORTHERN TR CORP,22.0,210434,"CHICAGO, IL",SMB,168651000000.0,114854000000.0,0.68,0.68,54.0,5.0,Y,,0.008,2021-09-30,Q3-2021
BMO HARRIS BK NA/BMO FNCL CORP,23.0,75633,"CHICAGO, IL",NAT,166196000000.0,166196000000.0,1.0,0.69,529.0,0.0,N,,0.0078,2021-09-30,Q3-2021
