Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,3510536000000.0,2646296000000.0,0.75,0.16,4886.0,32.0,Y,,0.1589,2024-06-30,Q2-2024
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,2550584000000.0,2412440000000.0,0.95,0.27,3736.0,23.0,Y,,0.1154,2024-06-30,Q2-2024
WELLS FARGO BK NA/WELLS FARGO & CO,3.0,451965,"SIOUX FALLS, SD",NAT,1719839000000.0,1696452000000.0,0.99,0.35,4276.0,10.0,Y,,0.0778,2024-06-30,Q2-2024
CITIBANK NA/CITIGROUP,4.0,476810,"SIOUX FALLS, SD",NAT,1678936000000.0,1036223000000.0,0.62,0.43,648.0,113.0,Y,,0.076,2024-06-30,Q2-2024
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,664924000000.0,655817000000.0,0.99,0.46,2243.0,1.0,N,,0.0301,2024-06-30,Q2-2024
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,552530000000.0,548754000000.0,0.99,0.48,2320.0,1.0,N,,0.025,2024-06-30,Q2-2024
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,7.0,2182786,"NEW YORK, NY",SMB,543888000000.0,472098000000.0,0.87,0.51,2.0,2.0,N,,0.0246,2024-06-30,Q2-2024
TRUIST BK/TRUIST FC,8.0,852320,"CHARLOTTE, NC",SNM,511931000000.0,511894000000.0,1.0,0.53,1930.0,0.0,N,,0.0232,2024-06-30,Q2-2024
CAPITAL ONE NA/CAPITAL ONE FC,9.0,112837,"MC LEAN, VA",NAT,477304000000.0,476823000000.0,1.0,0.55,256.0,1.0,N,,0.0216,2024-06-30,Q2-2024
T D BK NA/TD GRP US HOLDS LLC,10.0,497404,"WILMINGTON, DE",NAT,370332000000.0,370332000000.0,1.0,0.57,1171.0,0.0,N,,0.0168,2024-06-30,Q2-2024
BANK OF NY MELLON/BANK OF NY MELLON CORP,11.0,541101,"NEW YORK, NY",SMB,351806000000.0,256104000000.0,0.73,0.59,1.0,15.0,Y,,0.0159,2024-06-30,Q2-2024
STATE STREET B&TC/STATE STREET CORP,12.0,35301,"BOSTON, MA",SMB,321473000000.0,244440000000.0,0.76,0.6,2.0,10.0,N,,0.0145,2024-06-30,Q2-2024
BMO BK NA/BMO FNCL CORP,13.0,75633,"CHICAGO, IL",NAT,261999000000.0,261999000000.0,1.0,0.61,1000.0,0.0,N,,0.0119,2024-06-30,Q2-2024
FIRST-CITIZENS B&TC/FIRST CITIZENS BSHRS,14.0,491224,"RALEIGH, NC",SNM,219685000000.0,219601000000.0,1.0,0.62,543.0,0.0,N,,0.0099,2024-06-30,Q2-2024
CITIZENS BK NA/CITIZENS FNCL GRP,15.0,3303298,"PROVIDENCE, RI",NAT,219634000000.0,219634000000.0,1.0,0.63,1010.0,1.0,N,,0.0099,2024-06-30,Q2-2024
FIFTH THIRD BK NA/FIFTH THIRD BC,16.0,723112,"CINCINNATI, OH",NAT,212484000000.0,212365000000.0,1.0,0.64,1085.0,1.0,N,,0.0096,2024-06-30,Q2-2024
MORGAN STANLEY BK NA/MORGAN STANLEY,17.0,1456501,"SALT LAKE CITY, UT",NAT,211521000000.0,211521000000.0,1.0,0.65,0.0,0.0,N,,0.0096,2024-06-30,Q2-2024
MANUFACTURERS & TRADERS TC/M&T BK CORP,18.0,501105,"BUFFALO, NY",SMB,208378000000.0,208378000000.0,1.0,0.66,989.0,1.0,Y,,0.0094,2024-06-30,Q2-2024
MORGAN STANLEY PRIV BK NA/MORGAN STANLEY,19.0,2489805,"PURCHASE, NY",NAT,207569000000.0,207569000000.0,1.0,0.67,0.0,0.0,N,,0.0094,2024-06-30,Q2-2024
HUNTINGTON NB/HUNTINGTON BSHRS,20.0,12311,"COLUMBUS, OH",NAT,195864000000.0,195864000000.0,1.0,0.68,1033.0,0.0,N,,0.0089,2024-06-30,Q2-2024
AMERICAN EXPRESS NB/AMERICAN EXPRESS CO,21.0,1394676,"SANDY, UT",NAT,192276000000.0,192276000000.0,1.0,0.69,0.0,0.0,N,,0.0087,2024-06-30,Q2-2024
KEYBANK NA/KEYCORP,22.0,280110,"CLEVELAND, OH",NAT,184963000000.0,184960000000.0,1.0,0.7,955.0,0.0,N,,0.0084,2024-06-30,Q2-2024
ALLY BK/ALLY FNCL,23.0,3284070,"SANDY, UT",SMB,181969000000.0,181969000000.0,1.0,0.7,0.0,0.0,N,,0.0082,2024-06-30,Q2-2024
HSBC BK USA NA/HSBC N AMER HOLDS,24.0,413208,"TYSONS, VA",NAT,159048000000.0,159048000000.0,1.0,0.71,20.0,3.0,Y,,0.0072,2024-06-30,Q2-2024
NORTHERN TC/NORTHERN TR CORP,25.0,210434,"CHICAGO, IL",SMB,156265000000.0,111454000000.0,0.71,0.72,55.0,4.0,Y,,0.0071,2024-06-30,Q2-2024
REGIONS BK/REGIONS FC,26.0,233031,"BIRMINGHAM, AL",SMB,153039000000.0,153039000000.0,1.0,0.72,1261.0,0.0,N,,0.0069,2024-06-30,Q2-2024
DISCOVER BK/DISCOVER FS,27.0,30810,"GREENWOOD, DE",SNM,148660000000.0,148660000000.0,1.0,0.73,0.0,0.0,N,,0.0067,2024-06-30,Q2-2024
FLAGSTAR BK NA/NEW YORK CMNTY BC,28.0,694904,"HICKSVILLE, NY",NAT,118994000000.0,118994000000.0,1.0,0.74,419.0,0.0,N,,0.0054,2024-06-30,Q2-2024
SANTANDER BK NA/SANTANDER HOLDS USA,29.0,722777,"WILMINGTON, DE",NAT,100562000000.0,100556000000.0,1.0,0.74,403.0,0.0,N,,0.0046,2024-06-30,Q2-2024
CITY NB/RBC US GRP HOLDS LLC,30.0,63069,"LOS ANGELES, CA",NAT,92245000000.0,92245000000.0,1.0,0.75,64.0,0.0,N,,0.0042,2024-06-30,Q2-2024
ZIONS BC NA/,31.0,276579,"SALT LAKE CITY, UT",NAT,87606000000.0,87606000000.0,1.0,0.75,430.0,0.0,N,,0.004,2024-06-30,Q2-2024
FIRST HORIZON BK/FIRST HORIZON CORP,32.0,485559,"MEMPHIS, TN",SMB,81935000000.0,81935000000.0,1.0,0.75,419.0,0.0,N,,0.0037,2024-06-30,Q2-2024
WESTERN ALLI BK/WESTERN ALLI BC,33.0,3138146,"PHOENIX, AZ",SMB,80470000000.0,80470000000.0,1.0,0.76,37.0,0.0,N,,0.0036,2024-06-30,Q2-2024
COMERICA BK/COMERICA,34.0,60143,"DALLAS, TX",SMB,79611000000.0,79270000000.0,1.0,0.76,381.0,1.0,N,,0.0036,2024-06-30,Q2-2024
WEBSTER BK NA/WEBSTER FNCL CORP,35.0,761806,"STAMFORD, CT",NAT,76761000000.0,76761000000.0,1.0,0.76,196.0,0.0,N,,0.0035,2024-06-30,Q2-2024
