Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,2140778000000.0,1649874000000.0,0.77,0.14,5138.0,33.0,Y,0.0,0.1375,2017-12-31,Q4-2017
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1751524000000.0,1642198000000.0,0.94,0.25,4519.0,27.0,Y,0.0,0.1125,2017-12-31,Q4-2017
WELLS FARGO BK NA/WELLS FARGO & CO,3.0,451965,"SIOUX FALLS, SD",NAT,1747354000000.0,1688983000000.0,0.97,0.36,5953.0,14.0,Y,0.0,0.1122,2017-12-31,Q4-2017
CITIBANK NA/CITIGROUP,4.0,476810,"SIOUX FALLS, SD",NAT,1384707000000.0,845800000000.0,0.61,0.45,706.0,175.0,Y,0.0,0.0889,2017-12-31,Q4-2017
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,456026000000.0,444720000000.0,0.98,0.48,3149.0,1.0,N,0.0,0.0293,2017-12-31,Q4-2017
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,370002000000.0,365906000000.0,0.99,0.5,2533.0,2.0,N,0.0,0.0238,2017-12-31,Q4-2017
BANK OF NY MELLON/BANK OF NY MELLON CORP,7.0,541101,"NEW YORK, NY",SMB,297305000000.0,182415000000.0,0.61,0.52,1.0,14.0,Y,0.0,0.0191,2017-12-31,Q4-2017
CAPITAL ONE NA/CAPITAL ONE FC,8.0,112837,"MC LEAN, VA",NAT,290651000000.0,290581000000.0,1.0,0.54,623.0,0.0,N,0.0,0.0187,2017-12-31,Q4-2017
T D BK NA/TD GRP US HOLDS LLC,9.0,497404,"WILMINGTON, DE",NAT,288294000000.0,288294000000.0,1.0,0.56,1245.0,0.0,N,1.0,0.0185,2017-12-31,Q4-2017
STATE STREET B&TC/STATE STREET CORP,10.0,35301,"BOSTON, MA",SMB,235022000000.0,151127000000.0,0.64,0.58,2.0,11.0,N,0.0,0.0151,2017-12-31,Q4-2017
BRANCH BKG&TC/BB&T CORP,11.0,852320,"WINSTON-SALEM, NC",SNM,216077000000.0,215839000000.0,1.0,0.59,2049.0,1.0,N,0.0,0.0139,2017-12-31,Q4-2017
SUNTRUST BK/SUNTRUST BK,12.0,675332,"ATLANTA, GA",SMB,201638000000.0,201638000000.0,1.0,0.6,1287.0,0.0,Y,0.0,0.013,2017-12-31,Q4-2017
HSBC BK USA NA/HSBC N AMER HOLDS,13.0,413208,"MC LEAN, VA",NAT,180372000000.0,177444000000.0,0.98,0.61,227.0,3.0,Y,1.0,0.0116,2017-12-31,Q4-2017
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,14.0,2182786,"NEW YORK, NY",SMB,164539000000.0,164539000000.0,1.0,0.62,1.0,1.0,N,0.0,0.0106,2017-12-31,Q4-2017
CHASE BK USA NA/JPMORGAN CHASE & CO,15.0,489913,"WILMINGTON, DE",NAT,143801000000.0,143801000000.0,1.0,0.63,0.0,0.0,N,0.0,0.0092,2017-12-31,Q4-2017
FIFTH THIRD BK/FIFTH THIRD BC,16.0,723112,"CINCINNATI, OH",SMB,140078000000.0,139525000000.0,1.0,0.64,1174.0,1.0,N,0.0,0.009,2017-12-31,Q4-2017
NORTHERN TC/NORTHERN TR CORP,17.0,210434,"CHICAGO, IL",SMB,138163000000.0,92313000000.0,0.67,0.65,66.0,5.0,Y,0.0,0.0089,2017-12-31,Q4-2017
ALLY BK/ALLY FNCL,18.0,3284070,"SANDY, UT",SMB,137474000000.0,137474000000.0,1.0,0.66,0.0,0.0,N,0.0,0.0088,2017-12-31,Q4-2017
KEYBANK NA/KEYCORP,19.0,280110,"CLEVELAND, OH",NAT,135758000000.0,135733000000.0,1.0,0.67,1222.0,0.0,N,0.0,0.0087,2017-12-31,Q4-2017
MORGAN STANLEY BK NA/MORGAN STANLEY,20.0,1456501,"SALT LAKE CITY, UT",NAT,129707000000.0,129707000000.0,1.0,0.68,0.0,0.0,N,0.0,0.0083,2017-12-31,Q4-2017
REGIONS BK/REGIONS FC,21.0,233031,"BIRMINGHAM, AL",SMB,123325000000.0,123325000000.0,1.0,0.69,1466.0,0.0,N,0.0,0.0079,2017-12-31,Q4-2017
CITIZENS BK NA/CITIZENS FNCL GRP,22.0,3303298,"PROVIDENCE, RI",NAT,121996000000.0,121996000000.0,1.0,0.69,802.0,1.0,N,0.0,0.0078,2017-12-31,Q4-2017
CAPITAL ONE BK USA NA/CAPITAL ONE FC,23.0,2253891,"GLEN ALLEN, VA",NAT,119556000000.0,118325000000.0,0.99,0.7,0.0,1.0,N,0.0,0.0077,2017-12-31,Q4-2017
MUFG UNION BK NA/MUFG AMERS HOLDS CORP,24.0,212465,"SAN FRANCISCO, CA",NAT,118537000000.0,118533000000.0,1.0,0.71,359.0,1.0,Y,0.99,0.0076,2017-12-31,Q4-2017
MANUFACTURERS & TRADERS TC/M&T BK CORP,25.0,501105,"BUFFALO, NY",SMB,118072000000.0,118072000000.0,1.0,0.72,820.0,2.0,Y,0.0,0.0076,2017-12-31,Q4-2017
BMO HARRIS BK NA/BMO FNCL CORP,26.0,75633,"CHICAGO, IL",NAT,109373000000.0,109373000000.0,1.0,0.72,595.0,0.0,N,1.0,0.007,2017-12-31,Q4-2017
