Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
BANK OF AMER NA/BANK OF AMER CORP,1.0,480228,"CHARLOTTE, NC",NAT,1082243000000.0,984146000000.0,0.91,0.13,6249.0,181.0,Y,0.0,0.1323,2005-12-31,Q4-2005
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,2.0,852218,"COLUMBUS, OH",NAT,1013985000000.0,627745000000.0,0.62,0.26,2798.0,114.0,Y,0.0,0.124,2005-12-31,Q4-2005
CITIBANK NA/CITIGROUP,3.0,476810,"NEW YORK, NY",NAT,706497000000.0,317815000000.0,0.45,0.34,388.0,342.0,Y,0.0,0.0864,2005-12-31,Q4-2005
WACHOVIA BK NA/WACHOVIA CORP,4.0,484422,"CHARLOTTE, NC",NAT,472143000000.0,450673000000.0,0.95,0.4,3832.0,7.0,Y,0.0,0.0577,2005-12-31,Q4-2005
WELLS FARGO BK NA/WELLS FARGO & CO,5.0,451965,"SIOUX FALLS, SD",NAT,403258000000.0,402596000000.0,1.0,0.45,3729.0,2.0,Y,0.0,0.0493,2005-12-31,Q4-2005
U S BK NA/U S BC,6.0,504713,"CINCINNATI, OH",NAT,208867000000.0,208130000000.0,1.0,0.48,2759.0,1.0,Y,0.0,0.0255,2005-12-31,Q4-2005
SUNTRUST BK/SUNTRUST BK,7.0,675332,"ATLANTA, GA",SMB,177231000000.0,177231000000.0,1.0,0.5,1868.0,0.0,Y,0.0,0.0217,2005-12-31,Q4-2005
HSBC BK USA NA/HSBC OVERSEAS HOLD UK,8.0,413208,"WILMINGTON, DE",NAT,150679000000.0,140503000000.0,0.93,0.52,413.0,5.0,Y,1.0,0.0184,2005-12-31,Q4-2005
KEYBANK NA/KEYCORP,9.0,280110,"CLEVELAND, OH",NAT,88961000000.0,87030000000.0,0.98,0.53,1159.0,1.0,N,0.0,0.0109,2005-12-31,Q4-2005
STATE STREET B&TC/STATE STREET CORP,10.0,35301,"BOSTON, MA",SMB,87888000000.0,70047000000.0,0.8,0.54,2.0,12.0,N,0.0,0.0107,2005-12-31,Q4-2005
BANK OF NY/BANK OF NY CO,11.0,541101,"NEW YORK, NY",SMB,85868000000.0,57899000000.0,0.67,0.55,340.0,9.0,Y,0.0,0.0105,2005-12-31,Q4-2005
PNC BK NA/PNC FNCL SVC GROUP,12.0,817824,"PITTSBURGH, PA",NAT,82877000000.0,81172000000.0,0.98,0.56,934.0,0.0,Y,0.0,0.0101,2005-12-31,Q4-2005
REGIONS BK/REGIONS FC,13.0,233031,"BIRMINGHAM, AL",SMB,81074000000.0,76632000000.0,0.95,0.57,1525.0,0.0,N,0.0,0.0099,2005-12-31,Q4-2005
BRANCH BKG&TC/BB&T CORP,14.0,852320,"WINSTON-SALEM, NC",SNM,80227000000.0,80227000000.0,1.0,0.58,938.0,0.0,N,0.0,0.0098,2005-12-31,Q4-2005
CHASE BK USA NA/JPMORGAN CHASE & CO,15.0,489913,"NEWARK, DE",NAT,75052000000.0,75052000000.0,1.0,0.59,2.0,0.0,Y,0.0,0.0092,2005-12-31,Q4-2005
