Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
BANK OF AMER NA/BANK OF AMER CORP,1.0,480228,"CHARLOTTE, NC",NAT,1252402000000.0,1116863000000.0,0.89,0.13,5835.0,123.0,Y,0.0,0.1319,2007-06-30,Q2-2007
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,2.0,852218,"COLUMBUS, OH",NAT,1252369000000.0,700274000000.0,0.56,0.26,2870.0,46.0,Y,0.0,0.1319,2007-06-30,Q2-2007
CITIBANK NA/CITIGROUP,3.0,476810,"LAS VEGAS, NV",NAT,1132840000000.0,551456000000.0,0.49,0.38,1006.0,365.0,Y,0.0,0.1193,2007-06-30,Q2-2007
WACHOVIA BK NA/WACHOVIA CORP,4.0,484422,"CHARLOTTE, NC",NAT,524113000000.0,488556000000.0,0.93,0.44,3167.0,12.0,Y,0.0,0.0552,2007-06-30,Q2-2007
WELLS FARGO BK NA/WELLS FARGO & CO,5.0,451965,"SIOUX FALLS, SD",NAT,428724000000.0,428612000000.0,1.0,0.48,4076.0,3.0,Y,0.0,0.0451,2007-06-30,Q2-2007
U S BK NA/U S BC,6.0,504713,"CINCINNATI, OH",NAT,221026000000.0,219439000000.0,0.99,0.51,2836.0,1.0,N,0.0,0.0233,2007-06-30,Q2-2007
SUNTRUST BK/SUNTRUST BK,7.0,675332,"ATLANTA, GA",SMB,177067000000.0,177067000000.0,1.0,0.53,1933.0,0.0,Y,0.0,0.0186,2007-06-30,Q2-2007
HSBC BK USA NA/HSBC NORTH AMER HOLD,8.0,413208,"WILMINGTON, DE",NAT,168652000000.0,157233000000.0,0.93,0.54,414.0,5.0,Y,1.0,0.0178,2007-06-30,Q2-2007
FIA CARD SVC NA/BANK OF AMER CORP,9.0,1830035,"WILMINGTON, DE",NAT,143218000000.0,131683000000.0,0.92,0.56,0.0,1.0,N,0.0,0.0151,2007-06-30,Q2-2007
NATIONAL CITY BK/NATIONAL CITY CORP,10.0,259518,"CLEVELAND, OH",NAT,138415000000.0,137922000000.0,1.0,0.57,1430.0,1.0,N,0.0,0.0146,2007-06-30,Q2-2007
