Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1842735000000.0,1227331000000.0,0.67,0.15,5552.0,45.0,Y,0.0,0.1535,2012-03-31,Q1-2012
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1448262000000.0,1341753000000.0,0.93,0.27,5699.0,34.0,Y,0.0,0.1206,2012-03-31,Q1-2012
CITIBANK NA/CITIGROUP,3.0,476810,"SIOUX FALLS, SD",NAT,1312764000000.0,696828000000.0,0.53,0.38,1041.0,314.0,Y,0.0,0.1093,2012-03-31,Q1-2012
WELLS FARGO BK NA/WELLS FARGO & CO,4.0,451965,"SIOUX FALLS, SD",NAT,1181817000000.0,1152497000000.0,0.98,0.48,6335.0,9.0,Y,0.0,0.0984,2012-03-31,Q1-2012
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,330227000000.0,328200000000.0,0.99,0.51,3127.0,1.0,N,0.0,0.0275,2012-03-31,Q1-2012
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,287766000000.0,285708000000.0,0.99,0.53,3035.0,1.0,N,0.0,0.024,2012-03-31,Q1-2012
BANK OF NY MELLON/BANK OF NY MELLON CORP,7.0,541101,"NEW YORK, NY",SMB,229715000000.0,143302000000.0,0.62,0.55,4.0,13.0,Y,0.0,0.0191,2012-03-31,Q1-2012
HSBC BK USA NA/HSBC NORTH AMER HOLD,8.0,413208,"MCLEAN, VA",NAT,206809000000.0,187838000000.0,0.91,0.57,471.0,4.0,Y,1.0,0.0172,2012-03-31,Q1-2012
T D BK NA/TD US P & C HOLD ULC,9.0,497404,"WILMINGTON, DE",NAT,193074000000.0,193074000000.0,1.0,0.59,1284.0,1.0,N,1.0,0.0161,2012-03-31,Q1-2012
STATE STREET B&TC/STATE STREET CORP,10.0,35301,"BOSTON, MA",SMB,183994000000.0,130903000000.0,0.71,0.6,2.0,12.0,N,0.0,0.0153,2012-03-31,Q1-2012
SUNTRUST BK/SUNTRUST BK,11.0,675332,"ATLANTA, GA",SMB,172289000000.0,172289000000.0,1.0,0.62,1697.0,0.0,Y,0.0,0.0143,2012-03-31,Q1-2012
BRANCH BKG&TC/BB&T CORP,12.0,852320,"WINSTON-SALEM, NC",SNM,169026000000.0,168715000000.0,1.0,0.63,1772.0,1.0,N,0.0,0.0141,2012-03-31,Q1-2012
FIA CARD SVC NA/BANK OF AMER CORP,13.0,1830035,"WILMINGTON, DE",NAT,160839000000.0,155741000000.0,0.97,0.64,0.0,0.0,N,0.0,0.0134,2012-03-31,Q1-2012
CAPITAL ONE NA/CAPITAL ONE FC,14.0,112837,"MCLEAN, VA",NAT,133000000000.0,132923000000.0,1.0,0.65,980.0,0.0,N,0.0,0.0111,2012-03-31,Q1-2012
REGIONS BK/REGIONS FC,15.0,233031,"BIRMINGHAM, AL",SMB,124713000000.0,124384000000.0,1.0,0.66,1718.0,0.0,N,0.0,0.0104,2012-03-31,Q1-2012
CHASE BK USA NA/JPMORGAN CHASE & CO,16.0,489913,"NEWARK, DE",NAT,116533000000.0,116533000000.0,1.0,0.67,1.0,0.0,Y,0.0,0.0097,2012-03-31,Q1-2012
FIFTH THIRD BK/FIFTH THIRD BC,17.0,723112,"CINCINNATI, OH",SMB,114402000000.0,114240000000.0,1.0,0.68,1368.0,1.0,N,0.0,0.0095,2012-03-31,Q1-2012
RBS CITIZENS NA/RBS CITIZENS FNCL GRP,18.0,3303298,"PROVIDENCE, RI",NAT,106242000000.0,106242000000.0,1.0,0.69,1068.0,1.0,N,0.75,0.0088,2012-03-31,Q1-2012
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,19.0,2182786,"NEW YORK, NY",SMB,101927000000.0,101925000000.0,1.0,0.7,3.0,0.0,N,0.0,0.0085,2012-03-31,Q1-2012
BMO HARRIS BK NA/BMO FNCL CORP,20.0,75633,"CHICAGO, IL",NAT,94826000000.0,94786000000.0,1.0,0.71,723.0,0.0,N,1.0,0.0079,2012-03-31,Q1-2012
UNION BK NA/UNIONBANCAL CORP,21.0,212465,"SAN FRANCISCO, CA",NAT,91576000000.0,90362000000.0,0.99,0.72,407.0,1.0,Y,1.0,0.0076,2012-03-31,Q1-2012
NORTHERN TC/NORTHERN TR CORP,22.0,210434,"CHICAGO, IL",SMB,91341000000.0,63999000000.0,0.7,0.72,77.0,4.0,Y,0.0,0.0076,2012-03-31,Q1-2012
ALLY BK/ALLY FNCL,23.0,3284070,"MIDVALE, UT",SNM,88627000000.0,88627000000.0,1.0,0.73,0.0,0.0,N,0.0,0.0074,2012-03-31,Q1-2012
KEYBANK NA/KEYCORP,24.0,280110,"CLEVELAND, OH",NAT,84839000000.0,83776000000.0,0.99,0.74,1078.0,1.0,N,0.0,0.0071,2012-03-31,Q1-2012
SOVEREIGN BK NA/SANTANDER HOLDS USA,25.0,722777,"WILMINGTON, DE",NAT,80228000000.0,79437000000.0,0.99,0.75,729.0,2.0,N,1.0,0.0067,2012-03-31,Q1-2012
MANUFACTURERS & TRADERS TC/M&T BK CORP,26.0,501105,"BUFFALO, NY",SMB,78222000000.0,78222000000.0,1.0,0.75,800.0,2.0,Y,0.0,0.0065,2012-03-31,Q1-2012
DISCOVER BK/DISCOVER FS,27.0,30810,"GREENWOOD, DE",SNM,69490000000.0,69490000000.0,1.0,0.76,0.0,0.0,N,0.0,0.0058,2012-03-31,Q1-2012
CAPITAL ONE BK USA NA/CAPITAL ONE FC,28.0,2253891,"GLEN ALLEN, VA",NAT,69402000000.0,66457000000.0,0.96,0.76,0.0,1.0,N,0.0,0.0058,2012-03-31,Q1-2012
MORGAN STANLEY BK NA/MORGAN STANLEY,29.0,1456501,"SALT LAKE CITY, UT",NAT,67651000000.0,67651000000.0,1.0,0.77,0.0,0.0,N,0.0,0.0056,2012-03-31,Q1-2012
COMPASS BK/BBVA USA BSHRS,30.0,697633,"BIRMINGHAM, AL",SMB,65361000000.0,65361000000.0,1.0,0.77,718.0,0.0,N,1.0,0.0054,2012-03-31,Q1-2012
COMERICA BK/COMERICA,31.0,60143,"DALLAS, TX",SMB,62503000000.0,61608000000.0,0.99,0.78,492.0,1.0,N,0.0,0.0052,2012-03-31,Q1-2012
