Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,3308575000000.0,2521739000000.0,0.76,0.15,4806.0,33.0,Y,,0.153,2022-09-30,Q3-2022
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,2407902000000.0,2286214000000.0,0.95,0.26,3840.0,24.0,Y,,0.1114,2022-09-30,Q3-2022
CITIBANK NA/CITIGROUP,3.0,476810,"SIOUX FALLS, SD",NAT,1714474000000.0,1038239000000.0,0.61,0.34,661.0,143.0,Y,,0.0793,2022-09-30,Q3-2022
WELLS FARGO BK NA/WELLS FARGO & CO,4.0,451965,"SIOUX FALLS, SD",NAT,1712442000000.0,1689553000000.0,0.99,0.42,4687.0,10.0,Y,,0.0792,2022-09-30,Q3-2022
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,591211000000.0,582319000000.0,0.98,0.45,2245.0,1.0,N,,0.0273,2022-09-30,Q3-2022
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,553395000000.0,551701000000.0,1.0,0.48,2629.0,1.0,N,,0.0256,2022-09-30,Q3-2022
TRUIST BK/TRUIST FC,7.0,852320,"CHARLOTTE, NC",SNM,534185000000.0,534120000000.0,1.0,0.5,2119.0,0.0,N,,0.0247,2022-09-30,Q3-2022
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,8.0,2182786,"NEW YORK, NY",SMB,513905000000.0,447179000000.0,0.87,0.52,2.0,2.0,N,,0.0238,2022-09-30,Q3-2022
T D BK NA/TD GRP US HOLDS LLC,9.0,497404,"WILMINGTON, DE",NAT,394332000000.0,394332000000.0,1.0,0.54,1160.0,0.0,N,,0.0182,2022-09-30,Q3-2022
CAPITAL ONE NA/CAPITAL ONE FC,10.0,112837,"MC LEAN, VA",NAT,391805000000.0,391802000000.0,1.0,0.56,294.0,0.0,N,,0.0181,2022-09-30,Q3-2022
BANK OF NY MELLON/BANK OF NY MELLON CORP,11.0,541101,"NEW YORK, NY",SMB,344654000000.0,243562000000.0,0.71,0.58,2.0,15.0,Y,,0.0159,2022-09-30,Q3-2022
STATE STREET B&TC/STATE STREET CORP,12.0,35301,"BOSTON, MA",SMB,300010000000.0,216204000000.0,0.72,0.59,2.0,10.0,N,,0.0139,2022-09-30,Q3-2022
CITIZENS BK NA/CITIZENS FNCL GRP,13.0,3303298,"PROVIDENCE, RI",NAT,224480000000.0,224480000000.0,1.0,0.6,1161.0,1.0,N,,0.0104,2022-09-30,Q3-2022
SILICON VALLEY BK/SVB FNCL GRP,14.0,802866,"SANTA CLARA, CA",SMB,210244000000.0,197265000000.0,0.94,0.61,16.0,1.0,N,,0.0097,2022-09-30,Q3-2022
FIRST REPUBLIC BK/,15.0,4114567,"SAN FRANCISCO, CA",SNM,205109000000.0,205109000000.0,1.0,0.62,72.0,0.0,N,,0.0095,2022-09-30,Q3-2022
FIFTH THIRD BK NA/FIFTH THIRD BC,16.0,723112,"CINCINNATI, OH",NAT,204285000000.0,204096000000.0,1.0,0.63,1097.0,1.0,N,,0.0094,2022-09-30,Q3-2022
MANUFACTURERS & TRADERS TC/M&T BK CORP,17.0,501105,"BUFFALO, NY",SMB,197679000000.0,197679000000.0,1.0,0.64,1043.0,1.0,Y,,0.0091,2022-09-30,Q3-2022
MORGAN STANLEY PRIV BK NA/MORGAN STANLEY,18.0,2489805,"PURCHASE, NY",NAT,194944000000.0,194944000000.0,1.0,0.65,0.0,0.0,N,,0.009,2022-09-30,Q3-2022
MORGAN STANLEY BK NA/MORGAN STANLEY,19.0,1456501,"SALT LAKE CITY, UT",NAT,190521000000.0,190521000000.0,1.0,0.66,0.0,0.0,N,,0.0088,2022-09-30,Q3-2022
KEYBANK NA/KEYCORP,20.0,280110,"CLEVELAND, OH",NAT,187717000000.0,187715000000.0,1.0,0.67,996.0,0.0,N,,0.0087,2022-09-30,Q3-2022
HUNTINGTON NB/HUNTINGTON BSHRS,21.0,12311,"COLUMBUS, OH",NAT,179434000000.0,179434000000.0,1.0,0.67,1104.0,0.0,N,,0.0083,2022-09-30,Q3-2022
ALLY BK/ALLY FNCL,22.0,3284070,"SANDY, UT",SMB,178715000000.0,178715000000.0,1.0,0.68,0.0,0.0,N,,0.0083,2022-09-30,Q3-2022
HSBC BK USA NA/HSBC N AMER HOLDS,23.0,413208,"TYSONS, VA",NAT,166765000000.0,166764000000.0,1.0,0.69,21.0,3.0,Y,,0.0077,2022-09-30,Q3-2022
BMO HARRIS BK NA/BMO FNCL CORP,24.0,75633,"CHICAGO, IL",NAT,164820000000.0,164820000000.0,1.0,0.7,503.0,0.0,N,,0.0076,2022-09-30,Q3-2022
NORTHERN TC/NORTHERN TR CORP,25.0,210434,"CHICAGO, IL",SMB,159357000000.0,110791000000.0,0.7,0.7,55.0,5.0,Y,,0.0074,2022-09-30,Q3-2022
