Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,2869536000000.0,2205082000000.0,0.77,0.15,4964.0,33.0,Y,,0.1486,2020-09-30,Q3-2020
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,2157008000000.0,2047007000000.0,0.95,0.26,4248.0,26.0,Y,,0.1117,2020-09-30,Q3-2020
WELLS FARGO BK NA/WELLS FARGO & CO,3.0,451965,"SIOUX FALLS, SD",NAT,1750196000000.0,1712485000000.0,0.98,0.35,5367.0,11.0,Y,,0.0906,2020-09-30,Q3-2020
CITIBANK NA/CITIGROUP,4.0,476810,"SIOUX FALLS, SD",NAT,1648667000000.0,997241000000.0,0.6,0.44,699.0,156.0,Y,,0.0854,2020-09-30,Q3-2020
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,530497000000.0,518890000000.0,0.98,0.46,2805.0,1.0,N,,0.0275,2020-09-30,Q3-2020
TRUIST BK/TRUIST FC,6.0,852320,"CHARLOTTE, NC",SNM,488016000000.0,487993000000.0,1.0,0.49,2886.0,1.0,N,,0.0253,2020-09-30,Q3-2020
PNC BK NA/PNC FNCL SVC GROUP,7.0,817824,"WILMINGTON, DE",NAT,457454000000.0,453148000000.0,0.99,0.51,2296.0,1.0,N,,0.0237,2020-09-30,Q3-2020
T D BK NA/TD GRP US HOLDS LLC,8.0,497404,"WILMINGTON, DE",NAT,388337000000.0,388337000000.0,1.0,0.53,1226.0,0.0,N,,0.0201,2020-09-30,Q3-2020
CAPITAL ONE NA/CAPITAL ONE FC,9.0,112837,"MC LEAN, VA",NAT,360261000000.0,360258000000.0,1.0,0.55,442.0,0.0,N,,0.0187,2020-09-30,Q3-2020
BANK OF NY MELLON/BANK OF NY MELLON CORP,10.0,541101,"NEW YORK, NY",SMB,349432000000.0,227120000000.0,0.65,0.57,2.0,14.0,Y,,0.0181,2020-09-30,Q3-2020
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,11.0,2182786,"NEW YORK, NY",SMB,277943000000.0,277943000000.0,1.0,0.58,2.0,1.0,N,,0.0144,2020-09-30,Q3-2020
STATE STREET B&TC/STATE STREET CORP,12.0,35301,"BOSTON, MA",SMB,268733000000.0,177583000000.0,0.66,0.6,2.0,10.0,N,,0.0139,2020-09-30,Q3-2020
HSBC BK USA NA/HSBC N AMER HOLDS,13.0,413208,"TYSONS, VA",NAT,202543000000.0,202543000000.0,1.0,0.61,149.0,3.0,Y,,0.0105,2020-09-30,Q3-2020
FIFTH THIRD BK NA/FIFTH THIRD BC,14.0,723112,"CINCINNATI, OH",NAT,200454000000.0,199978000000.0,1.0,0.62,1140.0,1.0,N,,0.0104,2020-09-30,Q3-2020
CITIZENS BK NA/CITIZENS FNCL GRP,15.0,3303298,"PROVIDENCE, RI",NAT,179163000000.0,179163000000.0,1.0,0.63,1036.0,1.0,N,,0.0093,2020-09-30,Q3-2020
ALLY BK/ALLY FNCL,16.0,3284070,"SANDY, UT",SMB,174591000000.0,174591000000.0,1.0,0.64,0.0,0.0,N,,0.009,2020-09-30,Q3-2020
MORGAN STANLEY BK NA/MORGAN STANLEY,17.0,1456501,"SALT LAKE CITY, UT",NAT,169782000000.0,169782000000.0,1.0,0.65,0.0,0.0,N,,0.0088,2020-09-30,Q3-2020
KEYBANK NA/KEYCORP,18.0,280110,"CLEVELAND, OH",NAT,168974000000.0,168958000000.0,1.0,0.65,1098.0,0.0,N,,0.0088,2020-09-30,Q3-2020
NORTHERN TC/NORTHERN TR CORP,19.0,210434,"CHICAGO, IL",SMB,151629000000.0,98809000000.0,0.65,0.66,55.0,5.0,Y,,0.0079,2020-09-30,Q3-2020
BMO HARRIS BK NA/BMO FNCL CORP,20.0,75633,"CHICAGO, IL",NAT,151533000000.0,151533000000.0,1.0,0.67,532.0,0.0,N,,0.0078,2020-09-30,Q3-2020
REGIONS BK/REGIONS FC,21.0,233031,"BIRMINGHAM, AL",SMB,144473000000.0,144473000000.0,1.0,0.68,1381.0,0.0,N,,0.0075,2020-09-30,Q3-2020
MANUFACTURERS & TRADERS TC/M&T BK CORP,22.0,501105,"BUFFALO, NY",SMB,138246000000.0,138246000000.0,1.0,0.69,762.0,2.0,Y,,0.0072,2020-09-30,Q3-2020
AMERICAN EXPRESS NB/AMERICAN EXPRESS CO,23.0,1394676,"SANDY, UT",NAT,134473000000.0,134473000000.0,1.0,0.69,0.0,0.0,N,,0.007,2020-09-30,Q3-2020
FIRST REPUBLIC BK/,24.0,4114567,"SAN FRANCISCO, CA",SNM,133226000000.0,133226000000.0,1.0,0.7,72.0,0.0,N,,0.0069,2020-09-30,Q3-2020
MUFG UNION BK NA/MUFG AMERS HOLDS CORP,25.0,212465,"SAN FRANCISCO, CA",NAT,132479000000.0,132479000000.0,1.0,0.71,347.0,0.0,Y,,0.0069,2020-09-30,Q3-2020
DISCOVER BK/DISCOVER FS,26.0,30810,"GREENWOOD, DE",SNM,122784000000.0,122784000000.0,1.0,0.71,0.0,0.0,N,,0.0064,2020-09-30,Q3-2020
HUNTINGTON NB/HUNTINGTON BSHRS,27.0,12311,"COLUMBUS, OH",NAT,120114000000.0,120114000000.0,1.0,0.72,886.0,0.0,N,,0.0062,2020-09-30,Q3-2020
CAPITAL ONE BK USA NA/CAPITAL ONE FC,28.0,2253891,"GLEN ALLEN, VA",NAT,111674000000.0,110873000000.0,0.99,0.72,0.0,1.0,N,,0.0058,2020-09-30,Q3-2020
