Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1407568000000.0,809230000000.0,0.57,0.13,3153.0,45.0,Y,0.0,0.1336,2008-03-31,Q1-2008
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1355154000000.0,1221985000000.0,0.9,0.26,5866.0,36.0,Y,0.0,0.1287,2008-03-31,Q1-2008
CITIBANK NA/CITIGROUP,3.0,476810,"LAS VEGAS, NV",NAT,1292503000000.0,615559000000.0,0.48,0.38,1075.0,350.0,Y,0.0,0.1227,2008-03-31,Q1-2008
WACHOVIA BK NA/WACHOVIA CORP,4.0,484422,"CHARLOTTE, NC",NAT,665817000000.0,627404000000.0,0.94,0.45,3468.0,9.0,Y,0.0,0.0632,2008-03-31,Q1-2008
WELLS FARGO BK NA/WELLS FARGO & CO,5.0,451965,"SIOUX FALLS, SD",NAT,486886000000.0,486194000000.0,1.0,0.49,4300.0,3.0,Y,0.0,0.0462,2008-03-31,Q1-2008
U S BK NA/U S BC,6.0,504713,"CINCINNATI, OH",NAT,237269000000.0,236117000000.0,1.0,0.52,2608.0,1.0,N,0.0,0.0225,2008-03-31,Q1-2008
HSBC BK USA NA/HSBC NORTH AMER HOLD,7.0,413208,"WILMINGTON, DE",NAT,188284000000.0,173384000000.0,0.92,0.53,451.0,5.0,Y,1.0,0.0179,2008-03-31,Q1-2008
SUNTRUST BK/SUNTRUST BK,8.0,675332,"ATLANTA, GA",SMB,174716000000.0,174716000000.0,1.0,0.55,1730.0,0.0,Y,0.0,0.0166,2008-03-31,Q1-2008
FIA CARD SVC NA/BANK OF AMER CORP,9.0,1830035,"WILMINGTON, DE",NAT,159790000000.0,146617000000.0,0.92,0.57,0.0,1.0,N,0.0,0.0152,2008-03-31,Q1-2008
NATIONAL CITY BK/NATIONAL CITY CORP,10.0,259518,"CLEVELAND, OH",NAT,152519000000.0,151715000000.0,0.99,0.58,1530.0,1.0,N,0.0,0.0145,2008-03-31,Q1-2008
STATE STREET B&TC/STATE STREET CORP,11.0,35301,"BOSTON, MA",SMB,147472000000.0,110252000000.0,0.75,0.6,3.0,10.0,N,0.0,0.014,2008-03-31,Q1-2008
REGIONS BK/REGIONS FC,12.0,233031,"BIRMINGHAM, AL",SMB,139766000000.0,134519000000.0,0.96,0.61,1902.0,0.0,N,0.0,0.0133,2008-03-31,Q1-2008
BRANCH BKG&TC/BB&T CORP,13.0,852320,"WINSTON-SALEM, NC",SNM,131916000000.0,131732000000.0,1.0,0.62,1542.0,0.0,N,0.0,0.0125,2008-03-31,Q1-2008
RBS CITIZENS NA/CITIZENS FNCL GROUP,14.0,3303298,"PROVIDENCE, RI",NAT,130820000000.0,130820000000.0,1.0,0.63,1213.0,1.0,N,1.0,0.0124,2008-03-31,Q1-2008
PNC BK NA/PNC FNCL SVC GROUP,15.0,817824,"PITTSBURGH, PA",NAT,128623000000.0,127043000000.0,0.99,0.65,1079.0,0.0,N,0.0,0.0122,2008-03-31,Q1-2008
BANK OF NY/BANK OF NY MELLON CORP,16.0,541101,"NEW YORK, NY",SMB,128342000000.0,67091000000.0,0.52,0.66,8.0,9.0,Y,0.0,0.0122,2008-03-31,Q1-2008
CAPITAL ONE NA/CAPITAL ONE FC,17.0,112837,"MCLEAN, VA",NAT,104823000000.0,104823000000.0,1.0,0.67,720.0,0.0,N,0.0,0.01,2008-03-31,Q1-2008
KEYBANK NA/KEYCORP,18.0,280110,"CLEVELAND, OH",NAT,97979000000.0,95483000000.0,0.97,0.68,1011.0,1.0,N,0.0,0.0093,2008-03-31,Q1-2008
CITIBANK SD NA/CITIGROUP,19.0,486752,"SIOUX FALLS, SD",NAT,79347000000.0,79347000000.0,1.0,0.68,0.0,0.0,N,0.0,0.0075,2008-03-31,Q1-2008
CHASE BK USA NA/JPMORGAN CHASE & CO,20.0,489913,"NEWARK, DE",NAT,76637000000.0,76637000000.0,1.0,0.69,1.0,0.0,Y,0.0,0.0073,2008-03-31,Q1-2008
LASALLE BK NA/BANK OF AMER CORP,21.0,455534,"CHICAGO, IL",NAT,71098000000.0,71098000000.0,1.0,0.7,138.0,1.0,N,0.0,0.0067,2008-03-31,Q1-2008
NORTHERN TC/NORTHERN TR CORP,22.0,210434,"CHICAGO, IL",SMB,67962000000.0,45614000000.0,0.67,0.7,18.0,3.0,Y,0.0,0.0065,2008-03-31,Q1-2008
COMERICA BK/COMERICA,23.0,60143,"DALLAS, TX",SMB,66967000000.0,65502000000.0,0.98,0.71,422.0,1.0,N,0.0,0.0064,2008-03-31,Q1-2008
MANUFACTURERS & TRADERS TC/M&T BK CORP,24.0,501105,"BUFFALO, NY",SMB,65263000000.0,65263000000.0,1.0,0.72,737.0,1.0,Y,0.24,0.0062,2008-03-31,Q1-2008
FIFTH THIRD BK/FIFTH THIRD BC,25.0,723112,"CINCINNATI, OH",SMB,64564000000.0,64564000000.0,1.0,0.72,421.0,1.0,N,0.0,0.0061,2008-03-31,Q1-2008
BANK OF THE WEST/BANCWEST CORP,26.0,804963,"SAN FRANCISCO, CA",SNM,62021000000.0,62021000000.0,1.0,0.73,679.0,0.0,Y,0.99,0.0059,2008-03-31,Q1-2008
COMPASS BK/BBVA USA BSHRS,27.0,697633,"BIRMINGHAM, AL",SMB,59931000000.0,59931000000.0,1.0,0.74,609.0,0.0,N,1.0,0.0057,2008-03-31,Q1-2008
UNION BK OF CA NA/UNIONBANCAL CORP,28.0,212465,"SAN FRANCISCO, CA",NAT,57413000000.0,56452000000.0,0.98,0.74,339.0,3.0,Y,0.65,0.0055,2008-03-31,Q1-2008
M&I MARSHALL & ILSLEY BK/MARSHALL & ILSLEY CORP,29.0,983448,"MILWAUKEE, WI",SMB,57089000000.0,57089000000.0,1.0,0.75,357.0,0.0,N,0.0,0.0054,2008-03-31,Q1-2008
HUNTINGTON NB/HUNTINGTON BSHRS,30.0,12311,"COLUMBUS, OH",NAT,55567000000.0,55567000000.0,1.0,0.75,671.0,0.0,N,0.0,0.0053,2008-03-31,Q1-2008
FIFTH THIRD BK/FIFTH THIRD BC,31.0,913940,"GRAND RAPIDS, MI",SMB,54143000000.0,54143000000.0,1.0,0.76,844.0,0.0,N,0.0,0.0051,2008-03-31,Q1-2008
COMMERCE BK NA/TD US P & C HOLD ULC,32.0,363415,"PHILADELPHIA, PA",NAT,51374000000.0,51374000000.0,1.0,0.76,438.0,0.0,N,1.0,0.0049,2008-03-31,Q1-2008
TD BANKNORTH NA/TD US P & C HOLD ULC,33.0,497404,"PORTLAND, ME",NAT,43417000000.0,43417000000.0,1.0,0.77,681.0,1.0,N,1.0,0.0041,2008-03-31,Q1-2008
MELLON BK NA/BANK OF NY MELLON CORP,34.0,934329,"PITTSBURGH, PA",NAT,41727000000.0,27803000000.0,0.67,0.77,20.0,1.0,N,0.0,0.004,2008-03-31,Q1-2008
HARRIS NA/HARRIS FC,35.0,75633,"CHICAGO, IL",NAT,41431000000.0,41372000000.0,1.0,0.77,229.0,0.0,N,1.0,0.0039,2008-03-31,Q1-2008
DEUTSCHE BK TC AMERICAS/TAUNUS CORP,36.0,214807,"NEW YORK, NY",SMB,38216000000.0,33034000000.0,0.86,0.78,1.0,2.0,Y,1.0,0.0036,2008-03-31,Q1-2008
FIRST TENNESSEE BK NA MMPHS/FIRST HORIZON NAT CORP,37.0,485559,"MEMPHIS, TN",NAT,37064000000.0,37064000000.0,1.0,0.78,229.0,0.0,N,0.0,0.0035,2008-03-31,Q1-2008
LASALLE BK MIDWEST NA/BANK OF AMER CORP,38.0,445843,"TROY, MI",NAT,37008000000.0,37008000000.0,1.0,0.78,267.0,0.0,N,0.0,0.0035,2008-03-31,Q1-2008
BANK OF AMERICA RI NA/BANK OF AMER CORP,39.0,3344611,"PROVIDENCE, RI",NAT,35791000000.0,35791000000.0,1.0,0.79,0.0,0.0,N,0.0,0.0034,2008-03-31,Q1-2008
CAPITAL ONE BK USA NA/CAPITAL ONE FC,40.0,2253891,"GLEN ALLEN, VA",NAT,32051000000.0,29936000000.0,0.93,0.79,0.0,2.0,N,0.0,0.003,2008-03-31,Q1-2008
DISCOVER BK/MORGAN STANLEY,41.0,30810,"GREENWOOD, DE",SNM,31124000000.0,31117000000.0,1.0,0.79,0.0,0.0,N,0.0,0.003,2008-03-31,Q1-2008
WF NB SOUTH CENTRAL/WELLS FARGO & CO,42.0,2362458,"FARIBAULT, MN",NAT,27710000000.0,27710000000.0,1.0,0.8,0.0,0.0,N,0.0,0.0026,2008-03-31,Q1-2008
COLONIAL BK NA/COLONIAL BANCGROUP,43.0,570231,"MONTGOMERY, AL",NAT,27302000000.0,27302000000.0,1.0,0.8,340.0,1.0,Y,0.0,0.0026,2008-03-31,Q1-2008
RBC CENTURA BK/ROYAL BK HOLD,44.0,1494240,"RALEIGH, NC",SMB,25548000000.0,25548000000.0,1.0,0.8,350.0,1.0,N,0.99,0.0024,2008-03-31,Q1-2008
