Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
BANK OF AMER NA/BANK OF AMER CORP,1.0,480228,"CHARLOTTE, NC",NAT,1104944000000.0,998466000000.0,0.9,0.13,6188.0,182.0,Y,0.0,0.1304,2006-03-31,Q1-2006
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,2.0,852218,"COLUMBUS, OH",NAT,1093394000000.0,651522000000.0,0.6,0.26,2798.0,110.0,Y,0.0,0.129,2006-03-31,Q1-2006
CITIBANK NA/CITIGROUP,3.0,476810,"NEW YORK, NY",NAT,749335000000.0,331462000000.0,0.44,0.35,388.0,349.0,Y,0.0,0.0884,2006-03-31,Q1-2006
WACHOVIA BK NA/WACHOVIA CORP,4.0,484422,"CHARLOTTE, NC",NAT,496566000000.0,474081000000.0,0.95,0.41,3846.0,7.0,Y,0.0,0.0586,2006-03-31,Q1-2006
WELLS FARGO BK NA/WELLS FARGO & CO,5.0,451965,"SIOUX FALLS, SD",NAT,415802000000.0,415160000000.0,1.0,0.46,3731.0,2.0,Y,0.0,0.0491,2006-03-31,Q1-2006
U S BK NA/U S BC,6.0,504713,"CINCINNATI, OH",NAT,208940000000.0,208026000000.0,1.0,0.48,2768.0,1.0,Y,0.0,0.0247,2006-03-31,Q1-2006
SUNTRUST BK/SUNTRUST BK,7.0,675332,"ATLANTA, GA",SMB,178282000000.0,178282000000.0,1.0,0.5,1891.0,0.0,Y,0.0,0.021,2006-03-31,Q1-2006
HSBC BK USA NA/HSBC NORTH AMER HOLD,8.0,413208,"WILMINGTON, DE",NAT,158754000000.0,144355000000.0,0.91,0.52,413.0,5.0,Y,1.0,0.0187,2006-03-31,Q1-2006
STATE STREET B&TC/STATE STREET CORP,9.0,35301,"BOSTON, MA",SMB,91927000000.0,72730000000.0,0.79,0.53,2.0,12.0,N,0.0,0.0108,2006-03-31,Q1-2006
KEYBANK NA/KEYCORP,10.0,280110,"CLEVELAND, OH",NAT,88877000000.0,86874000000.0,0.98,0.54,1158.0,1.0,N,0.0,0.0105,2006-03-31,Q1-2006
BANK OF NY/BANK OF NY CO,11.0,541101,"NEW YORK, NY",SMB,87750000000.0,59240000000.0,0.68,0.55,340.0,9.0,Y,0.0,0.0104,2006-03-31,Q1-2006
PNC BK NA/PNC FNCL SVC GROUP,12.0,817824,"PITTSBURGH, PA",NAT,84414000000.0,82696000000.0,0.98,0.56,942.0,0.0,Y,0.0,0.01,2006-03-31,Q1-2006
MBNA AMERICA BK NA/BANK OF AMER CORP,13.0,1830035,"WILMINGTON, DE",NAT,81254000000.0,70260000000.0,0.86,0.57,2.0,1.0,N,0.0,0.0096,2006-03-31,Q1-2006
BRANCH BKG&TC/BB&T CORP,14.0,852320,"WINSTON-SALEM, NC",SNM,81169000000.0,81169000000.0,1.0,0.58,938.0,0.0,N,0.0,0.0096,2006-03-31,Q1-2006
REGIONS BK/REGIONS FC,15.0,233031,"BIRMINGHAM, AL",SMB,80357000000.0,76385000000.0,0.95,0.59,1534.0,0.0,N,0.0,0.0095,2006-03-31,Q1-2006
COUNTRYWIDE BK NA/COUNTRYWIDE FC,16.0,1469211,"ALEXANDRIA, VA",NAT,79880000000.0,79880000000.0,1.0,0.6,2.0,0.0,N,0.0,0.0094,2006-03-31,Q1-2006
LASALLE BK NA/ABN AMRO N AMER HC,17.0,455534,"CHICAGO, IL",NAT,75194000000.0,75194000000.0,1.0,0.61,134.0,1.0,N,1.0,0.0089,2006-03-31,Q1-2006
NATIONAL CITY BK/NATIONAL CITY CORP,18.0,259518,"CLEVELAND, OH",NAT,72949000000.0,72521000000.0,0.99,0.62,419.0,1.0,Y,0.0,0.0086,2006-03-31,Q1-2006
CHASE BK USA NA/JPMORGAN CHASE & CO,19.0,489913,"NEWARK, DE",NAT,69753000000.0,69753000000.0,1.0,0.63,2.0,0.0,Y,0.0,0.0082,2006-03-31,Q1-2006
BANK OF AMER NA USA/BANK OF AMER CORP,20.0,1417557,"PHOENIX, AZ",NAT,62271000000.0,62271000000.0,1.0,0.63,0.0,0.0,N,0.0,0.0073,2006-03-31,Q1-2006
FIFTH THIRD BK/FIFTH THIRD BC,21.0,723112,"CINCINNATI, OH",SMB,57682000000.0,57682000000.0,1.0,0.64,406.0,1.0,N,0.0,0.0068,2006-03-31,Q1-2006
NORTH FORK BK/NORTH FORK BC,22.0,332907,"MATTITUCK, NY",SNM,57206000000.0,57206000000.0,1.0,0.65,353.0,0.0,N,0.0,0.0068,2006-03-31,Q1-2006
COMERICA BK/COMERICA,23.0,60143,"DETROIT, MI",SMB,57065000000.0,55588000000.0,0.97,0.65,402.0,1.0,N,0.0,0.0067,2006-03-31,Q1-2006
BANK OF THE WEST/BANCWEST CORP,24.0,804963,"SAN FRANCISCO, CA",SNM,54760000000.0,54760000000.0,1.0,0.66,699.0,0.0,Y,0.99,0.0065,2006-03-31,Q1-2006
MANUFACTURERS & TRADERS TC/M&T BK CORP,25.0,501105,"BUFFALO, NY",SMB,54684000000.0,54684000000.0,1.0,0.67,703.0,1.0,Y,0.22,0.0065,2006-03-31,Q1-2006
AMSOUTH BK/AMSOUTH BC,26.0,245333,"BIRMINGHAM, AL",SMB,52824000000.0,52824000000.0,1.0,0.67,702.0,0.0,N,0.0,0.0062,2006-03-31,Q1-2006
UNION BK OF CA NA/UNIONBANCAL CORP,27.0,212465,"SAN FRANCISCO, CA",NAT,48055000000.0,47447000000.0,0.99,0.68,323.0,6.0,Y,0.62,0.0057,2006-03-31,Q1-2006
FIFTH THIRD BK/FIFTH THIRD BC,28.0,913940,"GRAND RAPIDS, MI",SMB,47876000000.0,47876000000.0,1.0,0.68,705.0,0.0,N,0.0,0.0057,2006-03-31,Q1-2006
CITIBANK SD NA/CITIGROUP,29.0,486752,"SIOUX FALLS, SD",NAT,44922000000.0,44922000000.0,1.0,0.69,0.0,0.0,N,0.0,0.0053,2006-03-31,Q1-2006
CHARTER ONE BK NA/CITIZENS FNCL GROUP,30.0,897273,"CLEVELAND, OH",NAT,43998000000.0,43998000000.0,1.0,0.69,424.0,1.0,N,1.0,0.0052,2006-03-31,Q1-2006
NORTHERN TC/NORTHERN TR CORP,31.0,210434,"CHICAGO, IL",SMB,41825000000.0,28536000000.0,0.68,0.7,17.0,2.0,Y,0.0,0.0049,2006-03-31,Q1-2006
TD BANKNORTH NA/TD BANKNORTH,32.0,497404,"PORTLAND, ME",NAT,40784000000.0,40784000000.0,1.0,0.7,698.0,0.0,N,0.56,0.0048,2006-03-31,Q1-2006
