Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,3476711000000.0,2653589000000.0,0.76,0.16,4814.0,34.0,Y,,0.1587,2022-03-31,Q1-2022
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,2513619000000.0,2385157000000.0,0.95,0.27,3967.0,24.0,Y,,0.1148,2022-03-31,Q1-2022
WELLS FARGO BK NA/WELLS FARGO & CO,3.0,451965,"SIOUX FALLS, SD",NAT,1764272000000.0,1740475000000.0,0.99,0.35,4786.0,11.0,Y,,0.0805,2022-03-31,Q1-2022
CITIBANK NA/CITIGROUP,4.0,476810,"SIOUX FALLS, SD",NAT,1718008000000.0,1030202000000.0,0.6,0.43,668.0,147.0,Y,,0.0784,2022-03-31,Q1-2022
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,577544000000.0,566858000000.0,0.98,0.46,2253.0,1.0,N,,0.0264,2022-03-31,Q1-2022
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,534892000000.0,533707000000.0,1.0,0.48,2677.0,1.0,N,,0.0244,2022-03-31,Q1-2022
TRUIST BK/TRUIST FC,7.0,852320,"CHARLOTTE, NC",SNM,531045000000.0,530995000000.0,1.0,0.51,2112.0,0.0,N,,0.0242,2022-03-31,Q1-2022
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,8.0,2182786,"NEW YORK, NY",SMB,474643000000.0,409794000000.0,0.86,0.53,2.0,2.0,N,,0.0217,2022-03-31,Q1-2022
T D BK NA/TD GRP US HOLDS LLC,9.0,497404,"WILMINGTON, DE",NAT,417358000000.0,417358000000.0,1.0,0.55,1157.0,0.0,N,,0.0191,2022-03-31,Q1-2022
CAPITAL ONE NA/CAPITAL ONE FC,10.0,112837,"MC LEAN, VA",NAT,385291000000.0,385288000000.0,1.0,0.57,321.0,0.0,N,,0.0176,2022-03-31,Q1-2022
BANK OF NY MELLON/BANK OF NY MELLON CORP,11.0,541101,"NEW YORK, NY",SMB,380465000000.0,262057000000.0,0.69,0.58,2.0,14.0,Y,,0.0174,2022-03-31,Q1-2022
STATE STREET B&TC/STATE STREET CORP,12.0,35301,"BOSTON, MA",SMB,318494000000.0,218630000000.0,0.69,0.6,2.0,10.0,N,,0.0145,2022-03-31,Q1-2022
SILICON VALLEY BK/SVB FNCL GRP,13.0,802866,"SANTA CLARA, CA",SMB,217804000000.0,205742000000.0,0.94,0.61,16.0,1.0,N,,0.0099,2022-03-31,Q1-2022
FIFTH THIRD BK NA/FIFTH THIRD BC,14.0,723112,"CINCINNATI, OH",NAT,210153000000.0,210035000000.0,1.0,0.62,1096.0,1.0,N,,0.0096,2022-03-31,Q1-2022
MORGAN STANLEY PRIV BK NA/MORGAN STANLEY,15.0,2489805,"PURCHASE, NY",NAT,203508000000.0,203508000000.0,1.0,0.63,0.0,0.0,N,,0.0093,2022-03-31,Q1-2022
MORGAN STANLEY BK NA/MORGAN STANLEY,16.0,1456501,"SALT LAKE CITY, UT",NAT,201737000000.0,201737000000.0,1.0,0.64,0.0,0.0,N,,0.0092,2022-03-31,Q1-2022
CITIZENS BK NA/CITIZENS FNCL GRP,17.0,3303298,"PROVIDENCE, RI",NAT,191869000000.0,191869000000.0,1.0,0.64,1022.0,1.0,N,,0.0088,2022-03-31,Q1-2022
FIRST REPUBLIC BK/,18.0,4114567,"SAN FRANCISCO, CA",SNM,187121000000.0,187121000000.0,1.0,0.65,72.0,0.0,N,,0.0085,2022-03-31,Q1-2022
KEYBANK NA/KEYCORP,19.0,280110,"CLEVELAND, OH",NAT,179082000000.0,179081000000.0,1.0,0.66,1013.0,0.0,N,,0.0082,2022-03-31,Q1-2022
HUNTINGTON NB/HUNTINGTON BSHRS,20.0,12311,"COLUMBUS, OH",NAT,176021000000.0,176021000000.0,1.0,0.67,1102.0,0.0,N,,0.008,2022-03-31,Q1-2022
HSBC BK USA NA/HSBC N AMER HOLDS,21.0,413208,"TYSONS, VA",NAT,174720000000.0,174720000000.0,1.0,0.68,21.0,3.0,Y,,0.008,2022-03-31,Q1-2022
ALLY BK/ALLY FNCL,22.0,3284070,"SANDY, UT",SMB,174479000000.0,174479000000.0,1.0,0.69,0.0,0.0,N,,0.008,2022-03-31,Q1-2022
NORTHERN TC/NORTHERN TR CORP,23.0,210434,"CHICAGO, IL",SMB,172118000000.0,125020000000.0,0.73,0.69,54.0,5.0,Y,,0.0079,2022-03-31,Q1-2022
BMO HARRIS BK NA/BMO FNCL CORP,24.0,75633,"CHICAGO, IL",NAT,166509000000.0,166509000000.0,1.0,0.7,512.0,0.0,N,,0.0076,2022-03-31,Q1-2022
REGIONS BK/REGIONS FC,25.0,233031,"BIRMINGHAM, AL",SMB,163179000000.0,163179000000.0,1.0,0.71,1293.0,0.0,N,,0.0074,2022-03-31,Q1-2022
MANUFACTURERS & TRADERS TC/M&T BK CORP,26.0,501105,"BUFFALO, NY",SMB,149455000000.0,149455000000.0,1.0,0.71,721.0,1.0,Y,,0.0068,2022-03-31,Q1-2022
AMERICAN EXPRESS NB/AMERICAN EXPRESS CO,27.0,1394676,"SANDY, UT",NAT,132190000000.0,132190000000.0,1.0,0.72,0.0,0.0,N,,0.006,2022-03-31,Q1-2022
