Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1768657000000.0,1181802000000.0,0.67,0.16,3554.0,45.0,Y,0.0,0.159,2008-09-30,Q3-2008
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1359071000000.0,1251657000000.0,0.92,0.28,5775.0,35.0,Y,0.0,0.1222,2008-09-30,Q3-2008
CITIBANK NA/CITIGROUP,3.0,476810,"LAS VEGAS, NV",NAT,1207007000000.0,595073000000.0,0.49,0.39,1034.0,351.0,Y,0.0,0.1085,2008-09-30,Q3-2008
WACHOVIA BK NA/WACHOVIA CORP,4.0,484422,"CHARLOTTE, NC",NAT,664223000000.0,630086000000.0,0.95,0.45,3341.0,8.0,Y,0.0,0.0597,2008-09-30,Q3-2008
WELLS FARGO BK NA/WELLS FARGO & CO,5.0,451965,"SIOUX FALLS, SD",NAT,514853000000.0,513458000000.0,1.0,0.5,3326.0,3.0,Y,0.0,0.0463,2008-09-30,Q3-2008
STATE STREET B&TC/STATE STREET CORP,6.0,35301,"BOSTON, MA",SMB,276291000000.0,226850000000.0,0.82,0.52,3.0,10.0,N,0.0,0.0248,2008-09-30,Q3-2008
U S BK NA/U S BC,7.0,504713,"CINCINNATI, OH",NAT,242597000000.0,241553000000.0,1.0,0.54,2605.0,1.0,N,0.0,0.0218,2008-09-30,Q3-2008
BANK OF NY MELLON/BANK OF NY MELLON CORP,8.0,541101,"NEW YORK, NY",SMB,218699000000.0,151672000000.0,0.69,0.56,12.0,10.0,Y,0.0,0.0197,2008-09-30,Q3-2008
HSBC BK USA NA/HSBC NORTH AMER HOLD,9.0,413208,"WILMINGTON, DE",NAT,181587000000.0,168855000000.0,0.93,0.58,449.0,5.0,Y,1.0,0.0163,2008-09-30,Q3-2008
SUNTRUST BK/SUNTRUST BK,10.0,675332,"ATLANTA, GA",SMB,170007000000.0,169966000000.0,1.0,0.59,1766.0,0.0,Y,0.0,0.0153,2008-09-30,Q3-2008
FIA CARD SVC NA/BANK OF AMER CORP,11.0,1830035,"WILMINGTON, DE",NAT,160210000000.0,145868000000.0,0.91,0.61,0.0,1.0,N,0.0,0.0144,2008-09-30,Q3-2008
NATIONAL CITY BK/NATIONAL CITY CORP,12.0,259518,"CLEVELAND, OH",NAT,141501000000.0,140302000000.0,0.99,0.62,1521.0,1.0,Y,0.0,0.0127,2008-09-30,Q3-2008
REGIONS BK/REGIONS FC,13.0,233031,"BIRMINGHAM, AL",SMB,139556000000.0,132865000000.0,0.95,0.63,1915.0,0.0,N,0.0,0.0125,2008-09-30,Q3-2008
PNC BK NA/PNC FNCL SVC GROUP,14.0,817824,"PITTSBURGH, PA",NAT,134780000000.0,133358000000.0,0.99,0.65,1140.0,0.0,N,0.0,0.0121,2008-09-30,Q3-2008
BRANCH BKG&TC/BB&T CORP,15.0,852320,"WINSTON-SALEM, NC",SNM,133166000000.0,132953000000.0,1.0,0.66,1497.0,0.0,N,0.0,0.012,2008-09-30,Q3-2008
