Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1631621000000.0,1009100000000.0,0.62,0.14,5248.0,45.0,Y,0.0,0.1446,2010-12-31,Q4-2010
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1482278000000.0,1384825000000.0,0.93,0.28,5968.0,34.0,Y,0.0,0.1314,2010-12-31,Q4-2010
CITIBANK NA/CITIGROUP,3.0,476810,"LAS VEGAS, NV",NAT,1154293000000.0,574518000000.0,0.5,0.38,1024.0,375.0,Y,0.0,0.1023,2010-12-31,Q4-2010
WELLS FARGO BK NA/WELLS FARGO & CO,4.0,451965,"SIOUX FALLS, SD",NAT,1102278000000.0,1077527000000.0,0.98,0.48,6421.0,8.0,Y,0.0,0.0977,2010-12-31,Q4-2010
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,302260000000.0,301005000000.0,1.0,0.5,3076.0,1.0,N,0.0,0.0268,2010-12-31,Q4-2010
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,256639000000.0,254818000000.0,0.99,0.53,2596.0,1.0,N,0.0,0.0228,2010-12-31,Q4-2010
FIA CARD SVC NA/BANK OF AMER CORP,7.0,1830035,"WILMINGTON, DE",NAT,196749000000.0,177181000000.0,0.9,0.54,0.0,0.0,N,0.0,0.0174,2010-12-31,Q4-2010
BANK OF NY MELLON/BANK OF NY MELLON CORP,8.0,541101,"NEW YORK, NY",SMB,181855000000.0,100010000000.0,0.55,0.56,4.0,13.0,Y,0.0,0.0161,2010-12-31,Q4-2010
HSBC BK USA NA/HSBC NORTH AMER HOLD,9.0,413208,"MCLEAN, VA",NAT,181118000000.0,161540000000.0,0.89,0.58,481.0,5.0,Y,1.0,0.0161,2010-12-31,Q4-2010
T D BK NA/TD US P & C HOLD ULC,10.0,497404,"WILMINGTON, DE",NAT,168749000000.0,168749000000.0,1.0,0.59,1285.0,1.0,N,1.0,0.015,2010-12-31,Q4-2010
SUNTRUST BK/SUNTRUST BK,11.0,675332,"ATLANTA, GA",SMB,162510000000.0,162510000000.0,1.0,0.6,1715.0,0.0,Y,0.0,0.0144,2010-12-31,Q4-2010
STATE STREET B&TC/STATE STREET CORP,12.0,35301,"BOSTON, MA",SMB,155529000000.0,119700000000.0,0.77,0.62,2.0,10.0,N,0.0,0.0138,2010-12-31,Q4-2010
BRANCH BKG&TC/BB&T CORP,13.0,852320,"WINSTON-SALEM, NC",SNM,150828000000.0,150549000000.0,1.0,0.63,1781.0,1.0,N,0.0,0.0134,2010-12-31,Q4-2010
CITIBANK SD NA/CITIGROUP,14.0,486752,"SIOUX FALLS, SD",NAT,142350000000.0,142350000000.0,1.0,0.64,0.0,0.0,N,0.0,0.0126,2010-12-31,Q4-2010
CHASE BK USA NA/JPMORGAN CHASE & CO,15.0,489913,"NEWARK, DE",NAT,131083000000.0,131083000000.0,1.0,0.66,1.0,0.0,Y,0.0,0.0116,2010-12-31,Q4-2010
REGIONS BK/REGIONS FC,16.0,233031,"BIRMINGHAM, AL",SMB,128373000000.0,127088000000.0,0.99,0.67,1768.0,0.0,N,0.0,0.0114,2010-12-31,Q4-2010
CAPITAL ONE NA/CAPITAL ONE FC,17.0,112837,"MCLEAN, VA",NAT,126901000000.0,126823000000.0,1.0,0.68,980.0,0.0,N,0.0,0.0112,2010-12-31,Q4-2010
FIFTH THIRD BK/FIFTH THIRD BC,18.0,723112,"CINCINNATI, OH",SMB,108972000000.0,108803000000.0,1.0,0.69,1366.0,1.0,N,0.0,0.0097,2010-12-31,Q4-2010
RBS CITIZENS NA/CITIZENS FNCL GROUP,19.0,3303298,"PROVIDENCE, RI",NAT,107836000000.0,107836000000.0,1.0,0.7,1122.0,1.0,N,0.75,0.0096,2010-12-31,Q4-2010
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,20.0,2182786,"NEW YORK, NY",SMB,89447000000.0,89447000000.0,1.0,0.71,3.0,0.0,N,0.0,0.0079,2010-12-31,Q4-2010
KEYBANK NA/KEYCORP,21.0,280110,"CLEVELAND, OH",NAT,88592000000.0,87355000000.0,0.99,0.71,1054.0,1.0,N,0.0,0.0079,2010-12-31,Q4-2010
UNION BK NA/UNIONBANCAL CORP,22.0,212465,"SAN FRANCISCO, CA",NAT,78675000000.0,77909000000.0,0.99,0.72,406.0,1.0,Y,1.0,0.007,2010-12-31,Q4-2010
CAPITAL ONE BK USA NA/CAPITAL ONE FC,23.0,2253891,"GLEN ALLEN, VA",NAT,72203000000.0,67683000000.0,0.94,0.73,0.0,1.0,N,0.0,0.0064,2010-12-31,Q4-2010
NORTHERN TC/NORTHERN TR CORP,24.0,210434,"CHICAGO, IL",SMB,70373000000.0,47833000000.0,0.68,0.73,15.0,4.0,Y,0.0,0.0062,2010-12-31,Q4-2010
ALLY BK/ALLY FNCL,25.0,3284070,"MIDVALE, UT",SNM,70284000000.0,70284000000.0,1.0,0.74,0.0,0.0,N,0.0,0.0062,2010-12-31,Q4-2010
MORGAN STANLEY BK NA/MORGAN STANLEY,26.0,1456501,"SALT LAKE CITY, UT",NAT,68180000000.0,68180000000.0,1.0,0.75,0.0,0.0,N,0.21,0.006,2010-12-31,Q4-2010
MANUFACTURERS & TRADERS TC/M&T BK CORP,27.0,501105,"BUFFALO, NY",SMB,67055000000.0,67055000000.0,1.0,0.75,774.0,2.0,Y,0.0,0.0059,2010-12-31,Q4-2010
COMPASS BK/BBVA USA BSHRS,28.0,697633,"BIRMINGHAM, AL",SMB,63312000000.0,63312000000.0,1.0,0.76,721.0,0.0,N,1.0,0.0056,2010-12-31,Q4-2010
DISCOVER BK/DISCOVER FS,29.0,30810,"GREENWOOD, DE",SNM,62458000000.0,62458000000.0,1.0,0.76,0.0,0.0,N,0.0,0.0055,2010-12-31,Q4-2010
BANK OF THE WEST/BANCWEST CORP,30.0,804963,"SAN FRANCISCO, CA",SNM,57653000000.0,57653000000.0,1.0,0.77,666.0,0.0,Y,0.1,0.0051,2010-12-31,Q4-2010
