Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1378468000000.0,810580000000.0,0.59,0.13,3166.0,45.0,Y,0.0,0.1318,2008-06-30,Q2-2008
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1327429000000.0,1202838000000.0,0.91,0.26,5758.0,36.0,Y,0.0,0.1269,2008-06-30,Q2-2008
CITIBANK NA/CITIGROUP,3.0,476810,"LAS VEGAS, NV",NAT,1228445000000.0,589311000000.0,0.48,0.38,1054.0,352.0,Y,0.0,0.1174,2008-06-30,Q2-2008
WACHOVIA BK NA/WACHOVIA CORP,4.0,484422,"CHARLOTTE, NC",NAT,670639000000.0,627388000000.0,0.94,0.44,3334.0,8.0,Y,0.0,0.0641,2008-06-30,Q2-2008
WELLS FARGO BK NA/WELLS FARGO & CO,5.0,451965,"SIOUX FALLS, SD",NAT,503327000000.0,502793000000.0,1.0,0.49,3313.0,3.0,Y,0.0,0.0481,2008-06-30,Q2-2008
U S BK NA/U S BC,6.0,504713,"CINCINNATI, OH",NAT,242308000000.0,241044000000.0,0.99,0.51,2589.0,1.0,N,0.0,0.0232,2008-06-30,Q2-2008
HSBC BK USA NA/HSBC NORTH AMER HOLD,7.0,413208,"WILMINGTON, DE",NAT,177466000000.0,162686000000.0,0.92,0.53,445.0,5.0,Y,1.0,0.017,2008-06-30,Q2-2008
SUNTRUST BK/SUNTRUST BK,8.0,675332,"ATLANTA, GA",SMB,171501000000.0,171501000000.0,1.0,0.54,1725.0,0.0,Y,0.0,0.0164,2008-06-30,Q2-2008
FIA CARD SVC NA/BANK OF AMER CORP,9.0,1830035,"WILMINGTON, DE",NAT,165350000000.0,151270000000.0,0.91,0.56,0.0,1.0,N,0.0,0.0158,2008-06-30,Q2-2008
NATIONAL CITY BK/NATIONAL CITY CORP,10.0,259518,"CLEVELAND, OH",NAT,151165000000.0,146016000000.0,0.97,0.58,1524.0,1.0,Y,0.0,0.0145,2008-06-30,Q2-2008
REGIONS BK/REGIONS FC,11.0,233031,"BIRMINGHAM, AL",SMB,139354000000.0,133041000000.0,0.95,0.59,1910.0,0.0,N,0.0,0.0133,2008-06-30,Q2-2008
STATE STREET B&TC/STATE STREET CORP,12.0,35301,"BOSTON, MA",SMB,138859000000.0,96663000000.0,0.7,0.6,3.0,10.0,N,0.0,0.0133,2008-06-30,Q2-2008
BRANCH BKG&TC/BB&T CORP,13.0,852320,"WINSTON-SALEM, NC",SNM,132884000000.0,132661000000.0,1.0,0.61,1487.0,0.0,N,0.0,0.0127,2008-06-30,Q2-2008
RBS CITIZENS NA/CITIZENS FNCL GROUP,14.0,3303298,"PROVIDENCE, RI",NAT,132051000000.0,132051000000.0,1.0,0.63,1217.0,1.0,N,1.0,0.0126,2008-06-30,Q2-2008
BANK OF NY/BANK OF NY MELLON CORP,15.0,541101,"NEW YORK, NY",SMB,130062000000.0,69290000000.0,0.53,0.64,8.0,9.0,Y,0.0,0.0124,2008-06-30,Q2-2008
PNC BK NA/PNC FNCL SVC GROUP,16.0,817824,"PITTSBURGH, PA",NAT,128348000000.0,126761000000.0,0.99,0.65,1070.0,0.0,N,0.0,0.0123,2008-06-30,Q2-2008
CAPITAL ONE NA/CAPITAL ONE FC,17.0,112837,"MCLEAN, VA",NAT,108520000000.0,108520000000.0,1.0,0.66,722.0,0.0,N,0.0,0.0104,2008-06-30,Q2-2008
TD BK NA/TD US P & C HOLD ULC,18.0,497404,"WILMINGTON, DE",NAT,98855000000.0,98855000000.0,1.0,0.67,1171.0,1.0,N,1.0,0.0094,2008-06-30,Q2-2008
KEYBANK NA/KEYCORP,19.0,280110,"CLEVELAND, OH",NAT,98048000000.0,95444000000.0,0.97,0.68,1010.0,1.0,N,0.0,0.0094,2008-06-30,Q2-2008
CITIBANK SD NA/CITIGROUP,20.0,486752,"SIOUX FALLS, SD",NAT,75004000000.0,75004000000.0,1.0,0.69,0.0,0.0,N,0.0,0.0072,2008-06-30,Q2-2008
CHASE BK USA NA/JPMORGAN CHASE & CO,21.0,489913,"NEWARK, DE",NAT,74463000000.0,74463000000.0,1.0,0.7,1.0,0.0,Y,0.0,0.0071,2008-06-30,Q2-2008
LASALLE BK NA/BANK OF AMER CORP,22.0,455534,"CHICAGO, IL",NAT,68379000000.0,68379000000.0,1.0,0.7,135.0,1.0,N,0.0,0.0065,2008-06-30,Q2-2008
FIFTH THIRD BK/FIFTH THIRD BC,23.0,723112,"CINCINNATI, OH",SMB,67272000000.0,67272000000.0,1.0,0.71,411.0,1.0,N,0.0,0.0064,2008-06-30,Q2-2008
COMERICA BK/COMERICA,24.0,60143,"DALLAS, TX",SMB,65961000000.0,64626000000.0,0.98,0.71,418.0,1.0,N,0.0,0.0063,2008-06-30,Q2-2008
NORTHERN TC/NORTHERN TR CORP,25.0,210434,"CHICAGO, IL",SMB,65200000000.0,40470000000.0,0.62,0.72,18.0,3.0,Y,0.0,0.0062,2008-06-30,Q2-2008
MANUFACTURERS & TRADERS TC/M&T BK CORP,26.0,501105,"BUFFALO, NY",SMB,65080000000.0,65080000000.0,1.0,0.73,724.0,1.0,Y,0.24,0.0062,2008-06-30,Q2-2008
BANK OF THE WEST/BANCWEST CORP,27.0,804963,"SAN FRANCISCO, CA",SNM,63262000000.0,63262000000.0,1.0,0.73,686.0,0.0,Y,1.0,0.006,2008-06-30,Q2-2008
COMPASS BK/BBVA USA BSHRS,28.0,697633,"BIRMINGHAM, AL",SMB,61067000000.0,61067000000.0,1.0,0.74,614.0,0.0,N,1.0,0.0058,2008-06-30,Q2-2008
UNION BK OF CA NA/UNIONBANCAL CORP,29.0,212465,"SAN FRANCISCO, CA",NAT,60228000000.0,59175000000.0,0.98,0.74,342.0,3.0,Y,0.65,0.0058,2008-06-30,Q2-2008
M&I MARSHALL & ILSLEY BK/MARSHALL & ILSLEY CORP,30.0,983448,"MILWAUKEE, WI",SMB,57686000000.0,57686000000.0,1.0,0.75,356.0,0.0,N,0.0,0.0055,2008-06-30,Q2-2008
HUNTINGTON NB/HUNTINGTON BSHRS,31.0,12311,"COLUMBUS, OH",NAT,54842000000.0,54842000000.0,1.0,0.76,668.0,0.0,N,0.0,0.0052,2008-06-30,Q2-2008
FIFTH THIRD BK/FIFTH THIRD BC,32.0,913940,"GRAND RAPIDS, MI",SMB,54161000000.0,54161000000.0,1.0,0.76,842.0,0.0,N,0.0,0.0052,2008-06-30,Q2-2008
DEUTSCHE BK TC AMERICAS/TAUNUS CORP,33.0,214807,"NEW YORK, NY",SMB,46071000000.0,40371000000.0,0.88,0.76,1.0,2.0,Y,1.0,0.0044,2008-06-30,Q2-2008
HARRIS NA/HARRIS FC,34.0,75633,"CHICAGO, IL",NAT,41592000000.0,41414000000.0,1.0,0.77,231.0,0.0,N,1.0,0.004,2008-06-30,Q2-2008
MELLON BK NA/BANK OF NY MELLON CORP,35.0,934329,"PITTSBURGH, PA",NAT,39476000000.0,26849000000.0,0.68,0.77,20.0,1.0,N,0.0,0.0038,2008-06-30,Q2-2008
BANK OF AMERICA RI NA/BANK OF AMER CORP,36.0,3344611,"PROVIDENCE, RI",NAT,39211000000.0,39211000000.0,1.0,0.78,0.0,0.0,N,0.0,0.0037,2008-06-30,Q2-2008
LASALLE BK MIDWEST NA/BANK OF AMER CORP,37.0,445843,"TROY, MI",NAT,37643000000.0,37643000000.0,1.0,0.78,252.0,0.0,N,0.0,0.0036,2008-06-30,Q2-2008
FIRST TENNESSEE BK NA MMPHS/FIRST HORIZON NAT CORP,38.0,485559,"MEMPHIS, TN",NAT,35287000000.0,35286000000.0,1.0,0.78,221.0,0.0,Y,0.0,0.0034,2008-06-30,Q2-2008
CAPITAL ONE BK USA NA/CAPITAL ONE FC,39.0,2253891,"GLEN ALLEN, VA",NAT,31302000000.0,29321000000.0,0.94,0.79,0.0,1.0,N,0.0,0.003,2008-06-30,Q2-2008
RBC BK USA/ROYAL BK HOLD,40.0,1494240,"RALEIGH, NC",SMB,31263000000.0,31263000000.0,1.0,0.79,468.0,1.0,N,0.99,0.003,2008-06-30,Q2-2008
DISCOVER BK/MORGAN STANLEY,41.0,30810,"GREENWOOD, DE",SNM,30502000000.0,30501000000.0,1.0,0.79,0.0,0.0,N,0.0,0.0029,2008-06-30,Q2-2008
WELLS FARGO BK S CENT NA/WELLS FARGO & CO,42.0,2362458,"ANCHORAGE, AK",NAT,29769000000.0,29769000000.0,1.0,0.8,0.0,0.0,N,0.0,0.0028,2008-06-30,Q2-2008
COLONIAL BK/COLONIAL BANCGROUP,43.0,570231,"MONTGOMERY, AL",SNM,25987000000.0,25987000000.0,1.0,0.8,342.0,1.0,Y,0.0,0.0025,2008-06-30,Q2-2008
ASSOCIATED BK NA/ASSOCIATED BANC CORP,44.0,917742,"GREEN BAY, WI",NAT,22059000000.0,22059000000.0,1.0,0.8,305.0,0.0,N,0.0,0.0021,2008-06-30,Q2-2008
ZIONS FIRST NB/ZIONS BC,45.0,276579,"SALT LAKE CITY, UT",NAT,20195000000.0,20195000000.0,1.0,0.8,146.0,0.0,N,0.0,0.0019,2008-06-30,Q2-2008
BANK OF AMER CA NA/BANK OF AMER CORP,46.0,1443266,"SAN FRANCISCO, CA",NAT,19469000000.0,19469000000.0,1.0,0.8,0.0,0.0,N,0.0,0.0019,2008-06-30,Q2-2008
WEBSTER BK NA/WEBSTER FNCL CORP,47.0,761806,"WATERBURY, CT",NAT,17352000000.0,17352000000.0,1.0,0.81,181.0,1.0,Y,0.0,0.0017,2008-06-30,Q2-2008
T D BK USA NA/TD US P & C HOLD ULC,48.0,2121196,"PORTLAND, ME",NAT,17329000000.0,17329000000.0,1.0,0.81,1.0,0.0,N,1.0,0.0017,2008-06-30,Q2-2008
TCF NB/TCF FC,49.0,266271,"WAYZATA, MN",NAT,16469000000.0,16469000000.0,1.0,0.81,458.0,0.0,N,0.0,0.0016,2008-06-30,Q2-2008
BANK OF OK NA/BOK FC,50.0,339858,"TULSA, OK",NAT,16092000000.0,16092000000.0,1.0,0.81,79.0,0.0,Y,0.0,0.0015,2008-06-30,Q2-2008
CITY NB/CITY NAT CORP,51.0,63069,"BEVERLY HILLS, CA",NAT,15971000000.0,15971000000.0,1.0,0.81,62.0,0.0,N,0.0,0.0015,2008-06-30,Q2-2008
COMMERCE BK NA/COMMERCE BSHRS,52.0,601050,"KANSAS CITY, MO",NAT,15592000000.0,15592000000.0,1.0,0.81,184.0,0.0,N,0.0,0.0015,2008-06-30,Q2-2008
WELLS FARGO BK NW NA/WELLS FARGO & CO,53.0,688079,"OGDEN, UT",NAT,14470000000.0,14470000000.0,1.0,0.81,0.0,0.0,N,0.0,0.0014,2008-06-30,Q2-2008
CAROLINA FIRST BK/SOUTH FNCL GROUP,54.0,310727,"GREENVILLE, SC",SNM,13938000000.0,13938000000.0,1.0,0.82,176.0,0.0,N,0.0,0.0013,2008-06-30,Q2-2008
FROST NB/CULLEN/FROST BKR,55.0,682563,"SAN ANTONIO, TX",NAT,13797000000.0,13797000000.0,1.0,0.82,119.0,0.0,N,0.0,0.0013,2008-06-30,Q2-2008
FIRST-CITIZENS B&TC/FIRST CITIZENS BSHRS,56.0,491224,"RALEIGH, NC",SNM,13540000000.0,13540000000.0,1.0,0.82,348.0,0.0,N,0.0,0.0013,2008-06-30,Q2-2008
BANCORPSOUTH BK/BANCORPSOUTH,57.0,606046,"TUPELO, MS",SNM,13395000000.0,13395000000.0,1.0,0.82,278.0,0.0,N,0.0,0.0013,2008-06-30,Q2-2008
FIRST HAWAIIAN BK/BANCWEST CORP,58.0,980661,"HONOLULU, HI",SNM,13027000000.0,12316000000.0,0.95,0.82,62.0,0.0,Y,1.0,0.0012,2008-06-30,Q2-2008
VALLEY NB/VALLEY NBC,59.0,229801,"PASSAIC, NJ",NAT,12966000000.0,12966000000.0,1.0,0.82,175.0,0.0,N,0.0,0.0012,2008-06-30,Q2-2008
BANCO POPULAR N AMER/POPULAR,60.0,2736291,"NEW YORK, NY",SMB,12871000000.0,12871000000.0,1.0,0.82,137.0,0.0,Y,1.0,0.0012,2008-06-30,Q2-2008
UNITED CMRL BK/UCBH HOLD,61.0,43173,"SAN FRANCISCO, CA",SNM,12852000000.0,11501000000.0,0.89,0.82,62.0,1.0,N,0.0,0.0012,2008-06-30,Q2-2008
BANK OF AMER OR NA/BANK OF AMER CORP,62.0,2867056,"PORTLAND, OR",NAT,12722000000.0,12722000000.0,1.0,0.83,0.0,0.0,N,0.0,0.0012,2008-06-30,Q2-2008
CITIZENS BK/CITIZENS REPUBLIC BC,63.0,222147,"FLINT, MI",SMB,12372000000.0,12372000000.0,1.0,0.83,239.0,0.0,N,0.0,0.0012,2008-06-30,Q2-2008
STERLING SVG BK/STERLING FC,64.0,741871,"SPOKANE, WA",SNM,12216000000.0,12216000000.0,1.0,0.83,176.0,0.0,N,0.0,0.0012,2008-06-30,Q2-2008
