Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,2015718000000.0,1513077000000.0,0.75,0.14,5398.0,30.0,Y,0.0,0.1387,2016-03-31,Q1-2016
WELLS FARGO BK NA/WELLS FARGO & CO,2.0,451965,"SIOUX FALLS, SD",NAT,1667785000000.0,1613578000000.0,0.97,0.25,6207.0,11.0,Y,0.0,0.1148,2016-03-31,Q1-2016
BANK OF AMER NA/BANK OF AMER CORP,3.0,480228,"CHARLOTTE, NC",NAT,1653947000000.0,1553988000000.0,0.94,0.37,4739.0,32.0,Y,0.0,0.1138,2016-03-31,Q1-2016
CITIBANK NA/CITIGROUP,4.0,476810,"SIOUX FALLS, SD",NAT,1342643000000.0,801533000000.0,0.6,0.46,741.0,259.0,Y,0.0,0.0924,2016-03-31,Q1-2016
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,423204000000.0,421364000000.0,1.0,0.49,3220.0,1.0,N,0.0,0.0291,2016-03-31,Q1-2016
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,350643000000.0,347027000000.0,0.99,0.51,2701.0,2.0,N,0.0,0.0241,2016-03-31,Q1-2016
BANK OF NY MELLON/BANK OF NY MELLON CORP,7.0,541101,"NEW YORK, NY",SMB,299816000000.0,199846000000.0,0.67,0.53,3.0,13.0,Y,0.0,0.0206,2016-03-31,Q1-2016
CAPITAL ONE NA/CAPITAL ONE FC,8.0,112837,"MC LEAN, VA",NAT,271188000000.0,271117000000.0,1.0,0.55,812.0,0.0,N,0.0,0.0187,2016-03-31,Q1-2016
T D BK NA/TD GRP US HOLDS LLC,9.0,497404,"WILMINGTON, DE",NAT,253738000000.0,253738000000.0,1.0,0.57,1271.0,1.0,N,1.0,0.0175,2016-03-31,Q1-2016
STATE STREET B&TC/STATE STREET CORP,10.0,35301,"BOSTON, MA",SMB,239278000000.0,158731000000.0,0.66,0.59,2.0,11.0,N,0.0,0.0165,2016-03-31,Q1-2016
BRANCH BKG&TC/BB&T CORP,11.0,852320,"WINSTON SALEM, NC",SNM,206875000000.0,206735000000.0,1.0,0.6,2127.0,1.0,N,0.0,0.0142,2016-03-31,Q1-2016
HSBC BK USA NA/HSBC N AMER HOLDS,12.0,413208,"MC LEAN, VA",NAT,198798000000.0,195212000000.0,0.98,0.61,227.0,3.0,Y,1.0,0.0137,2016-03-31,Q1-2016
SUNTRUST BK/SUNTRUST BK,13.0,675332,"ATLANTA, GA",SMB,189908000000.0,189908000000.0,1.0,0.63,1427.0,0.0,Y,0.0,0.0131,2016-03-31,Q1-2016
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,14.0,2182786,"NEW YORK, NY",SMB,143403000000.0,143403000000.0,1.0,0.64,1.0,1.0,N,0.0,0.0099,2016-03-31,Q1-2016
