Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1642691000000.0,1010994000000.0,0.62,0.14,5172.0,45.0,Y,0.0,0.1449,2010-09-30,Q3-2010
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1489198000000.0,1404154000000.0,0.94,0.28,5992.0,34.0,Y,0.0,0.1313,2010-09-30,Q3-2010
CITIBANK NA/CITIGROUP,3.0,476810,"LAS VEGAS, NV",NAT,1209221000000.0,604767000000.0,0.5,0.38,1023.0,371.0,Y,0.0,0.1066,2010-09-30,Q3-2010
WELLS FARGO BK NA/WELLS FARGO & CO,4.0,451965,"SIOUX FALLS, SD",NAT,1070489000000.0,1045761000000.0,0.98,0.48,6446.0,13.0,Y,0.0,0.0944,2010-09-30,Q3-2010
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,285762000000.0,284593000000.0,1.0,0.5,3061.0,1.0,N,0.0,0.0252,2010-09-30,Q3-2010
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"PITTSBURGH, PA",NAT,251297000000.0,249862000000.0,0.99,0.52,2596.0,1.0,N,0.0,0.0222,2010-09-30,Q3-2010
FIA CARD SVC NA/BANK OF AMER CORP,7.0,1830035,"WILMINGTON, DE",NAT,200034000000.0,179227000000.0,0.9,0.54,0.0,0.0,N,0.0,0.0176,2010-09-30,Q3-2010
BANK OF NY MELLON/BANK OF NY MELLON CORP,8.0,541101,"NEW YORK, NY",SMB,190875000000.0,101248000000.0,0.53,0.56,4.0,12.0,Y,0.0,0.0168,2010-09-30,Q3-2010
HSBC BK USA NA/HSBC NORTH AMER HOLD,9.0,413208,"MCLEAN, VA",NAT,189731000000.0,171646000000.0,0.9,0.58,483.0,5.0,Y,1.0,0.0167,2010-09-30,Q3-2010
STATE STREET B&TC/STATE STREET CORP,10.0,35301,"BOSTON, MA",SMB,167877000000.0,119606000000.0,0.71,0.59,2.0,10.0,N,0.0,0.0148,2010-09-30,Q3-2010
T D BK NA/TD US P & C HOLD ULC,11.0,497404,"WILMINGTON, DE",NAT,167648000000.0,167622000000.0,1.0,0.61,1106.0,1.0,N,1.0,0.0148,2010-09-30,Q3-2010
SUNTRUST BK/SUNTRUST BK,12.0,675332,"ATLANTA, GA",SMB,164557000000.0,164557000000.0,1.0,0.62,1718.0,0.0,Y,0.0,0.0145,2010-09-30,Q3-2010
BRANCH BKG&TC/BB&T CORP,13.0,852320,"WINSTON-SALEM, NC",SNM,151545000000.0,151279000000.0,1.0,0.63,1789.0,1.0,N,0.0,0.0134,2010-09-30,Q3-2010
CITIBANK SD NA/CITIGROUP,14.0,486752,"SIOUX FALLS, SD",NAT,143609000000.0,143609000000.0,1.0,0.65,0.0,0.0,N,0.0,0.0127,2010-09-30,Q3-2010
CHASE BK USA NA/JPMORGAN CHASE & CO,15.0,489913,"NEWARK, DE",NAT,131981000000.0,131981000000.0,1.0,0.66,1.0,0.0,Y,0.0,0.0116,2010-09-30,Q3-2010
REGIONS BK/REGIONS FC,16.0,233031,"BIRMINGHAM, AL",SMB,129068000000.0,123872000000.0,0.96,0.67,1769.0,0.0,N,0.0,0.0114,2010-09-30,Q3-2010
CAPITAL ONE NA/CAPITAL ONE FC,17.0,112837,"MCLEAN, VA",NAT,125305000000.0,125227000000.0,1.0,0.68,971.0,0.0,N,0.0,0.011,2010-09-30,Q3-2010
RBS CITIZENS NA/CITIZENS FNCL GROUP,18.0,3303298,"PROVIDENCE, RI",NAT,114465000000.0,114465000000.0,1.0,0.69,1120.0,1.0,N,0.75,0.0101,2010-09-30,Q3-2010
FIFTH THIRD BK/FIFTH THIRD BC,19.0,723112,"CINCINNATI, OH",SMB,110197000000.0,109992000000.0,1.0,0.7,1363.0,1.0,N,0.0,0.0097,2010-09-30,Q3-2010
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,20.0,2182786,"NEW YORK, NY",SMB,96105000000.0,96105000000.0,1.0,0.71,3.0,0.0,N,0.0,0.0085,2010-09-30,Q3-2010
KEYBANK NA/KEYCORP,21.0,280110,"CLEVELAND, OH",NAT,90251000000.0,89013000000.0,0.99,0.72,1051.0,1.0,N,0.0,0.008,2010-09-30,Q3-2010
UNION BK NA/UNIONBANCAL CORP,22.0,212465,"SAN FRANCISCO, CA",NAT,79356000000.0,78447000000.0,0.99,0.72,402.0,1.0,Y,1.0,0.007,2010-09-30,Q3-2010
CAPITAL ONE BK USA NA/CAPITAL ONE FC,23.0,2253891,"GLEN ALLEN, VA",NAT,72065000000.0,66718000000.0,0.93,0.73,0.0,1.0,N,0.0,0.0064,2010-09-30,Q3-2010
NORTHERN TC/NORTHERN TR CORP,24.0,210434,"CHICAGO, IL",SMB,67513000000.0,43689000000.0,0.65,0.74,15.0,4.0,Y,0.0,0.006,2010-09-30,Q3-2010
MANUFACTURERS & TRADERS TC/M&T BK CORP,25.0,501105,"BUFFALO, NY",SMB,67256000000.0,67256000000.0,1.0,0.74,778.0,2.0,Y,0.24,0.0059,2010-09-30,Q3-2010
ALLY BK/ALLY FNCL,26.0,3284070,"MIDVALE, UT",SNM,66152000000.0,66152000000.0,1.0,0.75,0.0,0.0,N,0.0,0.0058,2010-09-30,Q3-2010
MORGAN STANLEY BK NA/MORGAN STANLEY,27.0,1456501,"SALT LAKE CITY, UT",NAT,65518000000.0,65518000000.0,1.0,0.75,0.0,0.0,N,0.21,0.0058,2010-09-30,Q3-2010
COMPASS BK/BBVA USA BSHRS,28.0,697633,"BIRMINGHAM, AL",SMB,64282000000.0,64282000000.0,1.0,0.76,722.0,0.0,N,1.0,0.0057,2010-09-30,Q3-2010
DISCOVER BK/DISCOVER FS,29.0,30810,"GREENWOOD, DE",SNM,60372000000.0,60372000000.0,1.0,0.76,0.0,0.0,N,0.0,0.0053,2010-09-30,Q3-2010
BANK OF THE WEST/BANCWEST CORP,30.0,804963,"SAN FRANCISCO, CA",SNM,58022000000.0,58022000000.0,1.0,0.77,668.0,0.0,Y,0.1,0.0051,2010-09-30,Q3-2010
COMERICA BK/COMERICA,31.0,60143,"DALLAS, TX",SMB,54934000000.0,53925000000.0,0.98,0.77,439.0,1.0,N,0.0,0.0048,2010-09-30,Q3-2010
HUNTINGTON NB/HUNTINGTON BSHRS,32.0,12311,"COLUMBUS, OH",NAT,52704000000.0,52704000000.0,1.0,0.78,658.0,0.0,N,0.0,0.0046,2010-09-30,Q3-2010
M&I MARSHALL & ILSLEY BK/MARSHALL & ILSLEY CORP,33.0,983448,"MILWAUKEE, WI",SMB,50023000000.0,50023000000.0,1.0,0.78,382.0,0.0,N,0.0,0.0044,2010-09-30,Q3-2010
DEUTSCHE BK TC AMERICAS/TAUNUS CORP,34.0,214807,"NEW YORK, NY",SMB,45915000000.0,41540000000.0,0.9,0.79,1.0,1.0,Y,1.0,0.004,2010-09-30,Q3-2010
