Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1318888000000.0,778101000000.0,0.59,0.13,2943.0,45.0,Y,0.0,0.1291,2007-12-31,Q4-2007
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1312794000000.0,1182833000000.0,0.9,0.26,5742.0,123.0,Y,0.0,0.1285,2007-12-31,Q4-2007
CITIBANK NA/CITIGROUP,3.0,476810,"LAS VEGAS, NV",NAT,1251715000000.0,598178000000.0,0.48,0.38,1020.0,335.0,Y,0.0,0.1225,2007-12-31,Q4-2007
WACHOVIA BK NA/WACHOVIA CORP,4.0,484422,"CHARLOTTE, NC",NAT,653269000000.0,613130000000.0,0.94,0.44,3401.0,12.0,Y,0.0,0.0639,2007-12-31,Q4-2007
WELLS FARGO BK NA/WELLS FARGO & CO,5.0,451965,"SIOUX FALLS, SD",NAT,467861000000.0,467696000000.0,1.0,0.49,4165.0,3.0,Y,0.0,0.0458,2007-12-31,Q4-2007
U S BK NA/U S BC,6.0,504713,"CINCINNATI, OH",NAT,232760000000.0,231574000000.0,0.99,0.51,2602.0,1.0,N,0.0,0.0228,2007-12-31,Q4-2007
HSBC BK USA NA/HSBC NORTH AMER HOLD,7.0,413208,"WILMINGTON, DE",NAT,184492000000.0,171405000000.0,0.93,0.53,452.0,5.0,Y,1.0,0.0181,2007-12-31,Q4-2007
SUNTRUST BK/SUNTRUST BK,8.0,675332,"ATLANTA, GA",SMB,175108000000.0,175108000000.0,1.0,0.55,1938.0,0.0,Y,0.0,0.0171,2007-12-31,Q4-2007
FIA CARD SVC NA/BANK OF AMER CORP,9.0,1830035,"WILMINGTON, DE",NAT,161692000000.0,148175000000.0,0.92,0.56,0.0,1.0,N,0.0,0.0158,2007-12-31,Q4-2007
NATIONAL CITY BK/NATIONAL CITY CORP,10.0,259518,"CLEVELAND, OH",NAT,138755000000.0,138068000000.0,1.0,0.58,1452.0,1.0,N,0.0,0.0136,2007-12-31,Q4-2007
REGIONS BK/REGIONS FC,11.0,233031,"BIRMINGHAM, AL",SMB,137050000000.0,130573000000.0,0.95,0.59,2097.0,0.0,N,0.0,0.0134,2007-12-31,Q4-2007
STATE STREET B&TC/STATE STREET CORP,12.0,35301,"BOSTON, MA",SMB,134002000000.0,110201000000.0,0.82,0.6,3.0,10.0,N,0.0,0.0131,2007-12-31,Q4-2007
RBS CITIZENS NA/CITIZENS FNCL GROUP,13.0,3303298,"PROVIDENCE, RI",NAT,128863000000.0,128863000000.0,1.0,0.62,1230.0,1.0,N,1.0,0.0126,2007-12-31,Q4-2007
BRANCH BKG&TC/BB&T CORP,14.0,852320,"WINSTON-SALEM, NC",SNM,127698000000.0,127477000000.0,1.0,0.63,1504.0,0.0,N,0.0,0.0125,2007-12-31,Q4-2007
PNC BK NA/PNC FNCL SVC GROUP,15.0,817824,"PITTSBURGH, PA",NAT,124782000000.0,123194000000.0,0.99,0.64,892.0,0.0,N,0.0,0.0122,2007-12-31,Q4-2007
BANK OF NY/BANK OF NY MELLON CORP,16.0,541101,"NEW YORK, NY",SMB,115672000000.0,60422000000.0,0.52,0.65,9.0,9.0,Y,0.0,0.0113,2007-12-31,Q4-2007
CAPITAL ONE NA/CAPITAL ONE FC,17.0,112837,"MCLEAN, VA",NAT,97518000000.0,97518000000.0,1.0,0.66,715.0,0.0,N,0.0,0.0095,2007-12-31,Q4-2007
KEYBANK NA/KEYCORP,18.0,280110,"CLEVELAND, OH",NAT,95862000000.0,93429000000.0,0.97,0.67,972.0,1.0,N,0.0,0.0094,2007-12-31,Q4-2007
CITIBANK SD NA/CITIGROUP,19.0,486752,"SIOUX FALLS, SD",NAT,78941000000.0,78941000000.0,1.0,0.68,3.0,0.0,N,0.0,0.0077,2007-12-31,Q4-2007
CHASE BK USA NA/JPMORGAN CHASE & CO,20.0,489913,"NEWARK, DE",NAT,77748000000.0,77748000000.0,1.0,0.69,2.0,0.0,Y,0.0,0.0076,2007-12-31,Q4-2007
LASALLE BK NA/BANK OF AMER CORP,21.0,455534,"CHICAGO, IL",NAT,74424000000.0,74424000000.0,1.0,0.69,138.0,1.0,N,0.0,0.0073,2007-12-31,Q4-2007
MANUFACTURERS & TRADERS TC/M&T BK CORP,22.0,501105,"BUFFALO, NY",SMB,64073000000.0,64073000000.0,1.0,0.7,700.0,1.0,Y,0.22,0.0063,2007-12-31,Q4-2007
COMERICA BK/COMERICA,23.0,60143,"DALLAS, TX",SMB,62539000000.0,61032000000.0,0.98,0.71,430.0,1.0,N,0.0,0.0061,2007-12-31,Q4-2007
BANK OF THE WEST/BANCWEST CORP,24.0,804963,"SAN FRANCISCO, CA",SNM,61830000000.0,61830000000.0,1.0,0.71,674.0,0.0,Y,0.99,0.0061,2007-12-31,Q4-2007
FIFTH THIRD BK/FIFTH THIRD BC,25.0,723112,"CINCINNATI, OH",SMB,61463000000.0,61463000000.0,1.0,0.72,412.0,1.0,N,0.0,0.006,2007-12-31,Q4-2007
NORTHERN TC/NORTHERN TR CORP,26.0,210434,"CHICAGO, IL",SMB,58398000000.0,36758000000.0,0.63,0.72,18.0,3.0,Y,0.0,0.0057,2007-12-31,Q4-2007
UNION BK OF CA NA/UNIONBANCAL CORP,27.0,212465,"SAN FRANCISCO, CA",NAT,55157000000.0,54102000000.0,0.98,0.73,338.0,5.0,Y,0.65,0.0054,2007-12-31,Q4-2007
HUNTINGTON NB/HUNTINGTON BSHRS,28.0,12311,"COLUMBUS, OH",NAT,54099000000.0,54099000000.0,1.0,0.73,782.0,0.0,N,0.0,0.0053,2007-12-31,Q4-2007
M&I MARSHALL & ILSLEY BK/MARSHALL & ILSLEY CORP,29.0,983448,"MILWAUKEE, WI",SMB,53721000000.0,53721000000.0,1.0,0.74,325.0,0.0,N,0.0,0.0053,2007-12-31,Q4-2007
FIFTH THIRD BK/FIFTH THIRD BC,30.0,913940,"GRAND RAPIDS, MI",SMB,53431000000.0,53431000000.0,1.0,0.75,773.0,0.0,N,0.0,0.0052,2007-12-31,Q4-2007
TD BANKNORTH NA/TD US P & C HOLD ULC,31.0,497404,"PORTLAND, ME",NAT,45486000000.0,45486000000.0,1.0,0.75,681.0,1.0,N,1.0,0.0045,2007-12-31,Q4-2007
COMMERCE BK NA/COMMERCE BC,32.0,363415,"PHILADELPHIA, PA",NAT,45217000000.0,45217000000.0,1.0,0.75,378.0,0.0,N,0.0,0.0044,2007-12-31,Q4-2007
COMPASS BK/BBVA USA BSHRS,33.0,697633,"BIRMINGHAM, AL",SMB,43811000000.0,43811000000.0,1.0,0.76,454.0,0.0,N,1.0,0.0043,2007-12-31,Q4-2007
HARRIS NA/HARRIS FC,34.0,75633,"CHICAGO, IL",NAT,41467000000.0,41435000000.0,1.0,0.76,223.0,0.0,N,1.0,0.0041,2007-12-31,Q4-2007
MELLON BK NA/BANK OF NY MELLON CORP,35.0,934329,"PITTSBURGH, PA",NAT,39674000000.0,27653000000.0,0.7,0.77,20.0,1.0,N,0.0,0.0039,2007-12-31,Q4-2007
LASALLE BK MIDWEST NA/BANK OF AMER CORP,36.0,445843,"TROY, MI",NAT,36922000000.0,36922000000.0,1.0,0.77,267.0,0.0,N,0.0,0.0036,2007-12-31,Q4-2007
FIRST TENNESSEE BK NA MMPHS/FIRST HORIZON NAT CORP,37.0,485559,"MEMPHIS, TN",NAT,36726000000.0,36726000000.0,1.0,0.77,240.0,0.0,N,0.0,0.0036,2007-12-31,Q4-2007
BANK OF AMERICA RI NA/BANK OF AMER CORP,38.0,3344611,"PROVIDENCE, RI",NAT,35705000000.0,35705000000.0,1.0,0.78,0.0,0.0,N,0.0,0.0035,2007-12-31,Q4-2007
DEUTSCHE BK TC AMERICAS/TAUNUS CORP,39.0,214807,"NEW YORK, NY",SMB,35425000000.0,29360000000.0,0.83,0.78,3.0,4.0,Y,1.0,0.0035,2007-12-31,Q4-2007
CAPITAL ONE BK/CAPITAL ONE FC,40.0,2253891,"GLEN ALLEN, VA",SMB,33884000000.0,31501000000.0,0.93,0.78,0.0,2.0,N,0.0,0.0033,2007-12-31,Q4-2007
DISCOVER BK/MORGAN STANLEY,41.0,30810,"GREENWOOD, DE",SNM,30700000000.0,30486000000.0,0.99,0.79,0.0,0.0,N,0.0,0.003,2007-12-31,Q4-2007
WF NB SOUTH CENTRAL/WELLS FARGO & CO,42.0,2362458,"FARIBAULT, MN",NAT,30108000000.0,30108000000.0,1.0,0.79,0.0,0.0,N,0.0,0.0029,2007-12-31,Q4-2007
RBC CENTURA BK/ROYAL BK HOLD,43.0,1494240,"RALEIGH, NC",SMB,26148000000.0,26148000000.0,1.0,0.79,346.0,1.0,N,0.99,0.0026,2007-12-31,Q4-2007
COLONIAL BK NA/COLONIAL BANCGROUP,44.0,570231,"MONTGOMERY, AL",NAT,25937000000.0,25937000000.0,1.0,0.79,352.0,1.0,Y,0.0,0.0025,2007-12-31,Q4-2007
ASSOCIATED BK NA/ASSOCIATED BANC-CORP,45.0,917742,"GREEN BAY, WI",NAT,21336000000.0,21336000000.0,1.0,0.8,328.0,0.0,N,0.0,0.0021,2007-12-31,Q4-2007
ZIONS FIRST NB/ZIONS BC,46.0,276579,"SALT LAKE CITY, UT",NAT,18454000000.0,18453000000.0,1.0,0.8,155.0,0.0,N,0.0,0.0018,2007-12-31,Q4-2007
T D BK USA NA/TD US P & C HOLD ULC,47.0,2121196,"PORTLAND, ME",NAT,18049000000.0,18049000000.0,1.0,0.8,1.0,0.0,N,1.0,0.0018,2007-12-31,Q4-2007
BANK OF AMER CA NA/BANK OF AMER CORP,48.0,1443266,"SAN FRANCISCO, CA",NAT,17964000000.0,17964000000.0,1.0,0.8,0.0,0.0,N,0.0,0.0018,2007-12-31,Q4-2007
WEBSTER BK NA/WEBSTER FNCL CORP,49.0,761806,"WATERBURY, CT",NAT,17064000000.0,17064000000.0,1.0,0.8,184.0,1.0,N,0.0,0.0017,2007-12-31,Q4-2007
TCF NB/TCF FC,50.0,266271,"WAYZATA, MN",NAT,16041000000.0,16041000000.0,1.0,0.81,456.0,0.0,N,0.0,0.0016,2007-12-31,Q4-2007
CITY NB/CITY NAT CORP,51.0,63069,"BEVERLY HILLS, CA",NAT,15394000000.0,15394000000.0,1.0,0.81,65.0,0.0,N,0.0,0.0015,2007-12-31,Q4-2007
COMMERCE BK NA/COMMERCE BSHRS,52.0,601050,"KANSAS CITY, MO",NAT,14741000000.0,14741000000.0,1.0,0.81,183.0,0.0,N,0.0,0.0014,2007-12-31,Q4-2007
BANK OF AMER OR NA/BANK OF AMER CORP,53.0,2867056,"PORTLAND, OR",NAT,14651000000.0,14651000000.0,1.0,0.81,0.0,0.0,N,0.0,0.0014,2007-12-31,Q4-2007
