Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,2152006000000.0,1631896000000.0,0.76,0.14,5227.0,33.0,Y,0.0,0.141,2017-06-30,Q2-2017
WELLS FARGO BK NA/WELLS FARGO & CO,2.0,451965,"SIOUX FALLS, SD",NAT,1731937000000.0,1673246000000.0,0.97,0.25,6071.0,14.0,Y,0.0,0.1135,2017-06-30,Q2-2017
BANK OF AMER NA/BANK OF AMER CORP,3.0,480228,"CHARLOTTE, NC",NAT,1705928000000.0,1611631000000.0,0.94,0.37,4590.0,28.0,Y,0.0,0.1118,2017-06-30,Q2-2017
CITIBANK NA/CITIGROUP,4.0,476810,"SIOUX FALLS, SD",NAT,1401303000000.0,851012000000.0,0.61,0.46,707.0,182.0,Y,0.0,0.0918,2017-06-30,Q2-2017
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,456910000000.0,448674000000.0,0.98,0.49,3171.0,1.0,N,0.0,0.0299,2017-06-30,Q2-2017
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,361211000000.0,357294000000.0,0.99,0.51,2556.0,2.0,N,0.0,0.0237,2017-06-30,Q2-2017
BANK OF NY MELLON/BANK OF NY MELLON CORP,7.0,541101,"NEW YORK, NY",SMB,280876000000.0,175879000000.0,0.63,0.53,2.0,14.0,Y,0.0,0.0184,2017-06-30,Q2-2017
CAPITAL ONE NA/CAPITAL ONE FC,8.0,112837,"MC LEAN, VA",NAT,280232000000.0,280164000000.0,1.0,0.55,660.0,0.0,N,0.0,0.0184,2017-06-30,Q2-2017
T D BK NA/TD GRP US HOLDS LLC,9.0,497404,"WILMINGTON, DE",NAT,268185000000.0,268185000000.0,1.0,0.57,1261.0,0.0,N,1.0,0.0176,2017-06-30,Q2-2017
STATE STREET B&TC/STATE STREET CORP,10.0,35301,"BOSTON, MA",SMB,234889000000.0,156181000000.0,0.66,0.58,2.0,11.0,N,0.0,0.0154,2017-06-30,Q2-2017
BRANCH BKG&TC/BB&T CORP,11.0,852320,"WINSTON SALEM, NC",SNM,215274000000.0,215064000000.0,1.0,0.6,2188.0,1.0,N,0.0,0.0141,2017-06-30,Q2-2017
SUNTRUST BK/SUNTRUST BK,12.0,675332,"ATLANTA, GA",SMB,202481000000.0,202481000000.0,1.0,0.61,1301.0,0.0,Y,0.0,0.0133,2017-06-30,Q2-2017
HSBC BK USA NA/HSBC N AMER HOLDS,13.0,413208,"MC LEAN, VA",NAT,191932000000.0,188764000000.0,0.98,0.62,227.0,3.0,Y,1.0,0.0126,2017-06-30,Q2-2017
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,14.0,2182786,"NEW YORK, NY",SMB,151219000000.0,151219000000.0,1.0,0.63,1.0,1.0,N,0.0,0.0099,2017-06-30,Q2-2017
FIFTH THIRD BK/FIFTH THIRD BC,15.0,723112,"CINCINNATI, OH",SMB,138698000000.0,138298000000.0,1.0,0.64,1177.0,1.0,N,0.0,0.0091,2017-06-30,Q2-2017
CHASE BK USA NA/JPMORGAN CHASE & CO,16.0,489913,"WILMINGTON, DE",NAT,134894000000.0,134894000000.0,1.0,0.65,0.0,0.0,N,0.0,0.0088,2017-06-30,Q2-2017
KEYBANK NA/KEYCORP,17.0,280110,"CLEVELAND, OH",NAT,133555000000.0,133501000000.0,1.0,0.66,1239.0,0.0,N,0.0,0.0088,2017-06-30,Q2-2017
ALLY BK/ALLY FNCL,18.0,3284070,"MIDVALE, UT",SMB,126005000000.0,126005000000.0,1.0,0.67,0.0,0.0,N,0.0,0.0083,2017-06-30,Q2-2017
NORTHERN TC/NORTHERN TR CORP,19.0,210434,"CHICAGO, IL",SMB,125198000000.0,87268000000.0,0.7,0.67,67.0,5.0,Y,0.0,0.0082,2017-06-30,Q2-2017
REGIONS BK/REGIONS FC,20.0,233031,"BIRMINGHAM, AL",SMB,123716000000.0,123716000000.0,1.0,0.68,1491.0,0.0,N,0.0,0.0081,2017-06-30,Q2-2017
MANUFACTURERS & TRADERS TC/M&T BK CORP,21.0,501105,"BUFFALO, NY",SMB,120358000000.0,120358000000.0,1.0,0.69,833.0,2.0,Y,0.0,0.0079,2017-06-30,Q2-2017
CITIZENS BK NA/CITIZENS FNCL GRP,22.0,3303298,"PROVIDENCE, RI",NAT,120138000000.0,120138000000.0,1.0,0.7,815.0,1.0,N,0.0,0.0079,2017-06-30,Q2-2017
MUFG UNION BK NA/MUFG AMERS HOLDS CORP,23.0,212465,"SAN FRANCISCO, CA",NAT,116715000000.0,116551000000.0,1.0,0.71,360.0,1.0,Y,0.99,0.0076,2017-06-30,Q2-2017
MORGAN STANLEY BK NA/MORGAN STANLEY,24.0,1456501,"SALT LAKE CITY, UT",NAT,116382000000.0,116382000000.0,1.0,0.71,0.0,0.0,N,0.0,0.0076,2017-06-30,Q2-2017
CAPITAL ONE BK USA NA/CAPITAL ONE FC,25.0,2253891,"GLEN ALLEN, VA",NAT,108100000000.0,107203000000.0,0.99,0.72,0.0,1.0,N,0.0,0.0071,2017-06-30,Q2-2017
BMO HARRIS BK NA/BMO FNCL CORP,26.0,75633,"CHICAGO, IL",NAT,106192000000.0,106192000000.0,1.0,0.73,596.0,0.0,N,1.0,0.007,2017-06-30,Q2-2017
HUNTINGTON NB/HUNTINGTON BSHRS,27.0,12311,"COLUMBUS, OH",NAT,101280000000.0,101280000000.0,1.0,0.73,1142.0,0.0,N,0.0,0.0066,2017-06-30,Q2-2017
DISCOVER BK/DISCOVER FS,28.0,30810,"GREENWOOD, DE",SNM,92584000000.0,92584000000.0,1.0,0.74,0.0,0.0,N,0.0,0.0061,2017-06-30,Q2-2017
BANK OF THE WEST/BNP PARIBAS USA,29.0,804963,"SAN FRANCISCO, CA",SNM,86911000000.0,86911000000.0,1.0,0.75,558.0,0.0,N,0.1,0.0057,2017-06-30,Q2-2017
COMPASS BK/BBVA COMPASS BSHRS,30.0,697633,"BIRMINGHAM, AL",SMB,83947000000.0,83947000000.0,1.0,0.75,656.0,0.0,N,1.0,0.0055,2017-06-30,Q2-2017
FIRST REPUBLIC BK/,31.0,4114567,"SAN FRANCISCO, CA",SNM,80978000000.0,80978000000.0,1.0,0.76,72.0,0.0,N,0.0,0.0053,2017-06-30,Q2-2017
SANTANDER BK NA/SANTANDER HOLDS USA,32.0,722777,"WILMINGTON, DE",NAT,79375000000.0,79361000000.0,1.0,0.76,673.0,1.0,N,1.0,0.0052,2017-06-30,Q2-2017
COMERICA BK/COMERICA,33.0,60143,"DALLAS, TX",SMB,71552000000.0,70918000000.0,0.99,0.77,439.0,1.0,N,0.0,0.0047,2017-06-30,Q2-2017
ZB NA/ZIONS BC,34.0,276579,"SALT LAKE CITY, UT",NAT,65277000000.0,65277000000.0,1.0,0.77,446.0,0.0,N,0.0,0.0043,2017-06-30,Q2-2017
MORGAN STANLEY PRIV BK NA/MORGAN STANLEY,35.0,2489805,"PURCHASE, NY",NAT,60560000000.0,60560000000.0,1.0,0.78,0.0,0.0,N,0.0,0.004,2017-06-30,Q2-2017
SILICON VALLEY BK/SVB FNCL GRP,36.0,802866,"SANTA CLARA, CA",SMB,47607000000.0,46103000000.0,0.97,0.78,4.0,1.0,N,0.0,0.0031,2017-06-30,Q2-2017
CITY NB/RBC USA HOLDCO CORP,37.0,63069,"LOS ANGELES, CA",NAT,46211000000.0,46211000000.0,1.0,0.78,72.0,0.0,N,1.0,0.003,2017-06-30,Q2-2017
DEUTSCHE BK TC AMERICAS/DB USA CORP,38.0,214807,"NEW YORK, NY",SMB,44195000000.0,44195000000.0,1.0,0.78,1.0,0.0,N,1.0,0.0029,2017-06-30,Q2-2017
PEOPLES UNITED BK NA/PEOPLES UNITED FNCL INC,39.0,613307,"BRIDGEPORT, CT",NAT,42706000000.0,42706000000.0,1.0,0.79,407.0,0.0,N,0.0,0.0028,2017-06-30,Q2-2017
CIT BK NA/CIT GROUP,40.0,3918898,"PASADENA, CA",NAT,41181000000.0,41181000000.0,1.0,0.79,69.0,0.0,N,0.0,0.0027,2017-06-30,Q2-2017
SIGNATURE BK/,41.0,2942690,"NEW YORK, NY",SNM,40719000000.0,40719000000.0,1.0,0.79,7.0,0.0,N,0.0,0.0027,2017-06-30,Q2-2017
EAST WEST BK/EAST WEST BC,42.0,197478,"PASADENA, CA",SMB,35887000000.0,34024000000.0,0.95,0.79,118.0,1.0,N,0.0,0.0024,2017-06-30,Q2-2017
FIRST-CITIZENS B&TC/FIRST CITIZENS BSHRS,43.0,491224,"RALEIGH, NC",SNM,34599000000.0,34599000000.0,1.0,0.8,554.0,0.0,N,0.0,0.0023,2017-06-30,Q2-2017
BOKF NA/BOK FC,44.0,339858,"TULSA, OK",NAT,32319000000.0,32319000000.0,1.0,0.8,124.0,0.0,N,0.0,0.0021,2017-06-30,Q2-2017
BARCLAYS BK DE/BARCLAYS US LLC,45.0,2980209,"WILMINGTON, DE",SNM,30812000000.0,30812000000.0,1.0,0.8,0.0,0.0,N,0.0,0.002,2017-06-30,Q2-2017
FIRST NB OF PA/FNB CORP,46.0,379920,"GREENVILLE, PA",NAT,30561000000.0,30561000000.0,1.0,0.8,423.0,0.0,N,0.0,0.002,2017-06-30,Q2-2017
SYNOVUS BK/SYNOVUS FC,47.0,395238,"COLUMBUS, GA",SMB,30534000000.0,30534000000.0,1.0,0.81,247.0,0.0,N,0.0,0.002,2017-06-30,Q2-2017
FROST BK/CULLEN/FROST BKR,48.0,682563,"SAN ANTONIO, TX",SMB,30227000000.0,30227000000.0,1.0,0.81,148.0,0.0,N,0.0,0.002,2017-06-30,Q2-2017
ASSOCIATED BK NA/ASSOCIATED BANC-CORP,49.0,917742,"GREEN BAY, WI",NAT,29703000000.0,29703000000.0,1.0,0.81,227.0,0.0,N,0.0,0.0019,2017-06-30,Q2-2017
FIRST TN BK NA/FIRST HORIZON NAT CORP,50.0,485559,"MEMPHIS, TN",NAT,29177000000.0,29177000000.0,1.0,0.81,169.0,0.0,Y,0.0,0.0019,2017-06-30,Q2-2017
BANKUNITED NA/BANKUNITED,51.0,3938186,"MIAMI LAKES, FL",NAT,28910000000.0,28910000000.0,1.0,0.81,96.0,0.0,N,0.0,0.0019,2017-06-30,Q2-2017
WHITNEY BK/HANCOCK HC,52.0,463735,"GULFPORT, MS",SNM,26540000000.0,26540000000.0,1.0,0.81,217.0,0.0,N,0.0,0.0017,2017-06-30,Q2-2017
WEBSTER BK NA/WEBSTER FNCL CORP,53.0,761806,"WATERBURY, CT",NAT,26168000000.0,26168000000.0,1.0,0.82,166.0,0.0,N,0.0,0.0017,2017-06-30,Q2-2017
UMPQUA BK/UMPQUA HC,54.0,143662,"ROSEBURG, OR",SNM,25220000000.0,25220000000.0,1.0,0.82,306.0,0.0,N,0.0,0.0017,2017-06-30,Q2-2017
COMMERCE BK/COMMERCE BSHRS,55.0,601050,"KANSAS CITY, MO",SMB,24970000000.0,24970000000.0,1.0,0.82,181.0,0.0,N,0.0,0.0016,2017-06-30,Q2-2017
VALLEY NB/VALLEY NAT BC,56.0,229801,"PASSAIC, NJ",NAT,23414000000.0,23414000000.0,1.0,0.82,210.0,0.0,N,0.0,0.0015,2017-06-30,Q2-2017
BNY MELLON NA/BANK OF NY MELLON CORP,57.0,934329,"PITTSBURGH, PA",NAT,23272000000.0,23272000000.0,1.0,0.82,4.0,0.0,N,0.0,0.0015,2017-06-30,Q2-2017
