Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1791060000000.0,1117246000000.0,0.62,0.15,5320.0,46.0,Y,0.0,0.1545,2011-06-30,Q2-2011
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1454051000000.0,1341798000000.0,0.92,0.28,5795.0,34.0,Y,0.0,0.1254,2011-06-30,Q2-2011
CITIBANK NA/CITIGROUP,3.0,476810,"LAS VEGAS, NV",NAT,1216291000000.0,600156000000.0,0.49,0.38,1024.0,373.0,Y,0.0,0.1049,2011-06-30,Q2-2011
WELLS FARGO BK NA/WELLS FARGO & CO,4.0,451965,"SIOUX FALLS, SD",NAT,1104833000000.0,1056663000000.0,0.96,0.48,6379.0,8.0,Y,0.0,0.0953,2011-06-30,Q2-2011
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,310100000000.0,308746000000.0,1.0,0.51,3135.0,1.0,N,0.0,0.0267,2011-06-30,Q2-2011
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,254826000000.0,252909000000.0,0.99,0.53,2613.0,1.0,N,0.0,0.022,2011-06-30,Q2-2011
BANK OF NY MELLON/BANK OF NY MELLON CORP,7.0,541101,"NEW YORK, NY",SMB,236330000000.0,140985000000.0,0.6,0.55,4.0,15.0,Y,0.0,0.0204,2011-06-30,Q2-2011
HSBC BK USA NA/HSBC NORTH AMER HOLD,8.0,413208,"MCLEAN, VA",NAT,195101000000.0,176982000000.0,0.91,0.57,477.0,5.0,Y,1.0,0.0168,2011-06-30,Q2-2011
FIA CARD SVC NA/BANK OF AMER CORP,9.0,1830035,"WILMINGTON, DE",NAT,187296000000.0,170253000000.0,0.91,0.58,0.0,0.0,N,0.0,0.0162,2011-06-30,Q2-2011
STATE STREET B&TC/STATE STREET CORP,10.0,35301,"BOSTON, MA",SMB,185499000000.0,141234000000.0,0.76,0.6,2.0,11.0,N,0.0,0.016,2011-06-30,Q2-2011
T D BK NA/TD US P & C HOLD ULC,11.0,497404,"WILMINGTON, DE",NAT,179971000000.0,179971000000.0,1.0,0.61,1282.0,1.0,N,1.0,0.0155,2011-06-30,Q2-2011
SUNTRUST BK/SUNTRUST BK,12.0,675332,"ATLANTA, GA",SMB,165801000000.0,165801000000.0,1.0,0.63,1702.0,0.0,Y,0.0,0.0143,2011-06-30,Q2-2011
BRANCH BKG&TC/BB&T CORP,13.0,852320,"WINSTON-SALEM, NC",SNM,153342000000.0,153014000000.0,1.0,0.64,1776.0,1.0,N,0.0,0.0132,2011-06-30,Q2-2011
CAPITAL ONE NA/CAPITAL ONE FC,14.0,112837,"MCLEAN, VA",NAT,127631000000.0,127551000000.0,1.0,0.65,981.0,0.0,N,0.0,0.011,2011-06-30,Q2-2011
REGIONS BK/REGIONS FC,15.0,233031,"BIRMINGHAM, AL",SMB,126720000000.0,126280000000.0,1.0,0.66,1765.0,0.0,N,0.0,0.0109,2011-06-30,Q2-2011
CITIBANK SD NA/CITIGROUP,16.0,486752,"SIOUX FALLS, SD",NAT,119843000000.0,119843000000.0,1.0,0.67,0.0,0.0,N,0.0,0.0103,2011-06-30,Q2-2011
CHASE BK USA NA/JPMORGAN CHASE & CO,17.0,489913,"NEWARK, DE",NAT,116343000000.0,116343000000.0,1.0,0.68,1.0,0.0,Y,0.0,0.01,2011-06-30,Q2-2011
RBS CITIZENS NA/CITIZENS FNCL GROUP,18.0,3303298,"PROVIDENCE, RI",NAT,109284000000.0,109284000000.0,1.0,0.69,1118.0,1.0,N,0.75,0.0094,2011-06-30,Q2-2011
FIFTH THIRD BK/FIFTH THIRD BC,19.0,723112,"CINCINNATI, OH",SMB,108668000000.0,108517000000.0,1.0,0.7,1372.0,1.0,N,0.0,0.0094,2011-06-30,Q2-2011
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,20.0,2182786,"NEW YORK, NY",SMB,88832000000.0,88831000000.0,1.0,0.71,3.0,0.0,N,0.0,0.0077,2011-06-30,Q2-2011
KEYBANK NA/KEYCORP,21.0,280110,"CLEVELAND, OH",NAT,85930000000.0,84740000000.0,0.99,0.72,1067.0,1.0,N,0.0,0.0074,2011-06-30,Q2-2011
NORTHERN TC/NORTHERN TR CORP,22.0,210434,"CHICAGO, IL",SMB,84416000000.0,55453000000.0,0.66,0.72,15.0,4.0,Y,0.0,0.0073,2011-06-30,Q2-2011
UNION BK NA/UNIONBANCAL CORP,23.0,212465,"SAN FRANCISCO, CA",NAT,79615000000.0,78674000000.0,0.99,0.73,409.0,1.0,Y,1.0,0.0069,2011-06-30,Q2-2011
ALLY BK/ALLY FNCL,24.0,3284070,"MIDVALE, UT",SNM,77424000000.0,77424000000.0,1.0,0.74,0.0,0.0,N,0.0,0.0067,2011-06-30,Q2-2011
MANUFACTURERS & TRADERS TC/M&T BK CORP,25.0,501105,"BUFFALO, NY",SMB,76465000000.0,76465000000.0,1.0,0.74,823.0,2.0,Y,0.0,0.0066,2011-06-30,Q2-2011
CAPITAL ONE BK USA NA/CAPITAL ONE FC,26.0,2253891,"GLEN ALLEN, VA",NAT,70507000000.0,66650000000.0,0.95,0.75,0.0,1.0,N,0.0,0.0061,2011-06-30,Q2-2011
MORGAN STANLEY BK NA/MORGAN STANLEY,27.0,1456501,"SALT LAKE CITY, UT",NAT,69860000000.0,69860000000.0,1.0,0.76,0.0,0.0,N,0.22,0.006,2011-06-30,Q2-2011
DISCOVER BK/DISCOVER FS,28.0,30810,"GREENWOOD, DE",SNM,62916000000.0,62916000000.0,1.0,0.76,0.0,0.0,N,0.0,0.0054,2011-06-30,Q2-2011
COMPASS BK/BBVA USA BSHRS,29.0,697633,"BIRMINGHAM, AL",SMB,62656000000.0,62656000000.0,1.0,0.77,724.0,0.0,N,1.0,0.0054,2011-06-30,Q2-2011
BANK OF THE WEST/BANCWEST CORP,30.0,804963,"SAN FRANCISCO, CA",SNM,59517000000.0,59517000000.0,1.0,0.77,665.0,0.0,Y,0.1,0.0051,2011-06-30,Q2-2011
COMERICA BK/COMERICA,31.0,60143,"DALLAS, TX",SMB,54071000000.0,53131000000.0,0.98,0.78,443.0,1.0,N,0.0,0.0047,2011-06-30,Q2-2011
HUNTINGTON NB/HUNTINGTON BSHRS,32.0,12311,"COLUMBUS, OH",NAT,52800000000.0,52800000000.0,1.0,0.78,698.0,0.0,N,0.0,0.0046,2011-06-30,Q2-2011
HARRIS NA/HARRIS FC,33.0,75633,"CHICAGO, IL",NAT,51859000000.0,51824000000.0,1.0,0.79,344.0,0.0,N,1.0,0.0045,2011-06-30,Q2-2011
DEUTSCHE BK TC AMERICAS/TAUNUS CORP,34.0,214807,"NEW YORK, NY",SMB,47446000000.0,43259000000.0,0.91,0.79,1.0,2.0,Y,1.0,0.0041,2011-06-30,Q2-2011
M&I MARSHALL & ILSLEY BK/MARSHALL & ILSLEY CORP,35.0,983448,"MILWAUKEE, WI",SMB,44975000000.0,44975000000.0,1.0,0.79,380.0,0.0,N,0.0,0.0039,2011-06-30,Q2-2011
FIRST NIAGARA BK NA/FIRST NIAGARA FNCL GROUP,36.0,517900,"BUFFALO, NY",NAT,30805000000.0,30805000000.0,1.0,0.8,349.0,0.0,N,0.0,0.0027,2011-06-30,Q2-2011
SYNOVUS BK/SYNOVUS FC,37.0,395238,"COLUMBUS, GA",SNM,27908000000.0,27908000000.0,1.0,0.8,329.0,1.0,N,0.0,0.0024,2011-06-30,Q2-2011
RBC BK USA/RBC USA HOLDCO CORP,38.0,1494240,"RALEIGH, NC",SMB,27286000000.0,27286000000.0,1.0,0.8,423.0,1.0,N,1.0,0.0024,2011-06-30,Q2-2011
WELLS FARGO BK S CENT NA/WELLS FARGO & CO,39.0,2362458,"HOUSTON, TX",NAT,25710000000.0,25710000000.0,1.0,0.8,0.0,0.0,N,0.0,0.0022,2011-06-30,Q2-2011
JPMORGAN B&TC NA/JPMORGAN CHASE & CO,40.0,3812165,"SAN FRANCISCO, CA",NAT,25003000000.0,25003000000.0,1.0,0.81,1.0,0.0,N,0.0,0.0022,2011-06-30,Q2-2011
FIRST TN BK NA/FIRST HORIZON NAT CORP,41.0,485559,"MEMPHIS, TN",NAT,24832000000.0,24832000000.0,1.0,0.81,183.0,0.0,Y,0.0,0.0021,2011-06-30,Q2-2011
BOKF NA/BOK FC,42.0,339858,"TULSA, OK",NAT,24055000000.0,24055000000.0,1.0,0.81,179.0,0.0,Y,0.0,0.0021,2011-06-30,Q2-2011
FIRST REPUBLIC BK/,43.0,4114567,"SAN FRANCISCO, CA",SNM,23798000000.0,23798000000.0,1.0,0.81,58.0,0.0,N,0.0,0.0021,2011-06-30,Q2-2011
CITY NB/CITY NAT CORP,44.0,63069,"LOS ANGELES, CA",NAT,22148000000.0,22148000000.0,1.0,0.81,76.0,0.0,N,0.0,0.0019,2011-06-30,Q2-2011
EAST WEST BK/EAST W BC,45.0,197478,"PASADENA, CA",SMB,21862000000.0,20591000000.0,0.94,0.82,129.0,1.0,N,0.0,0.0019,2011-06-30,Q2-2011
ASSOCIATED BK NA/ASSOCIATED BANC CORP,46.0,917742,"GREEN BAY, WI",NAT,21813000000.0,21813000000.0,1.0,0.82,279.0,1.0,N,0.0,0.0019,2011-06-30,Q2-2011
FIRST-CITIZENS B&TC/FIRST CITIZENS BSHRS,47.0,491224,"RALEIGH, NC",SNM,20797000000.0,20797000000.0,1.0,0.82,437.0,0.0,N,0.0,0.0018,2011-06-30,Q2-2011
COMMERCE BK/COMMERCE BSHRS,48.0,601050,"KANSAS CITY, MO",SMB,19413000000.0,19413000000.0,1.0,0.82,200.0,0.0,N,0.0,0.0017,2011-06-30,Q2-2011
TCF NB/TCF FC,49.0,266271,"SIOUX FALLS, SD",NAT,18735000000.0,18735000000.0,1.0,0.82,441.0,0.0,N,0.0,0.0016,2011-06-30,Q2-2011
FROST NB/CULLEN/FROST BKR,50.0,682563,"SAN ANTONIO, TX",NAT,18521000000.0,18521000000.0,1.0,0.83,129.0,0.0,N,0.0,0.0016,2011-06-30,Q2-2011
SILICON VALLEY BK/SVB FNCL GRP,51.0,802866,"SANTA CLARA, CA",SMB,18227000000.0,18227000000.0,1.0,0.83,3.0,0.0,N,0.0,0.0016,2011-06-30,Q2-2011
WELLS FARGO BK NW NA/WELLS FARGO & CO,52.0,688079,"OGDEN, UT",NAT,18058000000.0,18058000000.0,1.0,0.83,0.0,0.0,N,0.0,0.0016,2011-06-30,Q2-2011
BANK OF AMERICA RI NA/BANK OF AMER CORP,53.0,3344611,"PROVIDENCE, RI",NAT,17809000000.0,17809000000.0,1.0,0.83,0.0,0.0,N,0.0,0.0015,2011-06-30,Q2-2011
WEBSTER BK NA/WEBSTER FNCL CORP,54.0,761806,"WATERBURY, CT",NAT,17770000000.0,17770000000.0,1.0,0.83,175.0,0.0,Y,0.0,0.0015,2011-06-30,Q2-2011
METLIFE BK NA/METLIFE,55.0,2777650,"BRIDGEWATER, NJ",NAT,16491000000.0,16491000000.0,1.0,0.83,1.0,0.0,N,0.0,0.0014,2011-06-30,Q2-2011
ZIONS FIRST NB/ZIONS BC,56.0,276579,"SALT LAKE CITY, UT",NAT,16343000000.0,16343000000.0,1.0,0.83,132.0,0.0,N,0.0,0.0014,2011-06-30,Q2-2011
BANK OF AMER CA NA/BANK OF AMER CORP,57.0,1443266,"SAN FRANCISCO, CA",NAT,15978000000.0,15978000000.0,1.0,0.84,0.0,0.0,N,0.0,0.0014,2011-06-30,Q2-2011
FIRST HAWAIIAN BK/BANCWEST CORP,58.0,980661,"HONOLULU, HI",SNM,14797000000.0,14223000000.0,0.96,0.84,62.0,0.0,Y,0.1,0.0013,2011-06-30,Q2-2011
BARCLAYS BK DE/BARCLAYS DE HOLDS LLC,59.0,2980209,"WILMINGTON, DE",SNM,14642000000.0,14642000000.0,1.0,0.84,0.0,0.0,N,1.0,0.0013,2011-06-30,Q2-2011
WHITNEY BK/HANCOCK HC,60.0,1464122,"NEW ORLEANS, LA",SNM,14556000000.0,14556000000.0,1.0,0.84,218.0,1.0,N,0.0,0.0013,2011-06-30,Q2-2011
VALLEY NB/VALLEY NAT BC,61.0,229801,"PASSAIC, NJ",NAT,14449000000.0,14449000000.0,1.0,0.84,200.0,0.0,N,0.0,0.0012,2011-06-30,Q2-2011
FIRSTMERIT BK NA/FIRSTMERIT CORP,62.0,67311,"AKRON, OH",NAT,14328000000.0,14328000000.0,1.0,0.84,205.0,0.0,N,0.0,0.0012,2011-06-30,Q2-2011
SUSQUEHANNA BK/SUSQUEHANNA BSHRS,63.0,682611,"LITITZ, PA",SMB,14042000000.0,14042000000.0,1.0,0.84,223.0,0.0,N,0.0,0.0012,2011-06-30,Q2-2011
BANCORPSOUTH BK/BANCORPSOUTH,64.0,606046,"TUPELO, MS",SNM,13362000000.0,13362000000.0,1.0,0.84,281.0,0.0,N,0.0,0.0012,2011-06-30,Q2-2011
BANK OF HAWAII/BANK OF HI CORP,65.0,795968,"HONOLULU, HI",SMB,13190000000.0,12767000000.0,0.97,0.85,83.0,1.0,Y,0.0,0.0011,2011-06-30,Q2-2011
NORTHERN TR NA/NORTHERN TR CORP,66.0,665931,"MIAMI, FL",NAT,13178000000.0,13168000000.0,1.0,0.85,51.0,0.0,Y,0.0,0.0011,2011-06-30,Q2-2011
SIGNATURE BK/,67.0,2942690,"NEW YORK, NY",SNM,13085000000.0,13085000000.0,1.0,0.85,7.0,0.0,N,0.0,0.0011,2011-06-30,Q2-2011
FIRST NB OF OMAHA/LAURITZEN CORP,68.0,527954,"OMAHA, NE",NAT,12659000000.0,12659000000.0,1.0,0.85,100.0,0.0,N,0.0,0.0011,2011-06-30,Q2-2011
T D BK USA NA/TD US P & C HOLD ULC,69.0,2121196,"PORTLAND, ME",NAT,12366000000.0,12366000000.0,1.0,0.85,1.0,0.0,N,1.0,0.0011,2011-06-30,Q2-2011
PRIVATEBANK & TC/PRIVATEBANCORP,70.0,1842065,"CHICAGO, IL",SNM,12085000000.0,12085000000.0,1.0,0.85,29.0,0.0,N,0.0,0.001,2011-06-30,Q2-2011
ARVEST BK/ARVEST BK GRP,71.0,311845,"FAYETTEVILLE, AR",SMB,11964000000.0,11964000000.0,1.0,0.85,243.0,0.0,N,0.0,0.001,2011-06-30,Q2-2011
RABOBANK NA/RABOBANK INTL HOLD BV,72.0,877369,"ROSEVILLE, CA",NAT,11612000000.0,11612000000.0,1.0,0.85,120.0,0.0,N,1.0,0.001,2011-06-30,Q2-2011
BNY MELLON NA/BANK OF NY MELLON CORP,73.0,934329,"PITTSBURGH, PA",NAT,11460000000.0,11460000000.0,1.0,0.85,16.0,0.0,N,0.0,0.001,2011-06-30,Q2-2011
UMPQUA BK/UMPQUA HC,74.0,143662,"ROSEBURG, OR",SNM,11458000000.0,11458000000.0,1.0,0.85,179.0,0.0,N,0.0,0.001,2011-06-30,Q2-2011
IBERIABANK/IBERIABANK CORP,75.0,808176,"LAFAYETTE, LA",SMB,11358000000.0,11358000000.0,1.0,0.86,177.0,0.0,N,0.0,0.001,2011-06-30,Q2-2011
AMEGY BK NA/ZIONS BC,76.0,676656,"HOUSTON, TX",NAT,11190000000.0,11190000000.0,1.0,0.86,84.0,0.0,N,0.0,0.001,2011-06-30,Q2-2011
FIRSTBANK/FIRSTBANK HC,77.0,288853,"LAKEWOOD, CO",SMB,11061000000.0,11061000000.0,1.0,0.86,127.0,0.0,N,0.0,0.001,2011-06-30,Q2-2011
CALIFORNIA B&TC/ZIONS BC,78.0,837260,"SAN DIEGO, CA",SNM,10781000000.0,10781000000.0,1.0,0.86,102.0,0.0,N,0.0,0.0009,2011-06-30,Q2-2011
UMB BK NA/UMB FC,79.0,936855,"KANSAS CITY, MO",NAT,10685000000.0,10685000000.0,1.0,0.86,99.0,0.0,N,0.0,0.0009,2011-06-30,Q2-2011
CATHAY BK/CATHAY GEN BC,80.0,595869,"LOS ANGELES, CA",SNM,10518000000.0,10176000000.0,0.97,0.86,48.0,1.0,N,0.0,0.0009,2011-06-30,Q2-2011
MB FNCL BK NA/MB FNCL,81.0,656733,"CHICAGO, IL",NAT,9911000000.0,9911000000.0,1.0,0.86,98.0,0.0,N,0.0,0.0009,2011-06-30,Q2-2011
INTERNATIONAL BK OF CMRC/INTERNATIONAL BSHRS CORP,82.0,1001152,"LAREDO, TX",SNM,9729000000.0,9729000000.0,1.0,0.86,242.0,0.0,N,0.0,0.0008,2011-06-30,Q2-2011
FIRST NB OF PA/FNB CORP,83.0,379920,"GREENVILLE, PA",NAT,9651000000.0,9651000000.0,1.0,0.86,235.0,0.0,N,0.0,0.0008,2011-06-30,Q2-2011
PROSPERITY BK/PROSPERITY BSHRS,84.0,664756,"EL CAMPO, TX",SNM,9651000000.0,9651000000.0,1.0,0.86,180.0,0.0,N,0.0,0.0008,2011-06-30,Q2-2011
TRUSTMARK NB/TRUSTMARK CORP,85.0,342634,"JACKSON, MS",NAT,9587000000.0,9587000000.0,1.0,0.86,168.0,0.0,N,0.0,0.0008,2011-06-30,Q2-2011
ISRAEL DISCOUNT BK OF NY/DISCOUNT BC,86.0,320119,"NEW YORK, NY",SNM,9366000000.0,8124000000.0,0.87,0.87,5.0,0.0,Y,0.0,0.0008,2011-06-30,Q2-2011
STERLING SVG BK/STERLING FC,87.0,741871,"SPOKANE, WA",SNM,9252000000.0,9252000000.0,1.0,0.87,178.0,0.0,N,0.0,0.0008,2011-06-30,Q2-2011
CITIZENS BK/CITIZENS REPUBLIC BC,88.0,222147,"FLINT, MI",SMB,9252000000.0,9252000000.0,1.0,0.87,220.0,0.0,N,0.0,0.0008,2011-06-30,Q2-2011
