Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1896773000000.0,1298562000000.0,0.68,0.15,5623.0,44.0,Y,0.0,0.1503,2012-12-31,Q4-2012
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1474077000000.0,1391377000000.0,0.94,0.27,5533.0,34.0,Y,0.0,0.1168,2012-12-31,Q4-2012
CITIBANK NA/CITIGROUP,3.0,476810,"SIOUX FALLS, SD",NAT,1313401000000.0,688156000000.0,0.52,0.37,1020.0,296.0,Y,0.0,0.1041,2012-12-31,Q4-2012
WELLS FARGO BK NA/WELLS FARGO & CO,4.0,451965,"SIOUX FALLS, SD",NAT,1266125000000.0,1234918000000.0,0.98,0.47,6311.0,10.0,Y,0.0,0.1004,2012-12-31,Q4-2012
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,345089000000.0,343465000000.0,1.0,0.5,3133.0,1.0,N,0.0,0.0274,2012-12-31,Q4-2012
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,295026000000.0,292216000000.0,0.99,0.52,3007.0,1.0,N,0.0,0.0234,2012-12-31,Q4-2012
BANK OF NY MELLON/BANK OF NY MELLON CORP,7.0,541101,"NEW YORK, NY",SMB,282443000000.0,176790000000.0,0.63,0.54,4.0,13.0,Y,0.0,0.0224,2012-12-31,Q4-2012
CAPITAL ONE NA/CAPITAL ONE FC,8.0,112837,"MC LEAN, VA",NAT,250961000000.0,250880000000.0,1.0,0.56,944.0,0.0,N,0.0,0.0199,2012-12-31,Q4-2012
STATE STREET B&TC/STATE STREET CORP,9.0,35301,"BOSTON, MA",SMB,218655000000.0,158322000000.0,0.72,0.58,2.0,12.0,N,0.0,0.0173,2012-12-31,Q4-2012
T D BK NA/TD US P & C HOLD ULC,10.0,497404,"WILMINGTON, DE",NAT,203986000000.0,203985000000.0,1.0,0.6,1299.0,1.0,N,1.0,0.0162,2012-12-31,Q4-2012
HSBC BK USA NA/HSBC NORTH AMER HOLD,11.0,413208,"MCLEAN, VA",NAT,186790000000.0,171556000000.0,0.92,0.61,253.0,4.0,Y,1.0,0.0148,2012-12-31,Q4-2012
BRANCH BKG&TC/BB&T CORP,12.0,852320,"WINSTON SALEM, NC",SNM,178034000000.0,177789000000.0,1.0,0.63,1832.0,1.0,N,0.0,0.0141,2012-12-31,Q4-2012
SUNTRUST BK/SUNTRUST BK,13.0,675332,"ATLANTA, GA",SMB,169077000000.0,169077000000.0,1.0,0.64,1657.0,0.0,Y,0.0,0.0134,2012-12-31,Q4-2012
FIA CARD SVC NA/BANK OF AMER CORP,14.0,1830035,"WILMINGTON, DE",NAT,167464000000.0,157923000000.0,0.94,0.65,0.0,0.0,N,0.0,0.0133,2012-12-31,Q4-2012
CHASE BK USA NA/JPMORGAN CHASE & CO,15.0,489913,"NEWARK, DE",NAT,120652000000.0,120652000000.0,1.0,0.66,1.0,0.0,Y,0.0,0.0096,2012-12-31,Q4-2012
REGIONS BK/REGIONS FC,16.0,233031,"BIRMINGHAM, AL",SMB,120421000000.0,120188000000.0,1.0,0.67,1707.0,0.0,N,0.0,0.0095,2012-12-31,Q4-2012
FIFTH THIRD BK/FIFTH THIRD BC,17.0,723112,"CINCINNATI, OH",SMB,119445000000.0,119182000000.0,1.0,0.68,1375.0,1.0,N,0.0,0.0095,2012-12-31,Q4-2012
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,18.0,2182786,"NEW YORK, NY",SMB,118536000000.0,118536000000.0,1.0,0.69,1.0,0.0,N,0.0,0.0094,2012-12-31,Q4-2012
RBS CITIZENS NA/RBS CITIZENS FNCL GRP,19.0,3303298,"PROVIDENCE, RI",NAT,104824000000.0,104824000000.0,1.0,0.7,1004.0,1.0,N,0.75,0.0083,2012-12-31,Q4-2012
NORTHERN TC/NORTHERN TR CORP,20.0,210434,"CHICAGO, IL",SMB,97139000000.0,70632000000.0,0.73,0.71,72.0,4.0,Y,0.0,0.0077,2012-12-31,Q4-2012
UNION BK NA/UNIONBANCAL CORP,21.0,212465,"SAN FRANCISCO, CA",NAT,96323000000.0,95484000000.0,0.99,0.72,447.0,1.0,Y,1.0,0.0076,2012-12-31,Q4-2012
BMO HARRIS BK NA/BMO FNCL CORP,22.0,75633,"CHICAGO, IL",NAT,95265000000.0,95170000000.0,1.0,0.72,689.0,0.0,N,1.0,0.0076,2012-12-31,Q4-2012
ALLY BK/ALLY FNCL,23.0,3284070,"MIDVALE, UT",SNM,94796000000.0,94796000000.0,1.0,0.73,0.0,0.0,N,0.0,0.0075,2012-12-31,Q4-2012
KEYBANK NA/KEYCORP,24.0,280110,"CLEVELAND, OH",NAT,87043000000.0,86109000000.0,0.99,0.74,1111.0,1.0,N,0.0,0.0069,2012-12-31,Q4-2012
SOVEREIGN BK NA/SANTANDER HOLDS USA,25.0,722777,"WILMINGTON, DE",NAT,83082000000.0,82559000000.0,0.99,0.74,732.0,1.0,N,1.0,0.0066,2012-12-31,Q4-2012
MANUFACTURERS & TRADERS TC/M&T BK CORP,26.0,501105,"BUFFALO, NY",SMB,82086000000.0,82086000000.0,1.0,0.75,766.0,2.0,Y,0.0,0.0065,2012-12-31,Q4-2012
CAPITAL ONE BK USA NA/CAPITAL ONE FC,27.0,2253891,"GLEN ALLEN, VA",NAT,80599000000.0,78692000000.0,0.98,0.76,0.0,1.0,N,0.0,0.0064,2012-12-31,Q4-2012
MORGAN STANLEY BK NA/MORGAN STANLEY,28.0,1456501,"SALT LAKE CITY, UT",NAT,80536000000.0,80536000000.0,1.0,0.76,0.0,0.0,N,0.0,0.0064,2012-12-31,Q4-2012
DISCOVER BK/DISCOVER FS,29.0,30810,"GREENWOOD, DE",SNM,71837000000.0,71837000000.0,1.0,0.77,0.0,0.0,N,0.0,0.0057,2012-12-31,Q4-2012
COMPASS BK/BBVA USA BSHRS,30.0,697633,"BIRMINGHAM, AL",SMB,69077000000.0,69077000000.0,1.0,0.77,714.0,0.0,N,1.0,0.0055,2012-12-31,Q4-2012
COMERICA BK/COMERICA,31.0,60143,"DALLAS, TX",SMB,65252000000.0,64168000000.0,0.98,0.78,487.0,1.0,N,0.0,0.0052,2012-12-31,Q4-2012
BANK OF THE WEST/BANCWEST CORP,32.0,804963,"SAN FRANCISCO, CA",SNM,63343000000.0,63343000000.0,1.0,0.78,655.0,0.0,Y,0.1,0.005,2012-12-31,Q4-2012
DEUTSCHE BK TC AMERICAS/DEUTSCHE BK TR CORP,33.0,214807,"NEW YORK, NY",SMB,56397000000.0,52155000000.0,0.92,0.79,1.0,1.0,Y,1.0,0.0045,2012-12-31,Q4-2012
HUNTINGTON NB/HUNTINGTON BSHRS,34.0,12311,"COLUMBUS, OH",NAT,55955000000.0,55955000000.0,1.0,0.79,754.0,0.0,N,0.0,0.0044,2012-12-31,Q4-2012
WELLS FARGO BK S CENT NA/WELLS FARGO & CO,35.0,2362458,"HOUSTON, TX",NAT,43962000000.0,43962000000.0,1.0,0.8,0.0,0.0,N,0.0,0.0035,2012-12-31,Q4-2012
FIRST NIAGARA BK NA/FIRST NIAGARA FNCL GROUP,36.0,517900,"BUFFALO, NY",NAT,36881000000.0,36881000000.0,1.0,0.8,432.0,0.0,N,0.0,0.0029,2012-12-31,Q4-2012
FIRST REPUBLIC BK/,37.0,4114567,"SAN FRANCISCO, CA",SNM,34388000000.0,34388000000.0,1.0,0.8,61.0,0.0,N,0.0,0.0027,2012-12-31,Q4-2012
CITY NB/CITY NAT CORP,38.0,63069,"BEVERLY HILLS, CA",NAT,28255000000.0,28255000000.0,1.0,0.8,77.0,0.0,N,0.0,0.0022,2012-12-31,Q4-2012
BOKF NA/BOK FC,39.0,339858,"TULSA, OK",NAT,27934000000.0,27934000000.0,1.0,0.81,178.0,0.0,Y,0.0,0.0022,2012-12-31,Q4-2012
