Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1627684000000.0,1063827000000.0,0.65,0.15,5141.0,45.0,Y,0.0,0.1475,2009-12-31,Q4-2009
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1465221000000.0,1389723000000.0,0.95,0.28,6130.0,34.0,Y,0.0,0.1328,2009-12-31,Q4-2009
CITIBANK NA/CITIGROUP,3.0,476810,"LAS VEGAS, NV",NAT,1161361000000.0,602869000000.0,0.52,0.39,1030.0,363.0,Y,0.0,0.1053,2009-12-31,Q4-2009
WELLS FARGO BK NA/WELLS FARGO & CO,4.0,451965,"SIOUX FALLS, SD",NAT,608778000000.0,608657000000.0,1.0,0.44,3375.0,4.0,Y,0.0,0.0552,2009-12-31,Q4-2009
WACHOVIA BK NA/WELLS FARGO & CO,5.0,484422,"CHARLOTTE, NC",NAT,510083000000.0,487276000000.0,0.96,0.49,3287.0,9.0,Y,0.0,0.0462,2009-12-31,Q4-2009
U S BK NA/U S BC,6.0,504713,"CINCINNATI, OH",NAT,276376000000.0,275348000000.0,1.0,0.51,3050.0,1.0,N,0.0,0.025,2009-12-31,Q4-2009
PNC BK NA/PNC FNCL SVC GROUP,7.0,817824,"PITTSBURGH, PA",NAT,260310000000.0,258452000000.0,0.99,0.54,2609.0,1.0,N,0.0,0.0236,2009-12-31,Q4-2009
HSBC BK USA NA/HSBC NORTH AMER HOLD,8.0,413208,"MCLEAN, VA",NAT,167165000000.0,151831000000.0,0.91,0.55,487.0,5.0,Y,1.0,0.0152,2009-12-31,Q4-2009
SUNTRUST BK/SUNTRUST BK,9.0,675332,"ATLANTA, GA",SMB,164341000000.0,164341000000.0,1.0,0.57,1730.0,0.0,Y,0.0,0.0149,2009-12-31,Q4-2009
BANK OF NY MELLON/BANK OF NY MELLON CORP,10.0,541101,"NEW YORK, NY",SMB,164275000000.0,86135000000.0,0.52,0.58,4.0,12.0,Y,0.0,0.0149,2009-12-31,Q4-2009
BRANCH BKG&TC/BB&T CORP,11.0,852320,"WINSTON-SALEM, NC",SNM,159676000000.0,159412000000.0,1.0,0.6,1859.0,1.0,N,0.0,0.0145,2009-12-31,Q4-2009
STATE STREET B&TC/STATE STREET CORP,12.0,35301,"BOSTON, MA",SMB,153741000000.0,106213000000.0,0.69,0.61,2.0,10.0,N,0.0,0.0139,2009-12-31,Q4-2009
FIA CARD SVC NA/BANK OF AMER CORP,13.0,1830035,"WILMINGTON, DE",NAT,145366000000.0,132479000000.0,0.91,0.62,0.0,0.0,N,0.0,0.0132,2009-12-31,Q4-2009
T D BK NA/TD US P & C HOLD ULC,14.0,497404,"WILMINGTON, DE",NAT,140039000000.0,140039000000.0,1.0,0.63,1009.0,1.0,N,1.0,0.0127,2009-12-31,Q4-2009
REGIONS BK/REGIONS FC,15.0,233031,"BIRMINGHAM, AL",SMB,138007000000.0,132998000000.0,0.96,0.65,1898.0,0.0,N,0.0,0.0125,2009-12-31,Q4-2009
CAPITAL ONE NA/CAPITAL ONE FC,16.0,112837,"MCLEAN, VA",NAT,127360000000.0,127276000000.0,1.0,0.66,977.0,0.0,N,0.0,0.0115,2009-12-31,Q4-2009
RBS CITIZENS NA/CITIZENS FNCL GROUP,17.0,3303298,"PROVIDENCE, RI",NAT,116921000000.0,116921000000.0,1.0,0.67,1122.0,1.0,N,0.75,0.0106,2009-12-31,Q4-2009
FIFTH THIRD BK/FIFTH THIRD BC,18.0,723112,"CINCINNATI, OH",SMB,112736000000.0,112182000000.0,1.0,0.68,1365.0,1.0,N,0.0,0.0102,2009-12-31,Q4-2009
CITIBANK SD NA/CITIGROUP,19.0,486752,"SIOUX FALLS, SD",NAT,97969000000.0,97969000000.0,1.0,0.69,0.0,0.0,N,0.0,0.0089,2009-12-31,Q4-2009
CHASE BK USA NA/JPMORGAN CHASE & CO,20.0,489913,"NEWARK, DE",NAT,91043000000.0,91043000000.0,1.0,0.7,1.0,0.0,Y,0.0,0.0083,2009-12-31,Q4-2009
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,21.0,2182786,"NEW YORK, NY",SMB,91016000000.0,91014000000.0,1.0,0.71,4.0,0.0,N,0.0,0.0082,2009-12-31,Q4-2009
KEYBANK NA/KEYCORP,22.0,280110,"CLEVELAND, OH",NAT,90179000000.0,88692000000.0,0.98,0.71,1029.0,1.0,N,0.0,0.0082,2009-12-31,Q4-2009
UNION BK NA/UNIONBANCAL CORP,23.0,212465,"SAN FRANCISCO, CA",NAT,85196000000.0,84249000000.0,0.99,0.72,344.0,1.0,Y,1.0,0.0077,2009-12-31,Q4-2009
NORTHERN TC/NORTHERN TR CORP,24.0,210434,"CHICAGO, IL",SMB,68809000000.0,56991000000.0,0.83,0.73,15.0,4.0,Y,0.0,0.0062,2009-12-31,Q4-2009
MANUFACTURERS & TRADERS TC/M&T BK CORP,25.0,501105,"BUFFALO, NY",SMB,67860000000.0,67860000000.0,1.0,0.73,837.0,1.0,Y,0.24,0.0062,2009-12-31,Q4-2009
MORGAN STANLEY BK NA/MORGAN STANLEY,26.0,1456501,"SALT LAKE CITY, UT",NAT,66159000000.0,66159000000.0,1.0,0.74,0.0,0.0,N,0.21,0.006,2009-12-31,Q4-2009
DISCOVER BK/DISCOVER FS,27.0,30810,"GREENWOOD, DE",SNM,65845000000.0,65845000000.0,1.0,0.75,0.0,0.0,N,0.0,0.006,2009-12-31,Q4-2009
COMPASS BK/BBVA USA BSHRS,28.0,697633,"BIRMINGHAM, AL",SMB,64608000000.0,64608000000.0,1.0,0.75,751.0,0.0,N,1.0,0.0059,2009-12-31,Q4-2009
BANK OF THE WEST/BANCWEST CORP,29.0,804963,"SAN FRANCISCO, CA",SNM,60001000000.0,60001000000.0,1.0,0.76,670.0,0.0,Y,0.1,0.0054,2009-12-31,Q4-2009
COMERICA BK/COMERICA,30.0,60143,"DALLAS, TX",SMB,59144000000.0,58165000000.0,0.98,0.76,446.0,1.0,N,0.0,0.0054,2009-12-31,Q4-2009
ALLY BK/GMAC,31.0,3284070,"MIDVALE, UT",SNM,55303000000.0,55303000000.0,1.0,0.77,0.0,0.0,N,0.0,0.005,2009-12-31,Q4-2009
HUNTINGTON NB/HUNTINGTON BSHRS,32.0,12311,"COLUMBUS, OH",NAT,51111000000.0,51111000000.0,1.0,0.77,656.0,0.0,N,0.0,0.0046,2009-12-31,Q4-2009
M&I MARSHALL & ILSLEY BK/MARSHALL & ILSLEY CORP,33.0,983448,"MILWAUKEE, WI",SMB,50254000000.0,50254000000.0,1.0,0.78,366.0,0.0,N,0.0,0.0046,2009-12-31,Q4-2009
DEUTSCHE BK TC AMERICAS/TAUNUS CORP,34.0,214807,"NEW YORK, NY",SMB,45892000000.0,41799000000.0,0.91,0.78,1.0,1.0,Y,1.0,0.0042,2009-12-31,Q4-2009
HARRIS NA/HARRIS FC,35.0,75633,"CHICAGO, IL",NAT,43972000000.0,43877000000.0,1.0,0.78,287.0,0.0,N,1.0,0.004,2009-12-31,Q4-2009
WELLS FARGO BK S CENT NA/WELLS FARGO & CO,36.0,2362458,"HOUSTON, TX",NAT,40565000000.0,40565000000.0,1.0,0.79,0.0,0.0,N,0.0,0.0037,2009-12-31,Q4-2009
CAPITAL ONE BK USA NA/CAPITAL ONE FC,37.0,2253891,"GLEN ALLEN, VA",NAT,37991000000.0,37775000000.0,0.99,0.79,0.0,1.0,N,0.0,0.0034,2009-12-31,Q4-2009
RBC BK USA/ROYAL BK HOLD,38.0,1494240,"RALEIGH, NC",SMB,27448000000.0,27448000000.0,1.0,0.79,438.0,1.0,N,0.99,0.0025,2009-12-31,Q4-2009
FIRST TENNESSEE BK NA MMPHS/FIRST HORIZON NAT CORP,39.0,485559,"MEMPHIS, TN",NAT,25842000000.0,25841000000.0,1.0,0.8,187.0,0.0,Y,0.0,0.0023,2009-12-31,Q4-2009
BANK OF AMERICA RI NA/BANK OF AMER CORP,40.0,3344611,"PROVIDENCE, RI",NAT,23651000000.0,23651000000.0,1.0,0.8,0.0,0.0,N,0.0,0.0021,2009-12-31,Q4-2009
BANK OF AMER CA NA/BANK OF AMER CORP,41.0,1443266,"SAN FRANCISCO, CA",NAT,23478000000.0,23478000000.0,1.0,0.8,0.0,0.0,N,0.0,0.0021,2009-12-31,Q4-2009
ASSOCIATED BK NA/ASSOCIATED BANC CORP,42.0,917742,"GREEN BAY, WI",NAT,22564000000.0,22564000000.0,1.0,0.8,290.0,1.0,N,0.0,0.002,2009-12-31,Q4-2009
CITY NB/CITY NAT CORP,43.0,63069,"LOS ANGELES, CA",NAT,20749000000.0,20749000000.0,1.0,0.8,71.0,0.0,N,0.0,0.0019,2009-12-31,Q4-2009
EAST WEST BK/EAST W BC,44.0,197478,"PASADENA, CA",SMB,20560000000.0,19635000000.0,0.96,0.81,140.0,2.0,N,0.0,0.0019,2009-12-31,Q4-2009
COMMERCE BK NA/COMMERCE BSHRS,45.0,601050,"KANSAS CITY, MO",NAT,17959000000.0,17959000000.0,1.0,0.81,211.0,0.0,N,0.0,0.0016,2009-12-31,Q4-2009
TCF NB/TCF FC,46.0,266271,"SIOUX FALLS, SD",NAT,17922000000.0,17922000000.0,1.0,0.81,452.0,0.0,N,0.0,0.0016,2009-12-31,Q4-2009
ZIONS FIRST NB/ZIONS BC,47.0,276579,"SALT LAKE CITY, UT",NAT,17860000000.0,17860000000.0,1.0,0.81,129.0,0.0,N,0.0,0.0016,2009-12-31,Q4-2009
WEBSTER BK NA/WEBSTER FNCL CORP,48.0,761806,"WATERBURY, CT",NAT,17699000000.0,17699000000.0,1.0,0.81,180.0,0.0,Y,0.0,0.0016,2009-12-31,Q4-2009
BANK OF OK NA/BOK FC,49.0,339858,"TULSA, OK",NAT,16430000000.0,16430000000.0,1.0,0.81,83.0,0.0,Y,0.0,0.0015,2009-12-31,Q4-2009
FROST NB/CULLEN/FROST BKR,50.0,682563,"SAN ANTONIO, TX",NAT,16344000000.0,16344000000.0,1.0,0.82,127.0,0.0,N,0.0,0.0015,2009-12-31,Q4-2009
BANK OF AMER OR NA/BANK OF AMER CORP,51.0,2867056,"PORTLAND, OR",NAT,16107000000.0,16107000000.0,1.0,0.82,0.0,0.0,N,0.0,0.0015,2009-12-31,Q4-2009
FIRST-CITIZENS B&TC/FIRST CITIZENS BSHRS,52.0,491224,"RALEIGH, NC",SNM,15799000000.0,15799000000.0,1.0,0.82,373.0,0.0,N,0.0,0.0014,2009-12-31,Q4-2009
WELLS FARGO BK NW NA/WELLS FARGO & CO,53.0,688079,"OGDEN, UT",NAT,14504000000.0,14504000000.0,1.0,0.82,0.0,0.0,N,0.0,0.0013,2009-12-31,Q4-2009
VALLEY NB/VALLEY NBC,54.0,229801,"PASSAIC, NJ",NAT,14263000000.0,14263000000.0,1.0,0.82,197.0,0.0,N,0.0,0.0013,2009-12-31,Q4-2009
METLIFE BK NA/METLIFE,55.0,2777650,"BRIDGEWATER, NJ",NAT,14107000000.0,14107000000.0,1.0,0.82,1.0,0.0,N,0.0,0.0013,2009-12-31,Q4-2009
FIRST HAWAIIAN BK/BANCWEST CORP,56.0,980661,"HONOLULU, HI",SNM,13705000000.0,13107000000.0,0.96,0.82,62.0,0.0,Y,0.1,0.0012,2009-12-31,Q4-2009
SUSQUEHANNA BK/SUSQUEHANNA BSHRS,57.0,682611,"LITITZ, PA",SMB,13494000000.0,13494000000.0,1.0,0.82,215.0,0.0,N,0.0,0.0012,2009-12-31,Q4-2009
BANCORPSOUTH BK/BANCORPSOUTH,58.0,606046,"TUPELO, MS",SNM,13196000000.0,13196000000.0,1.0,0.83,278.0,0.0,N,0.0,0.0012,2009-12-31,Q4-2009
NORTHERN TR NA/NORTHERN TR CORP,59.0,665931,"MIAMI, FL",NAT,12650000000.0,12650000000.0,1.0,0.83,60.0,0.0,Y,0.0,0.0011,2009-12-31,Q4-2009
BARCLAYS BK DE/BARCLAYS GROUP US,60.0,2980209,"WILMINGTON, DE",SNM,12614000000.0,12614000000.0,1.0,0.83,0.0,0.0,N,1.0,0.0011,2009-12-31,Q4-2009
BANK OF HAWAII/BANK OF HI CORP,61.0,795968,"HONOLULU, HI",SMB,12392000000.0,11916000000.0,0.96,0.83,80.0,1.0,Y,0.0,0.0011,2009-12-31,Q4-2009
SILICON VALLEY BK/SVB FNCL GRP,62.0,802866,"SANTA CLARA, CA",SMB,12191000000.0,12191000000.0,1.0,0.83,3.0,0.0,N,0.0,0.0011,2009-12-31,Q4-2009
PRIVATEBANK & TC/PRIVATEBANCORP,63.0,1842065,"CHICAGO, IL",SNM,11902000000.0,11902000000.0,1.0,0.83,30.0,0.0,N,0.0,0.0011,2009-12-31,Q4-2009
WHITNEY NB/WHITNEY HC,64.0,873138,"NEW ORLEANS, LA",NAT,11877000000.0,11877000000.0,1.0,0.83,168.0,1.0,N,0.0,0.0011,2009-12-31,Q4-2009
CAROLINA FIRST BK/SOUTH FNCL GROUP,65.0,310727,"GREENVILLE, SC",SNM,11876000000.0,11876000000.0,1.0,0.83,177.0,0.0,N,0.0,0.0011,2009-12-31,Q4-2009
CATHAY BK/CATHAY GEN BC,66.0,595869,"LOS ANGELES, CA",SNM,11573000000.0,11327000000.0,0.98,0.83,48.0,1.0,N,0.0,0.001,2009-12-31,Q4-2009
CITIZENS BK/CITIZENS REPUBLIC BC,67.0,222147,"FLINT, MI",SMB,11336000000.0,11336000000.0,1.0,0.84,228.0,0.0,N,0.0,0.001,2009-12-31,Q4-2009
ARVEST BK/ARVEST BK GROUP,68.0,311845,"FAYETTEVILLE, AR",SMB,11314000000.0,11314000000.0,1.0,0.84,243.0,0.0,N,0.0,0.001,2009-12-31,Q4-2009
CALIFORNIA B&TC/ZIONS BC,69.0,837260,"SAN DIEGO, CA",SNM,11255000000.0,11255000000.0,1.0,0.84,108.0,0.0,N,0.0,0.001,2009-12-31,Q4-2009
AMEGY BK NA/ZIONS BC,70.0,676656,"HOUSTON, TX",NAT,11089000000.0,11089000000.0,1.0,0.84,86.0,0.0,N,0.0,0.001,2009-12-31,Q4-2009
BANCO POPULAR N AMER/POPULAR,71.0,2736291,"NEW YORK, NY",SMB,10865000000.0,10865000000.0,1.0,0.84,100.0,0.0,Y,1.0,0.001,2009-12-31,Q4-2009
MB FNCL BK NA/MB FNCL,72.0,656733,"CHICAGO, IL",NAT,10841000000.0,10840000000.0,1.0,0.84,95.0,0.0,Y,0.0,0.001,2009-12-31,Q4-2009
FIRST BK/FIRST BKS,73.0,169653,"CREVE COEUR, MO",SMB,10550000000.0,10550000000.0,1.0,0.84,207.0,0.0,N,0.0,0.001,2009-12-31,Q4-2009
FIRSTMERIT BK NA/FIRSTMERIT CORP,74.0,67311,"AKRON, OH",NAT,10522000000.0,10522000000.0,1.0,0.84,160.0,0.0,N,0.0,0.001,2009-12-31,Q4-2009
STERLING SVG BK/STERLING FC,75.0,741871,"SPOKANE, WA",SNM,10300000000.0,10300000000.0,1.0,0.84,177.0,0.0,N,0.0,0.0009,2009-12-31,Q4-2009
