Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,3503360000000.0,2684314000000.0,0.77,0.16,4912.0,32.0,Y,,0.1581,2024-03-31,Q1-2024
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,2550363000000.0,2412258000000.0,0.95,0.27,3744.0,23.0,Y,,0.1151,2024-03-31,Q1-2024
WELLS FARGO BK NA/WELLS FARGO & CO,3.0,451965,"SIOUX FALLS, SD",NAT,1743283000000.0,1719719000000.0,0.99,0.35,4297.0,10.0,Y,,0.0787,2024-03-31,Q1-2024
CITIBANK NA/CITIGROUP,4.0,476810,"SIOUX FALLS, SD",NAT,1698856000000.0,1053772000000.0,0.62,0.43,653.0,115.0,Y,,0.0767,2024-03-31,Q1-2024
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,669426000000.0,660128000000.0,0.99,0.46,2291.0,1.0,N,,0.0302,2024-03-31,Q1-2024
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,561950000000.0,560145000000.0,1.0,0.48,2373.0,1.0,N,,0.0254,2024-03-31,Q1-2024
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,7.0,2182786,"NEW YORK, NY",SMB,549188000000.0,472011000000.0,0.86,0.51,2.0,2.0,N,,0.0248,2024-03-31,Q1-2024
TRUIST BK/TRUIST FC,8.0,852320,"CHARLOTTE, NC",SNM,526714000000.0,526649000000.0,1.0,0.53,1930.0,0.0,N,,0.0238,2024-03-31,Q1-2024
CAPITAL ONE NA/CAPITAL ONE FC,9.0,112837,"MC LEAN, VA",NAT,478877000000.0,478280000000.0,1.0,0.55,273.0,1.0,N,,0.0216,2024-03-31,Q1-2024
T D BK NA/TD GRP US HOLDS LLC,10.0,497404,"WILMINGTON, DE",NAT,369860000000.0,369860000000.0,1.0,0.57,1179.0,0.0,N,,0.0167,2024-03-31,Q1-2024
BANK OF NY MELLON/BANK OF NY MELLON CORP,11.0,541101,"NEW YORK, NY",SMB,357477000000.0,262723000000.0,0.73,0.59,1.0,15.0,Y,,0.0161,2024-03-31,Q1-2024
STATE STREET B&TC/STATE STREET CORP,12.0,35301,"BOSTON, MA",SMB,333667000000.0,249534000000.0,0.75,0.6,2.0,10.0,N,,0.0151,2024-03-31,Q1-2024
BMO BK NA/BMO FNCL CORP,13.0,75633,"CHICAGO, IL",NAT,264643000000.0,264643000000.0,1.0,0.61,1000.0,0.0,N,,0.0119,2024-03-31,Q1-2024
CITIZENS BK NA/CITIZENS FNCL GRP,14.0,3303298,"PROVIDENCE, RI",NAT,220152000000.0,220152000000.0,1.0,0.62,1030.0,1.0,N,,0.0099,2024-03-31,Q1-2024
FIRST-CITIZENS B&TC/FIRST CITIZENS BSHRS,15.0,491224,"RALEIGH, NC",SNM,217724000000.0,217665000000.0,1.0,0.63,547.0,0.0,N,,0.0098,2024-03-31,Q1-2024
MANUFACTURERS & TRADERS TC/M&T BK CORP,16.0,501105,"BUFFALO, NY",SMB,214668000000.0,214668000000.0,1.0,0.64,990.0,1.0,Y,,0.0097,2024-03-31,Q1-2024
FIFTH THIRD BK NA/FIFTH THIRD BC,17.0,723112,"CINCINNATI, OH",NAT,213681000000.0,213551000000.0,1.0,0.65,1085.0,1.0,N,,0.0096,2024-03-31,Q1-2024
