Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1688164000000.0,1093969000000.0,0.65,0.15,3548.0,45.0,Y,0.0,0.1518,2009-03-31,Q1-2009
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1434037000000.0,1353986000000.0,0.94,0.28,6197.0,35.0,Y,0.0,0.129,2009-03-31,Q1-2009
CITIBANK NA/CITIGROUP,3.0,476810,"LAS VEGAS, NV",NAT,1143561000000.0,604538000000.0,0.53,0.38,1042.0,357.0,Y,0.0,0.1028,2009-03-31,Q1-2009
WACHOVIA BK NA/WELLS FARGO & CO,4.0,484422,"CHARLOTTE, NC",NAT,579258000000.0,550656000000.0,0.95,0.44,3332.0,8.0,Y,0.0,0.0521,2009-03-31,Q1-2009
WELLS FARGO BK NA/WELLS FARGO & CO,5.0,451965,"SIOUX FALLS, SD",NAT,552170000000.0,552096000000.0,1.0,0.49,3337.0,3.0,Y,0.0,0.0497,2009-03-31,Q1-2009
U S BK NA/U S BC,6.0,504713,"CINCINNATI, OH",NAT,258527000000.0,257637000000.0,1.0,0.51,2894.0,1.0,N,0.0,0.0232,2009-03-31,Q1-2009
HSBC BK USA NA/HSBC NORTH AMER HOLD,7.0,413208,"MCLEAN, VA",NAT,177778000000.0,166844000000.0,0.94,0.52,472.0,5.0,Y,1.0,0.016,2009-03-31,Q1-2009
SUNTRUST BK/SUNTRUST BK,8.0,675332,"ATLANTA, GA",SMB,174237000000.0,174237000000.0,1.0,0.54,1757.0,0.0,Y,0.0,0.0157,2009-03-31,Q1-2009
BANK OF NY MELLON/BANK OF NY MELLON CORP,9.0,541101,"NEW YORK, NY",SMB,163006000000.0,88961000000.0,0.55,0.55,4.0,10.0,Y,0.0,0.0147,2009-03-31,Q1-2009
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,10.0,2182786,"NEW YORK, NY",SMB,161455000000.0,161455000000.0,1.0,0.57,3.0,0.0,N,0.0,0.0145,2009-03-31,Q1-2009
