Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,2218960000000.0,1659733000000.0,0.75,0.14,5041.0,33.0,Y,0.0,0.1375,2018-12-31,Q4-2018
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1782639000000.0,1690841000000.0,0.95,0.25,4338.0,27.0,Y,0.0,0.1105,2018-12-31,Q4-2018
WELLS FARGO BK NA/WELLS FARGO & CO,3.0,451965,"SIOUX FALLS, SD",NAT,1689351000000.0,1635096000000.0,0.97,0.35,5637.0,14.0,Y,0.0,0.1047,2018-12-31,Q4-2018
CITIBANK NA/CITIGROUP,4.0,476810,"SIOUX FALLS, SD",NAT,1406717000000.0,826848000000.0,0.59,0.44,701.0,172.0,Y,0.0,0.0872,2018-12-31,Q4-2018
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,459477000000.0,449994000000.0,0.98,0.47,3095.0,1.0,N,0.0,0.0285,2018-12-31,Q4-2018
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,370501000000.0,366312000000.0,0.99,0.49,2442.0,2.0,N,0.0,0.023,2018-12-31,Q4-2018
CAPITAL ONE NA/CAPITAL ONE FC,7.0,112837,"MC LEAN, VA",NAT,304658000000.0,304654000000.0,1.0,0.51,536.0,0.0,N,0.0,0.0189,2018-12-31,Q4-2018
T D BK NA/TD GRP US HOLDS LLC,8.0,497404,"WILMINGTON, DE",NAT,302669000000.0,302669000000.0,1.0,0.53,1240.0,0.0,N,1.0,0.0188,2018-12-31,Q4-2018
BANK OF NY MELLON/BANK OF NY MELLON CORP,9.0,541101,"NEW YORK, NY",SMB,286411000000.0,184030000000.0,0.64,0.55,2.0,15.0,Y,0.0,0.0177,2018-12-31,Q4-2018
STATE STREET B&TC/STATE STREET CORP,10.0,35301,"BOSTON, MA",SMB,242038000000.0,153292000000.0,0.63,0.56,2.0,11.0,N,0.0,0.015,2018-12-31,Q4-2018
BRANCH BKG&TC/BB&T CORP,11.0,852320,"WINSTON-SALEM, NC",SNM,219071000000.0,218860000000.0,1.0,0.58,1879.0,1.0,N,0.0,0.0136,2018-12-31,Q4-2018
