Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,2074952000000.0,1501633000000.0,0.72,0.15,5610.0,30.0,Y,0.0,0.1507,2014-12-31,Q4-2014
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1574093000000.0,1492291000000.0,0.95,0.27,4913.0,33.0,Y,0.0,0.1143,2014-12-31,Q4-2014
WELLS FARGO BK NA/WELLS FARGO & CO,3.0,451965,"SIOUX FALLS, SD",NAT,1532784000000.0,1493085000000.0,0.97,0.38,6345.0,9.0,Y,0.0,0.1113,2014-12-31,Q4-2014
CITIBANK NA/CITIGROUP,4.0,476810,"SIOUX FALLS, SD",NAT,1356781000000.0,776165000000.0,0.57,0.47,865.0,276.0,Y,0.0,0.0985,2014-12-31,Q4-2014
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,398978000000.0,398257000000.0,1.0,0.5,3234.0,1.0,N,0.0,0.029,2014-12-31,Q4-2014
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,335060000000.0,331643000000.0,0.99,0.53,2807.0,2.0,N,0.0,0.0243,2014-12-31,Q4-2014
BANK OF NY MELLON/BANK OF NY MELLON CORP,7.0,541101,"NEW YORK, NY",SMB,304166000000.0,200433000000.0,0.66,0.55,3.0,13.0,Y,0.0,0.0221,2014-12-31,Q4-2014
STATE STREET B&TC/STATE STREET CORP,8.0,35301,"BOSTON, MA",SMB,269781000000.0,215920000000.0,0.8,0.57,2.0,11.0,N,0.0,0.0196,2014-12-31,Q4-2014
CAPITAL ONE NA/CAPITAL ONE FC,9.0,112837,"MC LEAN, VA",NAT,255011000000.0,254934000000.0,1.0,0.59,871.0,0.0,N,0.0,0.0185,2014-12-31,Q4-2014
T D BK NA/TD US P & C HOLD ULC,10.0,497404,"WILMINGTON, DE",NAT,230280000000.0,230280000000.0,1.0,0.61,1287.0,1.0,N,1.0,0.0167,2014-12-31,Q4-2014
SUNTRUST BK/SUNTRUST BK,11.0,675332,"ATLANTA, GA",SMB,185889000000.0,185889000000.0,1.0,0.62,1481.0,0.0,Y,0.0,0.0135,2014-12-31,Q4-2014
BRANCH BKG&TC/BB&T CORP,12.0,852320,"WINSTON SALEM, NC",SNM,182489000000.0,182283000000.0,1.0,0.63,1838.0,1.0,N,0.0,0.0133,2014-12-31,Q4-2014
HSBC BK USA NA/HSBC NORTH AMER HOLD,13.0,413208,"MCLEAN, VA",NAT,178677000000.0,174706000000.0,0.98,0.64,231.0,3.0,Y,1.0,0.013,2014-12-31,Q4-2014
FIFTH THIRD BK/FIFTH THIRD BC,14.0,723112,"CINCINNATI, OH",SMB,136279000000.0,135486000000.0,0.99,0.65,1348.0,1.0,N,0.0,0.0099,2014-12-31,Q4-2014
CHASE BK USA NA/JPMORGAN CHASE & CO,15.0,489913,"WILMINGTON, DE",NAT,130663000000.0,130663000000.0,1.0,0.66,0.0,0.0,Y,0.0,0.0095,2014-12-31,Q4-2014
MORGAN STANLEY BK NA/MORGAN STANLEY,16.0,1456501,"SALT LAKE CITY, UT",NAT,125528000000.0,125528000000.0,1.0,0.67,0.0,0.0,N,0.0,0.0091,2014-12-31,Q4-2014
REGIONS BK/REGIONS FC,17.0,233031,"BIRMINGHAM, AL",SMB,118801000000.0,118801000000.0,1.0,0.68,1668.0,0.0,N,0.0,0.0086,2014-12-31,Q4-2014
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,18.0,2182786,"NEW YORK, NY",SMB,118214000000.0,118214000000.0,1.0,0.69,1.0,1.0,N,0.0,0.0086,2014-12-31,Q4-2014
MUFG UNION BK NA/MUFG AMERS HOLDS CORP,19.0,212465,"SAN FRANCISCO, CA",NAT,113120000000.0,112524000000.0,0.99,0.7,411.0,1.0,Y,1.0,0.0082,2014-12-31,Q4-2014
NORTHERN TC/NORTHERN TR CORP,20.0,210434,"CHICAGO, IL",SMB,109597000000.0,83768000000.0,0.76,0.71,68.0,4.0,Y,0.0,0.008,2014-12-31,Q4-2014
ALLY BK/ALLY FNCL,21.0,3284070,"MIDVALE, UT",SNM,104475000000.0,104475000000.0,1.0,0.71,0.0,0.0,N,0.0,0.0076,2014-12-31,Q4-2014
CITIZENS BK NA/CITIZENS FNCL GRP,22.0,3303298,"PROVIDENCE, RI",NAT,102971000000.0,102971000000.0,1.0,0.72,847.0,1.0,N,0.75,0.0075,2014-12-31,Q4-2014
BMO HARRIS BK NA/BMO FNCL CORP,23.0,75633,"CHICAGO, IL",NAT,97497000000.0,97299000000.0,1.0,0.73,628.0,0.0,N,1.0,0.0071,2014-12-31,Q4-2014
MANUFACTURERS & TRADERS TC/M&T BK CORP,24.0,501105,"BUFFALO, NY",SMB,95921000000.0,95921000000.0,1.0,0.74,733.0,2.0,Y,0.0,0.007,2014-12-31,Q4-2014
KEYBANK NA/KEYCORP,25.0,280110,"CLEVELAND, OH",NAT,91783000000.0,91117000000.0,0.99,0.74,1018.0,1.0,N,0.0,0.0067,2014-12-31,Q4-2014
CAPITAL ONE BK USA NA/CAPITAL ONE FC,26.0,2253891,"GLEN ALLEN, VA",NAT,90653000000.0,90065000000.0,0.99,0.75,0.0,1.0,N,0.0,0.0066,2014-12-31,Q4-2014
DISCOVER BK/DISCOVER FS,27.0,30810,"GREENWOOD, DE",SNM,81662000000.0,81662000000.0,1.0,0.76,0.0,0.0,N,0.0,0.0059,2014-12-31,Q4-2014
SANTANDER BK NA/SANTANDER HOLDS USA,28.0,722777,"WILMINGTON, DE",NAT,80473000000.0,80288000000.0,1.0,0.76,703.0,1.0,N,1.0,0.0058,2014-12-31,Q4-2014
COMPASS BK/BBVA COMPASS BSHRS,29.0,697633,"BIRMINGHAM, AL",SMB,79625000000.0,79625000000.0,1.0,0.77,676.0,0.0,N,1.0,0.0058,2014-12-31,Q4-2014
BANK OF THE WEST/BANCWEST CORP,30.0,804963,"SAN FRANCISCO, CA",SNM,71682000000.0,71682000000.0,1.0,0.77,579.0,0.0,Y,0.1,0.0052,2014-12-31,Q4-2014
COMERICA BK/COMERICA,31.0,60143,"DALLAS, TX",SMB,69310000000.0,67913000000.0,0.98,0.78,481.0,1.0,N,0.0,0.005,2014-12-31,Q4-2014
HUNTINGTON NB/HUNTINGTON BSHRS,32.0,12311,"COLUMBUS, OH",NAT,66111000000.0,66111000000.0,1.0,0.78,756.0,0.0,N,0.0,0.0048,2014-12-31,Q4-2014
DEUTSCHE BK TC AMERICAS/DEUTSCHE BK TR CORP,33.0,214807,"NEW YORK, NY",SMB,53547000000.0,53507000000.0,1.0,0.79,1.0,1.0,Y,1.0,0.0039,2014-12-31,Q4-2014
FIRST REPUBLIC BK/,34.0,4114567,"SAN FRANCISCO, CA",SNM,48353000000.0,48353000000.0,1.0,0.79,67.0,0.0,N,0.0,0.0035,2014-12-31,Q4-2014
FIRST NIAGARA BK NA/FIRST NIAGARA FNCL GROUP,35.0,517900,"BUFFALO, NY",NAT,38496000000.0,38496000000.0,1.0,0.79,411.0,0.0,N,0.0,0.0028,2014-12-31,Q4-2014
SILICON VALLEY BK/SVB FNCL GRP,36.0,802866,"SANTA CLARA, CA",SMB,37620000000.0,36894000000.0,0.98,0.79,4.0,1.0,N,0.0,0.0027,2014-12-31,Q4-2014
CITY NB/CITY NAT CORP,37.0,63069,"LOS ANGELES, CA",NAT,32314000000.0,32314000000.0,1.0,0.8,74.0,0.0,N,0.0,0.0023,2014-12-31,Q4-2014
BOKF NA/BOK FC,38.0,339858,"TULSA, OK",NAT,28954000000.0,28954000000.0,1.0,0.8,158.0,0.0,N,0.0,0.0021,2014-12-31,Q4-2014
EAST WEST BK/EAST WEST BC,39.0,197478,"PASADENA, CA",SMB,28678000000.0,27653000000.0,0.96,0.8,123.0,1.0,N,0.0,0.0021,2014-12-31,Q4-2014
FROST BK/CULLEN/FROST BKR,40.0,682563,"SAN ANTONIO, TX",SMB,28327000000.0,28327000000.0,1.0,0.8,140.0,0.0,N,0.0,0.0021,2014-12-31,Q4-2014
MORGAN STANLEY PRIV BK NA/MORGAN STANLEY,41.0,2489805,"PURCHASE, NY",NAT,27356000000.0,27356000000.0,1.0,0.81,0.0,0.0,N,0.0,0.002,2014-12-31,Q4-2014
SIGNATURE BK/,42.0,2942690,"NEW YORK, NY",SNM,27319000000.0,27319000000.0,1.0,0.81,7.0,0.0,N,0.0,0.002,2014-12-31,Q4-2014
SYNOVUS BK/SYNOVUS FC,43.0,395238,"COLUMBUS, GA",SNM,26777000000.0,26777000000.0,1.0,0.81,261.0,0.0,N,0.0,0.0019,2014-12-31,Q4-2014
ASSOCIATED BK NA/ASSOCIATED BANC-CORP,44.0,917742,"GREEN BAY, WI",NAT,26654000000.0,26654000000.0,1.0,0.81,235.0,0.0,N,0.0,0.0019,2014-12-31,Q4-2014
BANK OF AMER CA NA/BANK OF AMER CORP,45.0,1443266,"SAN FRANCISCO, CA",NAT,26261000000.0,26261000000.0,1.0,0.81,0.0,0.0,N,0.0,0.0019,2014-12-31,Q4-2014
FIRST TN BK NA/FIRST HORIZON NAT CORP,46.0,485559,"MEMPHIS, TN",NAT,25462000000.0,25461000000.0,1.0,0.81,184.0,0.0,Y,0.0,0.0018,2014-12-31,Q4-2014
BARCLAYS BK DE/BARCLAYS DE HOLDS LLC,47.0,2980209,"WILMINGTON, DE",SNM,25005000000.0,25005000000.0,1.0,0.82,0.0,0.0,N,1.0,0.0018,2014-12-31,Q4-2014
FIRSTMERIT BK NA/FIRSTMERIT CORP,48.0,67311,"AKRON, OH",NAT,24885000000.0,24885000000.0,1.0,0.82,382.0,0.0,N,0.0,0.0018,2014-12-31,Q4-2014
COMMERCE BK/COMMERCE BSHRS,49.0,601050,"KANSAS CITY, MO",SMB,23881000000.0,23881000000.0,1.0,0.82,193.0,0.0,N,0.0,0.0017,2014-12-31,Q4-2014
UMPQUA BK/UMPQUA HC,50.0,143662,"ROSEBURG, OR",SNM,22613000000.0,22613000000.0,1.0,0.82,337.0,0.0,N,0.0,0.0016,2014-12-31,Q4-2014
WEBSTER BK NA/WEBSTER FNCL CORP,51.0,761806,"WATERBURY, CT",NAT,22513000000.0,22513000000.0,1.0,0.82,164.0,0.0,Y,0.0,0.0016,2014-12-31,Q4-2014
ONEWEST BK NA/IMB HOLDCO LLC,52.0,3918898,"PASADENA, CA",NAT,21805000000.0,21805000000.0,1.0,0.83,70.0,0.0,N,0.0,0.0016,2014-12-31,Q4-2014
FIRST-CITIZENS B&TC/FIRST CITIZENS BSHRS,53.0,491224,"RALEIGH, NC",SNM,21554000000.0,21554000000.0,1.0,0.83,394.0,0.0,N,0.0,0.0016,2014-12-31,Q4-2014
PROSPERITY BK/PROSPERITY BSHRS,54.0,664756,"EL CAMPO, TX",SNM,21504000000.0,21504000000.0,1.0,0.83,269.0,0.0,N,0.0,0.0016,2014-12-31,Q4-2014
CIT BK/CIT GROUP,55.0,2950677,"SALT LAKE CITY, UT",SNM,21116000000.0,21116000000.0,1.0,0.83,0.0,0.0,N,0.0,0.0015,2014-12-31,Q4-2014
BNY MELLON NA/BANK OF NY MELLON CORP,56.0,934329,"PITTSBURGH, PA",NAT,20939000000.0,20939000000.0,1.0,0.83,8.0,0.0,N,0.0,0.0015,2014-12-31,Q4-2014
WHITNEY BK/HANCOCK HC,57.0,463735,"GULFPORT, MS",SNM,20633000000.0,20633000000.0,1.0,0.83,200.0,1.0,N,0.0,0.0015,2014-12-31,Q4-2014
TCF NB/TCF FC,58.0,266271,"SIOUX FALLS, SD",NAT,19425000000.0,19425000000.0,1.0,0.83,380.0,0.0,N,0.0,0.0014,2014-12-31,Q4-2014
ZIONS FIRST NB/ZIONS BC,59.0,276579,"SALT LAKE CITY, UT",NAT,19079000000.0,19079000000.0,1.0,0.84,132.0,0.0,N,0.0,0.0014,2014-12-31,Q4-2014
BANKUNITED NA/BANKUNITED,60.0,3938186,"MIAMI LAKES, FL",NAT,19062000000.0,19062000000.0,1.0,0.84,106.0,0.0,N,0.0,0.0014,2014-12-31,Q4-2014
VALLEY NB/VALLEY NAT BC,61.0,229801,"PASSAIC, NJ",NAT,18782000000.0,18782000000.0,1.0,0.84,225.0,0.0,N,0.0,0.0014,2014-12-31,Q4-2014
SUSQUEHANNA BK/SUSQUEHANNA BSHRS,62.0,682611,"LITITZ, PA",SMB,18513000000.0,18513000000.0,1.0,0.84,275.0,0.0,N,0.0,0.0013,2014-12-31,Q4-2014
FIRST HAWAIIAN BK/BANCWEST CORP,63.0,980661,"HONOLULU, HI",SNM,18118000000.0,17411000000.0,0.96,0.84,61.0,0.0,Y,0.1,0.0013,2014-12-31,Q4-2014
FIRST NB OF OMAHA/LAURITZEN CORP,64.0,527954,"OMAHA, NE",NAT,17378000000.0,17378000000.0,1.0,0.84,125.0,0.0,N,0.0,0.0013,2014-12-31,Q4-2014
UMB BK NA/UMB FC,65.0,936855,"KANSAS CITY, MO",NAT,17213000000.0,17213000000.0,1.0,0.84,104.0,0.0,N,0.0,0.0013,2014-12-31,Q4-2014
T D BK USA NA/TD US P & C HOLD ULC,66.0,2121196,"WILMINGTON, DE",NAT,17062000000.0,17062000000.0,1.0,0.84,1.0,0.0,N,1.0,0.0012,2014-12-31,Q4-2014
PACIFIC WESTERN BK/PACWEST BC,67.0,494261,"LOS ANGELES, CA",SNM,15998000000.0,15998000000.0,1.0,0.85,81.0,0.0,N,0.0,0.0012,2014-12-31,Q4-2014
FIRST NB OF PA/FNB CORP,68.0,379920,"GREENVILLE, PA",NAT,15961000000.0,15961000000.0,1.0,0.85,289.0,0.0,N,0.0,0.0012,2014-12-31,Q4-2014
TEXAS CAP BK NA/TEXAS CAP BSHRS,69.0,2618780,"DALLAS, TX",NAT,15893000000.0,15893000000.0,1.0,0.85,11.0,0.0,N,0.0,0.0012,2014-12-31,Q4-2014
IBERIABANK/IBERIABANK CORP,70.0,808176,"LAFAYETTE, LA",SMB,15675000000.0,15675000000.0,1.0,0.85,189.0,0.0,N,0.0,0.0011,2014-12-31,Q4-2014
PRIVATEBANK & TC/PRIVATEBANCORP,71.0,1842065,"CHICAGO, IL",SNM,15574000000.0,15574000000.0,1.0,0.85,26.0,0.0,N,0.0,0.0011,2014-12-31,Q4-2014
RABOBANK NA/RABOBANK INTL HOLD BV,72.0,877369,"ROSEVILLE, CA",NAT,15154000000.0,15154000000.0,1.0,0.85,119.0,0.0,N,0.99,0.0011,2014-12-31,Q4-2014
ARVEST BK/ARVEST BK GRP,73.0,311845,"FAYETTEVILLE, AR",SMB,14947000000.0,14947000000.0,1.0,0.85,274.0,0.0,N,0.0,0.0011,2014-12-31,Q4-2014
BANK OF HAWAII/BANK OF HI CORP,74.0,795968,"HONOLULU, HI",SMB,14832000000.0,14363000000.0,0.97,0.85,75.0,1.0,Y,0.0,0.0011,2014-12-31,Q4-2014
MB FNCL BK NA/MB FNCL,75.0,656733,"CHICAGO, IL",NAT,14571000000.0,14571000000.0,1.0,0.85,101.0,0.0,N,0.0,0.0011,2014-12-31,Q4-2014
FIRSTBANK/FIRSTBANK HC,76.0,288853,"LAKEWOOD, CO",SMB,14495000000.0,14495000000.0,1.0,0.86,121.0,0.0,N,0.0,0.0011,2014-12-31,Q4-2014
WASHINGTON FED NA/WASHINGTON FED INC,77.0,656377,"SEATTLE, WA",NAT,14494000000.0,14494000000.0,1.0,0.86,247.0,0.0,N,0.0,0.0011,2014-12-31,Q4-2014
AMEGY BK NA/ZIONS BC,78.0,676656,"HOUSTON, TX",NAT,13888000000.0,13888000000.0,1.0,0.86,83.0,0.0,N,0.0,0.001,2014-12-31,Q4-2014
RAYMOND JAMES BK NA/RAYMOND JAMES FNCL,79.0,2193616,"SAINT PETERSBURG, FL",NAT,13563000000.0,13502000000.0,1.0,0.86,0.0,0.0,N,0.0,0.001,2014-12-31,Q4-2014
BANCORPSOUTH BK/BANCORPSOUTH,80.0,606046,"TUPELO, MS",SNM,13315000000.0,13315000000.0,1.0,0.86,253.0,0.0,N,0.0,0.001,2014-12-31,Q4-2014
TRUSTMARK NB/TRUSTMARK CORP,81.0,342634,"JACKSON, MS",NAT,12249000000.0,12249000000.0,1.0,0.86,209.0,0.0,N,0.0,0.0009,2014-12-31,Q4-2014
OLD NB/OLD NAT BC,82.0,208244,"EVANSVILLE, IN",NAT,11502000000.0,11502000000.0,1.0,0.86,200.0,0.0,N,0.0,0.0008,2014-12-31,Q4-2014
CATHAY BK/CATHAY GEN BC,83.0,595869,"LOS ANGELES, CA",SNM,11489000000.0,11079000000.0,0.96,0.86,52.0,1.0,N,0.0,0.0008,2014-12-31,Q4-2014
CALIFORNIA B&TC/ZIONS BC,84.0,837260,"SAN DIEGO, CA",SNM,11340000000.0,11340000000.0,1.0,0.86,94.0,0.0,N,0.0,0.0008,2014-12-31,Q4-2014
WESTERN ALLI BK/WESTERN ALLI BC,85.0,3138146,"PHOENIX, AZ",SNM,10476000000.0,10476000000.0,1.0,0.86,40.0,0.0,N,0.0,0.0008,2014-12-31,Q4-2014
INTERNATIONAL BK OF CMRC/INTERNATIONAL BSHRS CORP,86.0,1001152,"LAREDO, TX",SNM,9892000000.0,9892000000.0,1.0,0.86,180.0,0.0,N,0.0,0.0007,2014-12-31,Q4-2014
ISRAEL DISCOUNT BK OF NY/DISCOUNT BC,87.0,320119,"NEW YORK, NY",SNM,9783000000.0,8413000000.0,0.86,0.87,6.0,0.0,Y,0.0,0.0007,2014-12-31,Q4-2014
GREAT WESTERN BK/NATIONAL AMER HOLD LLC,88.0,131650,"SIOUX FALLS, SD",SNM,9637000000.0,9637000000.0,1.0,0.87,166.0,0.0,N,0.68,0.0007,2014-12-31,Q4-2014
NATIONAL PENN BK/NATIONAL PENN BSHRS,89.0,802110,"ALLENTOWN, PA",NAT,9525000000.0,9525000000.0,1.0,0.87,132.0,0.0,N,0.0,0.0007,2014-12-31,Q4-2014
