Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
BANK OF AMER NA/BANK OF AMER CORP,1.0,480228,"CHARLOTTE, NC",NAT,1290376000000.0,1157705000000.0,0.9,0.13,5833.0,123.0,Y,0.0,0.131,2007-09-30,Q3-2007
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,2.0,852218,"COLUMBUS, OH",NAT,1244049000000.0,712371000000.0,0.57,0.26,2883.0,46.0,Y,0.0,0.1263,2007-09-30,Q3-2007
CITIBANK NA/CITIGROUP,3.0,476810,"LAS VEGAS, NV",NAT,1233325000000.0,611858000000.0,0.5,0.38,1034.0,346.0,Y,0.0,0.1252,2007-09-30,Q3-2007
WACHOVIA BK NA/WACHOVIA CORP,4.0,484422,"CHARLOTTE, NC",NAT,557018000000.0,518191000000.0,0.93,0.44,3190.0,12.0,Y,0.0,0.0566,2007-09-30,Q3-2007
WELLS FARGO BK NA/WELLS FARGO & CO,5.0,451965,"SIOUX FALLS, SD",NAT,445446000000.0,445292000000.0,1.0,0.48,4159.0,3.0,Y,0.0,0.0452,2007-09-30,Q3-2007
U S BK NA/U S BC,6.0,504713,"CINCINNATI, OH",NAT,225976000000.0,224187000000.0,0.99,0.51,2840.0,1.0,N,0.0,0.0229,2007-09-30,Q3-2007
HSBC BK USA NA/HSBC NORTH AMER HOLD,7.0,413208,"WILMINGTON, DE",NAT,181811000000.0,166028000000.0,0.91,0.53,452.0,5.0,Y,1.0,0.0185,2007-09-30,Q3-2007
SUNTRUST BK/SUNTRUST BK,8.0,675332,"ATLANTA, GA",SMB,171511000000.0,171511000000.0,1.0,0.54,1934.0,0.0,Y,0.0,0.0174,2007-09-30,Q3-2007
FIA CARD SVC NA/BANK OF AMER CORP,9.0,1830035,"WILMINGTON, DE",NAT,148623000000.0,136955000000.0,0.92,0.56,0.0,1.0,N,0.0,0.0151,2007-09-30,Q3-2007
NATIONAL CITY BK/NATIONAL CITY CORP,10.0,259518,"CLEVELAND, OH",NAT,141885000000.0,141290000000.0,1.0,0.57,1482.0,1.0,N,0.0,0.0144,2007-09-30,Q3-2007
REGIONS BK/REGIONS FC,11.0,233031,"BIRMINGHAM, AL",SMB,133921000000.0,127120000000.0,0.95,0.59,2152.0,0.0,N,0.0,0.0136,2007-09-30,Q3-2007
RBS CITIZENS NA/CITIZENS FNCL GROUP,12.0,3303298,"PROVIDENCE, RI",NAT,132409000000.0,132409000000.0,1.0,0.6,1233.0,1.0,N,1.0,0.0134,2007-09-30,Q3-2007
STATE STREET B&TC/STATE STREET CORP,13.0,35301,"BOSTON, MA",SMB,131321000000.0,105059000000.0,0.8,0.61,3.0,10.0,N,0.0,0.0133,2007-09-30,Q3-2007
BRANCH BKG&TC/BB&T CORP,14.0,852320,"WINSTON-SALEM, NC",SNM,126290000000.0,126052000000.0,1.0,0.63,1431.0,0.0,N,0.0,0.0128,2007-09-30,Q3-2007
PNC BK NA/PNC FNCL SVC GROUP,15.0,817824,"PITTSBURGH, PA",NAT,119504000000.0,117946000000.0,0.99,0.64,1247.0,0.0,N,0.0,0.0121,2007-09-30,Q3-2007
BANK OF NY/BANK OF NY MELLON CORP,16.0,541101,"NEW YORK, NY",SMB,112524000000.0,60102000000.0,0.53,0.65,9.0,9.0,Y,0.0,0.0114,2007-09-30,Q3-2007
CAPITAL ONE NA/CAPITAL ONE FC,17.0,112837,"MCLEAN, VA",NAT,95734000000.0,95734000000.0,1.0,0.66,711.0,0.0,N,0.0,0.0097,2007-09-30,Q3-2007
KEYBANK NA/KEYCORP,18.0,280110,"CLEVELAND, OH",NAT,93178000000.0,90856000000.0,0.98,0.67,1165.0,1.0,N,0.0,0.0095,2007-09-30,Q3-2007
CHASE BK USA NA/JPMORGAN CHASE & CO,19.0,489913,"NEWARK, DE",NAT,75997000000.0,75997000000.0,1.0,0.68,2.0,0.0,Y,0.0,0.0077,2007-09-30,Q3-2007
CITIBANK SD NA/CITIGROUP,20.0,486752,"SIOUX FALLS, SD",NAT,74214000000.0,74214000000.0,1.0,0.68,0.0,0.0,N,0.0,0.0075,2007-09-30,Q3-2007
LASALLE BK NA/ABN AMRO N AMER HC,21.0,455534,"CHICAGO, IL",NAT,73157000000.0,73157000000.0,1.0,0.69,138.0,1.0,N,1.0,0.0074,2007-09-30,Q3-2007
COMERICA BK/COMERICA,22.0,60143,"DETROIT, MI",SMB,60071000000.0,58689000000.0,0.98,0.7,382.0,1.0,N,0.0,0.0061,2007-09-30,Q3-2007
BANK OF THE WEST/BANCWEST CORP,23.0,804963,"SAN FRANCISCO, CA",SNM,59426000000.0,59426000000.0,1.0,0.7,683.0,0.0,Y,0.99,0.006,2007-09-30,Q3-2007
MANUFACTURERS & TRADERS TC/M&T BK CORP,24.0,501105,"BUFFALO, NY",SMB,59177000000.0,59177000000.0,1.0,0.71,681.0,1.0,Y,0.22,0.006,2007-09-30,Q3-2007
FIFTH THIRD BK/FIFTH THIRD BC,25.0,723112,"CINCINNATI, OH",SMB,57199000000.0,57199000000.0,1.0,0.72,412.0,1.0,N,0.0,0.0058,2007-09-30,Q3-2007
HUNTINGTON NB/HUNTINGTON BSHRS,26.0,12311,"COLUMBUS, OH",NAT,54724000000.0,54724000000.0,1.0,0.72,791.0,0.0,N,0.0,0.0056,2007-09-30,Q3-2007
NORTHERN TC/NORTHERN TR CORP,27.0,210434,"CHICAGO, IL",SMB,54113000000.0,33599000000.0,0.62,0.73,18.0,3.0,Y,0.0,0.0055,2007-09-30,Q3-2007
UNION BK OF CA NA/UNIONBANCAL CORP,28.0,212465,"SAN FRANCISCO, CA",NAT,53685000000.0,52411000000.0,0.98,0.73,331.0,6.0,Y,0.65,0.0055,2007-09-30,Q3-2007
M&I MARSHALL & ILSLEY BK/MARSHALL & ILSLEY CORP,29.0,983448,"MILWAUKEE, WI",SMB,52736000000.0,52736000000.0,1.0,0.74,327.0,0.0,N,0.0,0.0054,2007-09-30,Q3-2007
FIFTH THIRD BK/FIFTH THIRD BC,30.0,913940,"GRAND RAPIDS, MI",SMB,48505000000.0,48505000000.0,1.0,0.74,744.0,0.0,N,0.0,0.0049,2007-09-30,Q3-2007
COMMERCE BK NA/COMMERCE BC,31.0,363415,"PHILADELPHIA, PA",NAT,45424000000.0,45424000000.0,1.0,0.75,352.0,0.0,N,0.0,0.0046,2007-09-30,Q3-2007
TD BANKNORTH NA/TD US P & C HOLD ULC,32.0,497404,"PORTLAND, ME",NAT,44446000000.0,44446000000.0,1.0,0.75,680.0,1.0,N,1.0,0.0045,2007-09-30,Q3-2007
HARRIS NA/HARRIS FC,33.0,75633,"CHICAGO, IL",NAT,42953000000.0,42929000000.0,1.0,0.76,224.0,0.0,N,1.0,0.0044,2007-09-30,Q3-2007
COMPASS BK/COMPASS BSHRS,34.0,697633,"BIRMINGHAM, AL",SMB,42110000000.0,42110000000.0,1.0,0.76,453.0,0.0,N,1.0,0.0043,2007-09-30,Q3-2007
FIRST TENNESSEE BK NA MMPHS/FIRST HORIZON NAT CORP,35.0,485559,"MEMPHIS, TN",NAT,37158000000.0,37158000000.0,1.0,0.76,254.0,0.0,N,0.0,0.0038,2007-09-30,Q3-2007
DEUTSCHE BK TC AMERICAS/TAUNUS CORP,36.0,214807,"NEW YORK, NY",SMB,36215000000.0,29709000000.0,0.82,0.77,3.0,4.0,Y,1.0,0.0037,2007-09-30,Q3-2007
LASALLE BK MIDWEST NA/ABN AMRO N AMER HC,37.0,445843,"TROY, MI",NAT,35793000000.0,35034000000.0,0.98,0.77,267.0,0.0,N,1.0,0.0036,2007-09-30,Q3-2007
BANK OF AMERICA RI NA/BANK OF AMER CORP,38.0,3344611,"PROVIDENCE, RI",NAT,35304000000.0,35304000000.0,1.0,0.77,0.0,0.0,N,0.0,0.0036,2007-09-30,Q3-2007
MELLON BK NA/BANK OF NY MELLON CORP,39.0,934329,"PITTSBURGH, PA",NAT,32183000000.0,24265000000.0,0.75,0.78,22.0,1.0,N,0.0,0.0033,2007-09-30,Q3-2007
CAPITAL ONE BK/CAPITAL ONE FC,40.0,2253891,"GLEN ALLEN, VA",SMB,31213000000.0,28518000000.0,0.91,0.78,0.0,2.0,N,0.0,0.0032,2007-09-30,Q3-2007
DISCOVER BK/MORGAN STANLEY,41.0,30810,"GREENWOOD, DE",SNM,30673000000.0,30475000000.0,0.99,0.78,0.0,0.0,N,0.0,0.0031,2007-09-30,Q3-2007
WF NB SOUTH CENTRAL/WELLS FARGO & CO,42.0,2362458,"FARIBAULT, MN",NAT,26045000000.0,26045000000.0,1.0,0.79,0.0,0.0,N,0.0,0.0026,2007-09-30,Q3-2007
RBC CENTURA BK/ROYAL BK HOLD,43.0,1494240,"RALEIGH, NC",SMB,25508000000.0,25508000000.0,1.0,0.79,347.0,1.0,N,0.99,0.0026,2007-09-30,Q3-2007
COLONIAL BK NA/COLONIAL BANCGROUP,44.0,570231,"MONTGOMERY, AL",NAT,24496000000.0,24496000000.0,1.0,0.79,340.0,1.0,Y,0.0,0.0025,2007-09-30,Q3-2007
BANK OF AMER CA NA/BANK OF AMER CORP,45.0,1443266,"SAN FRANCISCO, CA",NAT,20827000000.0,20827000000.0,1.0,0.79,0.0,0.0,N,0.0,0.0021,2007-09-30,Q3-2007
ASSOCIATED BK NA/ASSOCIATED BANC-CORP,46.0,917742,"GREEN BAY, WI",NAT,20699000000.0,20699000000.0,1.0,0.8,340.0,0.0,N,0.0,0.0021,2007-09-30,Q3-2007
T D BK USA NA/TD US P & C HOLD ULC,47.0,2121196,"NEW YORK, NY",NAT,18009000000.0,18009000000.0,1.0,0.8,1.0,0.0,N,1.0,0.0018,2007-09-30,Q3-2007
WEBSTER BK NA/WEBSTER FNCL CORP,48.0,761806,"WATERBURY, CT",NAT,16652000000.0,16652000000.0,1.0,0.8,182.0,1.0,N,0.0,0.0017,2007-09-30,Q3-2007
ZIONS FIRST NB/ZIONS BC,49.0,276579,"SALT LAKE CITY, UT",NAT,15921000000.0,15920000000.0,1.0,0.8,153.0,0.0,N,0.0,0.0016,2007-09-30,Q3-2007
BANK OF AMER OR NA/BANK OF AMER CORP,50.0,2867056,"PORTLAND, OR",NAT,15611000000.0,15611000000.0,1.0,0.8,0.0,0.0,N,0.0,0.0016,2007-09-30,Q3-2007
TCF NB/TCF FC,51.0,266271,"WAYZATA, MN",NAT,15583000000.0,15583000000.0,1.0,0.8,500.0,0.0,N,0.0,0.0016,2007-09-30,Q3-2007
CITY NB/CITY NAT CORP,52.0,63069,"BEVERLY HILLS, CA",NAT,15066000000.0,15066000000.0,1.0,0.81,65.0,0.0,N,0.0,0.0015,2007-09-30,Q3-2007
WELLS FARGO BK NW NA/WELLS FARGO & CO,53.0,688079,"OGDEN, UT",NAT,14936000000.0,14936000000.0,1.0,0.81,0.0,0.0,N,0.0,0.0015,2007-09-30,Q3-2007
COMMERCE BK NA/COMMERCE BSHRS,54.0,601050,"KANSAS CITY, MO",NAT,14653000000.0,14653000000.0,1.0,0.81,183.0,0.0,N,0.0,0.0015,2007-09-30,Q3-2007
CAROLINA FIRST BK/SOUTH FNCL GROUP,55.0,310727,"GREENVILLE, SC",SNM,14068000000.0,14068000000.0,1.0,0.81,162.0,0.0,N,0.0,0.0014,2007-09-30,Q3-2007
BANK OF OK NA/BOK FC,56.0,339858,"TULSA, OK",NAT,14047000000.0,14047000000.0,1.0,0.81,72.0,0.0,N,0.0,0.0014,2007-09-30,Q3-2007
BANCO POPULAR N AMER/POPULAR,57.0,2736291,"NEW YORK, NY",SMB,13812000000.0,13812000000.0,1.0,0.81,144.0,0.0,Y,1.0,0.0014,2007-09-30,Q3-2007
FIRST-CITIZENS B&TC/FIRST CITIZENS BSHRS,58.0,491224,"RALEIGH, NC",SNM,13629000000.0,13629000000.0,1.0,0.81,335.0,0.0,N,0.0,0.0014,2007-09-30,Q3-2007
CHARLES SCHWAB BK NA/CHARLES SCHWAB CORP,59.0,3150447,"RENO, NV",NAT,13327000000.0,13327000000.0,1.0,0.82,0.0,0.0,N,0.0,0.0014,2007-09-30,Q3-2007
FROST NB/CULLEN/FROST BKR,60.0,682563,"SAN ANTONIO, TX",NAT,13289000000.0,13289000000.0,1.0,0.82,123.0,0.0,N,0.0,0.0013,2007-09-30,Q3-2007
BANCORPSOUTH BK/BANCORPSOUTH,61.0,606046,"TUPELO, MS",SNM,13133000000.0,13133000000.0,1.0,0.82,274.0,0.0,N,0.0,0.0013,2007-09-30,Q3-2007
UNITED STATES TC NA/BANK OF AMER CORP,62.0,2333412,"NEW YORK, NY",NAT,13012000000.0,13012000000.0,1.0,0.82,23.0,0.0,Y,0.0,0.0013,2007-09-30,Q3-2007
FIRST HAWAIIAN BK/BANCWEST CORP,63.0,980661,"HONOLULU, HI",SNM,12479000000.0,11790000000.0,0.94,0.82,61.0,0.0,Y,0.99,0.0013,2007-09-30,Q3-2007
VALLEY NB/VALLEY NBC,64.0,229801,"PASSAIC, NJ",NAT,12411000000.0,12411000000.0,1.0,0.82,170.0,0.0,N,0.0,0.0013,2007-09-30,Q3-2007
CITIZENS BK/CITIZENS REPUBLIC BC,65.0,222147,"FLINT, MI",SMB,12234000000.0,12234000000.0,1.0,0.82,248.0,0.0,N,0.0,0.0012,2007-09-30,Q3-2007
EAST WEST BK/EAST WEST BC,66.0,197478,"PASADENA, CA",SMB,11628000000.0,11572000000.0,1.0,0.82,69.0,1.0,N,0.0,0.0012,2007-09-30,Q3-2007
STERLING SVG BK/STERLING FC,67.0,741871,"SPOKANE, WA",SNM,11391000000.0,11391000000.0,1.0,0.83,180.0,0.0,N,0.0,0.0012,2007-09-30,Q3-2007
UNITED CMRL BK/UCBH HOLD,68.0,43173,"SAN FRANCISCO, CA",SNM,11058000000.0,10372000000.0,0.94,0.83,62.0,1.0,N,0.0,0.0011,2007-09-30,Q3-2007
AMEGY BK NA/ZIONS BC,69.0,676656,"HOUSTON, TX",NAT,10935000000.0,10935000000.0,1.0,0.83,98.0,0.0,N,0.0,0.0011,2007-09-30,Q3-2007
WHITNEY NB/WHITNEY HC,70.0,873138,"NEW ORLEANS, LA",NAT,10585000000.0,10585000000.0,1.0,0.83,169.0,1.0,N,0.0,0.0011,2007-09-30,Q3-2007
BANK OF HAWAII/BANK OF HAWAII CORP,71.0,795968,"HONOLULU, HI",SMB,10526000000.0,9860000000.0,0.94,0.83,79.0,1.0,Y,0.0,0.0011,2007-09-30,Q3-2007
FIRSTMERIT BK NA/FIRSTMERIT CORP,72.0,67311,"AKRON, OH",NAT,10398000000.0,10398000000.0,1.0,0.83,150.0,0.0,N,0.0,0.0011,2007-09-30,Q3-2007
CALIFORNIA B&TC/ZIONS BC,73.0,837260,"SAN DIEGO, CA",SNM,10223000000.0,10223000000.0,1.0,0.83,90.0,0.0,Y,0.0,0.001,2007-09-30,Q3-2007
FIRST BK/FIRST BKS,74.0,169653,"SAINT LOUIS, MO",SMB,10220000000.0,10220000000.0,1.0,0.83,192.0,0.0,N,0.0,0.001,2007-09-30,Q3-2007
NORTHERN TR NA/NORTHERN TR CORP,75.0,665931,"MIAMI, FL",NAT,10103000000.0,10103000000.0,1.0,0.83,61.0,0.0,Y,0.0,0.001,2007-09-30,Q3-2007
WILMINGTON TC/WILMINGTON TR CORP,76.0,272218,"WILMINGTON, DE",SNM,9896000000.0,9896000000.0,1.0,0.84,62.0,0.0,N,0.0,0.001,2007-09-30,Q3-2007
CATHAY BK/CATHAY GEN BC,77.0,595869,"LOS ANGELES, CA",SNM,9618000000.0,9609000000.0,1.0,0.84,47.0,1.0,N,0.0,0.001,2007-09-30,Q3-2007
