Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,2153028000000.0,1648655000000.0,0.77,0.14,5183.0,33.0,Y,0.0,0.1396,2017-09-30,Q3-2017
WELLS FARGO BK NA/WELLS FARGO & CO,2.0,451965,"SIOUX FALLS, SD",NAT,1737980000000.0,1679491000000.0,0.97,0.25,6023.0,14.0,Y,0.0,0.1127,2017-09-30,Q3-2017
BANK OF AMER NA/BANK OF AMER CORP,3.0,480228,"CHARLOTTE, NC",NAT,1725215000000.0,1628609000000.0,0.94,0.36,4561.0,28.0,Y,0.0,0.1118,2017-09-30,Q3-2017
CITIBANK NA/CITIGROUP,4.0,476810,"SIOUX FALLS, SD",NAT,1407297000000.0,850357000000.0,0.6,0.46,707.0,177.0,Y,0.0,0.0912,2017-09-30,Q3-2017
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,452252000000.0,443644000000.0,0.98,0.48,3157.0,1.0,N,0.0,0.0293,2017-09-30,Q3-2017
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,363681000000.0,359610000000.0,0.99,0.51,2549.0,2.0,N,0.0,0.0236,2017-09-30,Q3-2017
CAPITAL ONE NA/CAPITAL ONE FC,7.0,112837,"MC LEAN, VA",NAT,290965000000.0,290895000000.0,1.0,0.53,659.0,0.0,N,0.0,0.0189,2017-09-30,Q3-2017
T D BK NA/TD GRP US HOLDS LLC,8.0,497404,"WILMINGTON, DE",NAT,285495000000.0,285495000000.0,1.0,0.55,1262.0,0.0,N,1.0,0.0185,2017-09-30,Q3-2017
BANK OF NY MELLON/BANK OF NY MELLON CORP,9.0,541101,"NEW YORK, NY",SMB,281342000000.0,177397000000.0,0.63,0.56,2.0,14.0,Y,0.0,0.0182,2017-09-30,Q3-2017
STATE STREET B&TC/STATE STREET CORP,10.0,35301,"BOSTON, MA",SMB,232359000000.0,150731000000.0,0.65,0.58,2.0,11.0,N,0.0,0.0151,2017-09-30,Q3-2017
BRANCH BKG&TC/BB&T CORP,11.0,852320,"WINSTON SALEM, NC",SNM,214780000000.0,214568000000.0,1.0,0.59,2128.0,1.0,N,0.0,0.0139,2017-09-30,Q3-2017
SUNTRUST BK/SUNTRUST BK,12.0,675332,"ATLANTA, GA",SMB,203381000000.0,203381000000.0,1.0,0.61,1295.0,0.0,Y,0.0,0.0132,2017-09-30,Q3-2017
HSBC BK USA NA/HSBC N AMER HOLDS,13.0,413208,"MC LEAN, VA",NAT,195907000000.0,192803000000.0,0.98,0.62,227.0,3.0,Y,1.0,0.0127,2017-09-30,Q3-2017
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,14.0,2182786,"NEW YORK, NY",SMB,157953000000.0,157953000000.0,1.0,0.63,1.0,1.0,N,0.0,0.0102,2017-09-30,Q3-2017
FIFTH THIRD BK/FIFTH THIRD BC,15.0,723112,"CINCINNATI, OH",SMB,139988000000.0,139786000000.0,1.0,0.64,1175.0,1.0,N,0.0,0.0091,2017-09-30,Q3-2017
CHASE BK USA NA/JPMORGAN CHASE & CO,16.0,489913,"WILMINGTON, DE",NAT,135149000000.0,135149000000.0,1.0,0.65,0.0,0.0,N,0.0,0.0088,2017-09-30,Q3-2017
