Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,2082803000000.0,1599448000000.0,0.77,0.14,5269.0,33.0,Y,0.0,0.139,2016-12-31,Q4-2016
WELLS FARGO BK NA/WELLS FARGO & CO,2.0,451965,"SIOUX FALLS, SD",NAT,1727235000000.0,1669852000000.0,0.97,0.25,6152.0,14.0,Y,0.0,0.1153,2016-12-31,Q4-2016
BANK OF AMER NA/BANK OF AMER CORP,3.0,480228,"CHARLOTTE, NC",NAT,1677490000000.0,1585679000000.0,0.95,0.37,4626.0,28.0,Y,0.0,0.1119,2016-12-31,Q4-2016
CITIBANK NA/CITIGROUP,4.0,476810,"SIOUX FALLS, SD",NAT,1349581000000.0,826168000000.0,0.61,0.46,736.0,244.0,Y,0.0,0.0901,2016-12-31,Q4-2016
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,441010000000.0,434032000000.0,0.98,0.49,3194.0,1.0,N,0.0,0.0294,2016-12-31,Q4-2016
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,356000000000.0,352218000000.0,0.99,0.51,2596.0,2.0,N,0.0,0.0238,2016-12-31,Q4-2016
CAPITAL ONE NA/CAPITAL ONE FC,7.0,112837,"MC LEAN, VA",NAT,286080000000.0,286016000000.0,1.0,0.53,698.0,0.0,N,0.0,0.0191,2016-12-31,Q4-2016
T D BK NA/TD GRP US HOLDS LLC,8.0,497404,"WILMINGTON, DE",NAT,269031000000.0,269031000000.0,1.0,0.55,1275.0,1.0,N,1.0,0.018,2016-12-31,Q4-2016
BANK OF NY MELLON/BANK OF NY MELLON CORP,9.0,541101,"NEW YORK, NY",SMB,257576000000.0,158646000000.0,0.62,0.56,2.0,14.0,Y,0.0,0.0172,2016-12-31,Q4-2016
STATE STREET B&TC/STATE STREET CORP,10.0,35301,"BOSTON, MA",SMB,239203000000.0,161487000000.0,0.68,0.58,2.0,11.0,N,0.0,0.016,2016-12-31,Q4-2016
