Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1663998000000.0,1115461000000.0,0.67,0.15,3558.0,45.0,Y,0.0,0.1512,2009-06-30,Q2-2009
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1450830000000.0,1374817000000.0,0.95,0.28,6163.0,34.0,Y,0.0,0.1318,2009-06-30,Q2-2009
CITIBANK NA/CITIGROUP,3.0,476810,"LAS VEGAS, NV",NAT,1165400000000.0,607564000000.0,0.52,0.39,1028.0,360.0,Y,0.0,0.1059,2009-06-30,Q2-2009
WACHOVIA BK NA/WELLS FARGO & CO,4.0,484422,"CHARLOTTE, NC",NAT,560556000000.0,536524000000.0,0.96,0.44,3329.0,8.0,Y,0.0,0.0509,2009-06-30,Q2-2009
WELLS FARGO BK NA/WELLS FARGO & CO,5.0,451965,"SIOUX FALLS, SD",NAT,539621000000.0,539524000000.0,1.0,0.49,3370.0,3.0,Y,0.0,0.049,2009-06-30,Q2-2009
U S BK NA/U S BC,6.0,504713,"CINCINNATI, OH",NAT,260445000000.0,259420000000.0,1.0,0.51,2896.0,1.0,N,0.0,0.0237,2009-06-30,Q2-2009
SUNTRUST BK/SUNTRUST BK,7.0,675332,"ATLANTA, GA",SMB,170140000000.0,170140000000.0,1.0,0.53,1748.0,0.0,Y,0.0,0.0155,2009-06-30,Q2-2009
BANK OF NY MELLON/BANK OF NY MELLON CORP,8.0,541101,"NEW YORK, NY",SMB,162003000000.0,91241000000.0,0.56,0.54,4.0,10.0,Y,0.0,0.0147,2009-06-30,Q2-2009
HSBC BK USA NA/HSBC NORTH AMER HOLD,9.0,413208,"MCLEAN, VA",NAT,158959000000.0,148336000000.0,0.93,0.56,471.0,5.0,Y,1.0,0.0144,2009-06-30,Q2-2009
STATE STREET B&TC/STATE STREET CORP,10.0,35301,"BOSTON, MA",SMB,150465000000.0,104497000000.0,0.69,0.57,2.0,10.0,N,0.0,0.0137,2009-06-30,Q2-2009
BRANCH BKG&TC/BB&T CORP,11.0,852320,"WINSTON-SALEM, NC",SNM,147644000000.0,147395000000.0,1.0,0.58,1504.0,0.0,N,0.0,0.0134,2009-06-30,Q2-2009
FIA CARD SVC NA/BANK OF AMER CORP,12.0,1830035,"WILMINGTON, DE",NAT,143660000000.0,129778000000.0,0.9,0.6,0.0,0.0,N,0.0,0.0131,2009-06-30,Q2-2009
NATIONAL CITY BK/PNC FNCL SVC GROUP,13.0,259518,"CLEVELAND, OH",NAT,141714000000.0,140941000000.0,0.99,0.61,1535.0,1.0,Y,0.0,0.0129,2009-06-30,Q2-2009
PNC BK NA/PNC FNCL SVC GROUP,14.0,817824,"PITTSBURGH, PA",NAT,136388000000.0,135183000000.0,0.99,0.62,1129.0,0.0,N,0.0,0.0124,2009-06-30,Q2-2009
REGIONS BK/REGIONS FC,15.0,233031,"BIRMINGHAM, AL",SMB,135430000000.0,131134000000.0,0.97,0.63,1901.0,0.0,N,0.0,0.0123,2009-06-30,Q2-2009
RBS CITIZENS NA/CITIZENS FNCL GROUP,16.0,3303298,"PROVIDENCE, RI",NAT,121919000000.0,121919000000.0,1.0,0.65,1109.0,1.0,N,0.75,0.0111,2009-06-30,Q2-2009
