Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1948150000000.0,1317593000000.0,0.68,0.15,5661.0,44.0,Y,0.0,0.1547,2013-03-31,Q1-2013
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1458091000000.0,1374427000000.0,0.94,0.27,5446.0,33.0,Y,0.0,0.1158,2013-03-31,Q1-2013
CITIBANK NA/CITIGROUP,3.0,476810,"SIOUX FALLS, SD",NAT,1306258000000.0,696807000000.0,0.53,0.37,1002.0,286.0,Y,0.0,0.1037,2013-03-31,Q1-2013
WELLS FARGO BK NA/WELLS FARGO & CO,4.0,451965,"SIOUX FALLS, SD",NAT,1271620000000.0,1240135000000.0,0.98,0.48,6291.0,10.0,Y,0.0,0.101,2013-03-31,Q1-2013
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,345787000000.0,343490000000.0,0.99,0.5,3132.0,1.0,N,0.0,0.0275,2013-03-31,Q1-2013
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,290108000000.0,287372000000.0,0.99,0.53,3007.0,1.0,N,0.0,0.023,2013-03-31,Q1-2013
BANK OF NY MELLON/BANK OF NY MELLON CORP,7.0,541101,"NEW YORK, NY",SMB,277308000000.0,177081000000.0,0.64,0.55,4.0,13.0,Y,0.0,0.022,2013-03-31,Q1-2013
CAPITAL ONE NA/CAPITAL ONE FC,8.0,112837,"MC LEAN, VA",NAT,243122000000.0,243049000000.0,1.0,0.57,945.0,0.0,N,0.0,0.0193,2013-03-31,Q1-2013
STATE STREET B&TC/STATE STREET CORP,9.0,35301,"BOSTON, MA",SMB,214099000000.0,156416000000.0,0.73,0.58,2.0,11.0,N,0.0,0.017,2013-03-31,Q1-2013
T D BK NA/TD US P & C HOLD ULC,10.0,497404,"WILMINGTON, DE",NAT,207948000000.0,207948000000.0,1.0,0.6,1300.0,1.0,N,1.0,0.0165,2013-03-31,Q1-2013
HSBC BK USA NA/HSBC NORTH AMER HOLD,11.0,413208,"MCLEAN, VA",NAT,183860000000.0,164794000000.0,0.9,0.62,253.0,4.0,Y,1.0,0.0146,2013-03-31,Q1-2013
BRANCH BKG&TC/BB&T CORP,12.0,852320,"WINSTON SALEM, NC",SNM,176107000000.0,175884000000.0,1.0,0.63,1843.0,1.0,N,0.0,0.014,2013-03-31,Q1-2013
SUNTRUST BK/SUNTRUST BK,13.0,675332,"ATLANTA, GA",SMB,167730000000.0,167730000000.0,1.0,0.64,1614.0,0.0,Y,0.0,0.0133,2013-03-31,Q1-2013
FIA CARD SVC NA/BANK OF AMER CORP,14.0,1830035,"WILMINGTON, DE",NAT,162171000000.0,153434000000.0,0.95,0.66,0.0,0.0,N,0.0,0.0129,2013-03-31,Q1-2013
FIFTH THIRD BK/FIFTH THIRD BC,15.0,723112,"CINCINNATI, OH",SMB,118998000000.0,118665000000.0,1.0,0.66,1370.0,1.0,N,0.0,0.0094,2013-03-31,Q1-2013
REGIONS BK/REGIONS FC,16.0,233031,"BIRMINGHAM, AL",SMB,118935000000.0,118606000000.0,1.0,0.67,1706.0,0.0,N,0.0,0.0094,2013-03-31,Q1-2013
CHASE BK USA NA/JPMORGAN CHASE & CO,17.0,489913,"NEWARK, DE",NAT,116729000000.0,116729000000.0,1.0,0.68,1.0,0.0,Y,0.0,0.0093,2013-03-31,Q1-2013
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,18.0,2182786,"NEW YORK, NY",SMB,113743000000.0,113743000000.0,1.0,0.69,1.0,0.0,N,0.0,0.009,2013-03-31,Q1-2013
RBS CITIZENS NA/RBS CITIZENS FNCL GRP,19.0,3303298,"PROVIDENCE, RI",NAT,105115000000.0,105115000000.0,1.0,0.7,997.0,1.0,N,0.75,0.0083,2013-03-31,Q1-2013
BMO HARRIS BK NA/BMO FNCL CORP,20.0,75633,"CHICAGO, IL",NAT,98725000000.0,98616000000.0,1.0,0.71,688.0,0.0,N,1.0,0.0078,2013-03-31,Q1-2013
UNION BK NA/UNIONBANCAL CORP,21.0,212465,"SAN FRANCISCO, CA",NAT,96340000000.0,95689000000.0,0.99,0.72,442.0,1.0,Y,1.0,0.0076,2013-03-31,Q1-2013
ALLY BK/ALLY FNCL,22.0,3284070,"MIDVALE, UT",SNM,94966000000.0,94966000000.0,1.0,0.72,0.0,0.0,N,0.0,0.0075,2013-03-31,Q1-2013
NORTHERN TC/NORTHERN TR CORP,23.0,210434,"CHICAGO, IL",SMB,92821000000.0,65542000000.0,0.71,0.73,71.0,4.0,Y,0.0,0.0074,2013-03-31,Q1-2013
KEYBANK NA/KEYCORP,24.0,280110,"CLEVELAND, OH",NAT,86748000000.0,86205000000.0,0.99,0.74,1107.0,1.0,N,0.0,0.0069,2013-03-31,Q1-2013
MANUFACTURERS & TRADERS TC/M&T BK CORP,25.0,501105,"BUFFALO, NY",SMB,81889000000.0,81889000000.0,1.0,0.74,768.0,2.0,Y,0.0,0.0065,2013-03-31,Q1-2013
SOVEREIGN BK NA/SANTANDER HOLDS USA,26.0,722777,"WILMINGTON, DE",NAT,79860000000.0,79381000000.0,0.99,0.75,729.0,1.0,N,1.0,0.0063,2013-03-31,Q1-2013
CAPITAL ONE BK USA NA/CAPITAL ONE FC,27.0,2253891,"GLEN ALLEN, VA",NAT,79179000000.0,77382000000.0,0.98,0.76,0.0,1.0,N,0.0,0.0063,2013-03-31,Q1-2013
MORGAN STANLEY BK NA/MORGAN STANLEY,28.0,1456501,"SALT LAKE CITY, UT",NAT,78761000000.0,78761000000.0,1.0,0.76,0.0,0.0,N,0.0,0.0063,2013-03-31,Q1-2013
DISCOVER BK/DISCOVER FS,29.0,30810,"GREENWOOD, DE",SNM,74442000000.0,74442000000.0,1.0,0.77,0.0,0.0,N,0.0,0.0059,2013-03-31,Q1-2013
COMPASS BK/BBVA USA BSHRS,30.0,697633,"BIRMINGHAM, AL",SMB,69607000000.0,69607000000.0,1.0,0.77,714.0,0.0,N,1.0,0.0055,2013-03-31,Q1-2013
COMERICA BK/COMERICA,31.0,60143,"DALLAS, TX",SMB,64830000000.0,63795000000.0,0.98,0.78,487.0,1.0,N,0.0,0.0051,2013-03-31,Q1-2013
BANK OF THE WEST/BANCWEST CORP,32.0,804963,"SAN FRANCISCO, CA",SNM,62493000000.0,62493000000.0,1.0,0.78,624.0,0.0,Y,0.1,0.005,2013-03-31,Q1-2013
