Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1811678000000.0,1215677000000.0,0.67,0.15,5488.0,45.0,Y,0.0,0.1527,2011-12-31,Q4-2011
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1451969000000.0,1345475000000.0,0.93,0.28,5755.0,34.0,Y,0.0,0.1224,2011-12-31,Q4-2011
CITIBANK NA/CITIGROUP,3.0,476810,"SIOUX FALLS, SD",NAT,1288658000000.0,691868000000.0,0.54,0.38,1037.0,347.0,Y,0.0,0.1086,2011-12-31,Q4-2011
WELLS FARGO BK NA/WELLS FARGO & CO,4.0,451965,"SIOUX FALLS, SD",NAT,1161490000000.0,1132285000000.0,0.97,0.48,6344.0,8.0,Y,0.0,0.0979,2011-12-31,Q4-2011
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,330471000000.0,328724000000.0,0.99,0.51,3131.0,1.0,N,0.0,0.0279,2011-12-31,Q4-2011
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,263310000000.0,261289000000.0,0.99,0.53,2640.0,1.0,N,0.0,0.0222,2011-12-31,Q4-2011
BANK OF NY MELLON/BANK OF NY MELLON CORP,7.0,541101,"NEW YORK, NY",SMB,256205000000.0,175269000000.0,0.68,0.55,4.0,13.0,Y,0.0,0.0216,2011-12-31,Q4-2011
STATE STREET B&TC/STATE STREET CORP,8.0,35301,"BOSTON, MA",SMB,212293000000.0,160098000000.0,0.75,0.57,2.0,11.0,N,0.0,0.0179,2011-12-31,Q4-2011
HSBC BK USA NA/HSBC NORTH AMER HOLD,9.0,413208,"MCLEAN, VA",NAT,206010000000.0,186630000000.0,0.91,0.59,464.0,4.0,Y,1.0,0.0174,2011-12-31,Q4-2011
T D BK NA/TD US P & C HOLD ULC,10.0,497404,"WILMINGTON, DE",NAT,188913000000.0,188913000000.0,1.0,0.6,1284.0,1.0,N,1.0,0.0159,2011-12-31,Q4-2011
SUNTRUST BK/SUNTRUST BK,11.0,675332,"ATLANTA, GA",SMB,171292000000.0,171292000000.0,1.0,0.62,1699.0,0.0,Y,0.0,0.0144,2011-12-31,Q4-2011
BRANCH BKG&TC/BB&T CORP,12.0,852320,"WINSTON-SALEM, NC",SNM,168868000000.0,168519000000.0,1.0,0.63,1778.0,1.0,N,0.0,0.0142,2011-12-31,Q4-2011
FIA CARD SVC NA/BANK OF AMER CORP,13.0,1830035,"WILMINGTON, DE",NAT,167005000000.0,161070000000.0,0.96,0.65,0.0,0.0,N,0.0,0.0141,2011-12-31,Q4-2011
CAPITAL ONE NA/CAPITAL ONE FC,14.0,112837,"MCLEAN, VA",NAT,133478000000.0,133401000000.0,1.0,0.66,982.0,0.0,N,0.0,0.0113,2011-12-31,Q4-2011
REGIONS BK/REGIONS FC,15.0,233031,"BIRMINGHAM, AL",SMB,123368000000.0,122985000000.0,1.0,0.67,1722.0,0.0,N,0.0,0.0104,2011-12-31,Q4-2011
CHASE BK USA NA/JPMORGAN CHASE & CO,16.0,489913,"NEWARK, DE",NAT,121749000000.0,121749000000.0,1.0,0.68,1.0,0.0,Y,0.0,0.0103,2011-12-31,Q4-2011
FIFTH THIRD BK/FIFTH THIRD BC,17.0,723112,"CINCINNATI, OH",SMB,114540000000.0,114299000000.0,1.0,0.69,1369.0,1.0,N,0.0,0.0097,2011-12-31,Q4-2011
RBS CITIZENS NA/CITIZENS FNCL GROUP,18.0,3303298,"PROVIDENCE, RI",NAT,106941000000.0,106941000000.0,1.0,0.7,1117.0,1.0,N,0.75,0.009,2011-12-31,Q4-2011
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,19.0,2182786,"NEW YORK, NY",SMB,103790000000.0,103790000000.0,1.0,0.71,3.0,0.0,N,0.0,0.0087,2011-12-31,Q4-2011
NORTHERN TC/NORTHERN TR CORP,20.0,210434,"CHICAGO, IL",SMB,99831000000.0,73911000000.0,0.74,0.72,76.0,4.0,Y,0.0,0.0084,2011-12-31,Q4-2011
BMO HARRIS BK NA/BMO FNCL CORP,21.0,75633,"CHICAGO, IL",NAT,97264000000.0,97239000000.0,1.0,0.72,723.0,0.0,N,1.0,0.0082,2011-12-31,Q4-2011
UNION BK NA/UNIONBANCAL CORP,22.0,212465,"SAN FRANCISCO, CA",NAT,88968000000.0,87776000000.0,0.99,0.73,414.0,1.0,Y,1.0,0.0075,2011-12-31,Q4-2011
KEYBANK NA/KEYCORP,23.0,280110,"CLEVELAND, OH",NAT,86199000000.0,85440000000.0,0.99,0.74,1077.0,1.0,N,0.0,0.0073,2011-12-31,Q4-2011
ALLY BK/ALLY FNCL,24.0,3284070,"MIDVALE, UT",SNM,85332000000.0,85332000000.0,1.0,0.75,0.0,0.0,N,0.0,0.0072,2011-12-31,Q4-2011
MANUFACTURERS & TRADERS TC/M&T BK CORP,25.0,501105,"BUFFALO, NY",SMB,76887000000.0,76887000000.0,1.0,0.75,817.0,2.0,Y,0.0,0.0065,2011-12-31,Q4-2011
CAPITAL ONE BK USA NA/CAPITAL ONE FC,26.0,2253891,"GLEN ALLEN, VA",NAT,71108000000.0,68226000000.0,0.96,0.76,0.0,1.0,N,0.0,0.006,2011-12-31,Q4-2011
DISCOVER BK/DISCOVER FS,27.0,30810,"GREENWOOD, DE",SNM,67779000000.0,67779000000.0,1.0,0.76,0.0,0.0,N,0.0,0.0057,2011-12-31,Q4-2011
MORGAN STANLEY BK NA/MORGAN STANLEY,28.0,1456501,"SALT LAKE CITY, UT",NAT,67047000000.0,67047000000.0,1.0,0.77,0.0,0.0,N,0.0,0.0057,2011-12-31,Q4-2011
COMPASS BK/BBVA USA BSHRS,29.0,697633,"BIRMINGHAM, AL",SMB,63107000000.0,63107000000.0,1.0,0.77,718.0,0.0,N,1.0,0.0053,2011-12-31,Q4-2011
BANK OF THE WEST/BANCWEST CORP,30.0,804963,"SAN FRANCISCO, CA",SNM,62408000000.0,62408000000.0,1.0,0.78,664.0,0.0,Y,0.1,0.0053,2011-12-31,Q4-2011
COMERICA BK/COMERICA,31.0,60143,"DALLAS, TX",SMB,60971000000.0,60100000000.0,0.99,0.78,493.0,1.0,N,0.0,0.0051,2011-12-31,Q4-2011
