Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1954125000000.0,1470256000000.0,0.75,0.14,5478.0,30.0,Y,0.0,0.139,2015-09-30,Q3-2015
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1616426000000.0,1530035000000.0,0.95,0.25,4802.0,33.0,Y,0.0,0.115,2015-09-30,Q3-2015
WELLS FARGO BK NA/WELLS FARGO & CO,3.0,451965,"SIOUX FALLS, SD",NAT,1579174000000.0,1525948000000.0,0.97,0.37,6224.0,10.0,Y,0.0,0.1123,2015-09-30,Q3-2015
CITIBANK NA/CITIGROUP,4.0,476810,"SIOUX FALLS, SD",NAT,1337821000000.0,751923000000.0,0.56,0.46,794.0,269.0,Y,0.0,0.0952,2015-09-30,Q3-2015
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,410890000000.0,409285000000.0,1.0,0.49,3225.0,1.0,N,0.0,0.0292,2015-09-30,Q3-2015
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,351502000000.0,348009000000.0,0.99,0.52,2738.0,2.0,N,0.0,0.025,2015-09-30,Q3-2015
BANK OF NY MELLON/BANK OF NY MELLON CORP,7.0,541101,"NEW YORK, NY",SMB,302197000000.0,190714000000.0,0.63,0.54,3.0,13.0,Y,0.0,0.0215,2015-09-30,Q3-2015
CAPITAL ONE NA/CAPITAL ONE FC,8.0,112837,"MC LEAN, VA",NAT,254436000000.0,254348000000.0,1.0,0.56,842.0,0.0,N,0.0,0.0181,2015-09-30,Q3-2015
STATE STREET B&TC/STATE STREET CORP,9.0,35301,"BOSTON, MA",SMB,242408000000.0,181360000000.0,0.75,0.57,2.0,11.0,N,0.0,0.0172,2015-09-30,Q3-2015
T D BK NA/TD GRP US HOLDS LLC,10.0,497404,"WILMINGTON, DE",NAT,241083000000.0,241083000000.0,1.0,0.59,1297.0,1.0,N,1.0,0.0172,2015-09-30,Q3-2015
BRANCH BKG&TC/BB&T CORP,11.0,852320,"WINSTON SALEM, NC",SNM,203893000000.0,203719000000.0,1.0,0.6,2141.0,1.0,N,0.0,0.0145,2015-09-30,Q3-2015
HSBC BK USA NA/HSBC NORTH AMER HOLDS,12.0,413208,"MCLEAN, VA",NAT,198269000000.0,194508000000.0,0.98,0.62,230.0,3.0,Y,1.0,0.0141,2015-09-30,Q3-2015
SUNTRUST BK/SUNTRUST BK,13.0,675332,"ATLANTA, GA",SMB,183166000000.0,183166000000.0,1.0,0.63,1441.0,0.0,Y,0.0,0.013,2015-09-30,Q3-2015
CHASE BK USA NA/JPMORGAN CHASE & CO,14.0,489913,"WILMINGTON, DE",NAT,145519000000.0,145519000000.0,1.0,0.64,0.0,0.0,N,0.0,0.0104,2015-09-30,Q3-2015
FIFTH THIRD BK/FIFTH THIRD BC,15.0,723112,"CINCINNATI, OH",SMB,139456000000.0,138769000000.0,1.0,0.65,1346.0,1.0,N,0.0,0.0099,2015-09-30,Q3-2015
MORGAN STANLEY BK NA/MORGAN STANLEY,16.0,1456501,"SALT LAKE CITY, UT",NAT,130678000000.0,130678000000.0,1.0,0.66,0.0,0.0,N,0.0,0.0093,2015-09-30,Q3-2015
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE,17.0,2182786,"NEW YORK, NY",SMB,127605000000.0,127605000000.0,1.0,0.67,1.0,1.0,N,0.0,0.0091,2015-09-30,Q3-2015
REGIONS BK/REGIONS FC,18.0,233031,"BIRMINGHAM, AL",SMB,123859000000.0,123859000000.0,1.0,0.68,1626.0,0.0,N,0.0,0.0088,2015-09-30,Q3-2015
NORTHERN TC/NORTHERN TR CORP,19.0,210434,"CHICAGO, IL",SMB,119640000000.0,92626000000.0,0.77,0.69,68.0,4.0,Y,0.0,0.0085,2015-09-30,Q3-2015
